lead_id,customer_id,lead_date,lead_source,is_qualified,is_converted
LEAD000043,CUST005204,2017-01-31,Email,0,0
LEAD000044,CUST003087,2018-08-20,Marketplace,1,0
LEAD000045,CUST005132,2018-03-15,Referral,1,0
LEAD000046,CUST009285,2017-06-01,Email,0,0
LEAD000047,CUST009164,2018-07-03,Marketplace,1,1
LEAD000048,CUST004733,2017-06-07,Social,0,0
LEAD000049,CUST006663,2018-06-29,Referral,0,0
LEAD000050,CUST004834,2017-09-25,Email,1,0
LEAD000051,CUST003190,2017-10-30,Email,0,0
LEAD000052,CUST000292,2018-09-30,Paid Search,0,0
LEAD000053,CUST005207,2017-10-04,Marketplace,1,1
LEAD000054,CUST003368,2017-09-14,Social,1,0
LEAD000055,CUST003817,2017-07-03,Email,1,1
LEAD000056,CUST000878,2018-06-03,Social,0,0
LEAD000057,CUST003473,2018-03-16,Paid Search,1,1
LEAD000058,CUST002689,2017-03-01,Paid Search,1,1
LEAD000059,CUST007601,2018-03-11,Referral,1,1
LEAD000060,CUST009293,2018-01-23,Email,0,0
LEAD000061,CUST009148,2017-06-16,Social,1,1
LEAD000062,CUST005323,2017-03-05,Email,0,0
LEAD000063,CUST009483,2018-09-06,Marketplace,0,0
LEAD000064,CUST000585,2018-06-18,Organic,1,0
LEAD000065,CUST006532,2017-12-06,Email,0,0
LEAD000066,CUST000915,2018-09-11,Social,0,0
LEAD000067,CUST004958,2017-11-06,Paid Search,0,0
LEAD000068,CUST009800,2017-01-06,Marketplace,0,0
LEAD000069,CUST007912,2018-05-02,Paid Search,0,0
LEAD000070,CUST004129,2017-12-04,Email,1,0
LEAD000071,CUST004806,2018-04-11,Marketplace,1,1
LEAD000072,CUST001224,2018-08-05,Email,0,0
LEAD000073,CUST007752,2017-05-10,Marketplace,1,0
LEAD000074,CUST001437,2018-07-24,Social,0,0
LEAD000075,CUST003690,2018-07-29,Email,0,0
LEAD000076,CUST005854,2017-09-29,Social,1,0
LEAD000077,CUST001525,2017-08-10,Marketplace,1,0
LEAD000078,CUST006522,2017-11-29,Marketplace,0,0
LEAD000079,CUST005920,2018-03-29,Marketplace,1,0
LEAD000080,CUST008352,2017-03-17,Social,0,0
LEAD000081,CUST008327,2017-05-24,Social,1,1
LEAD000082,CUST005731,2017-01-27,Social,0,0
LEAD000083,CUST009727,2017-11-09,Email,0,0
LEAD000084,CUST005175,2017-09-11,Referral,0,0
LEAD000085,CUST007841,2018-04-21,Social,0,0
LEAD000086,CUST006694,2017-05-25,Email,1,0
LEAD000087,CUST009710,2018-09-07,Social,1,0
LEAD000088,CUST004305,2018-06-01,Referral,1,0
LEAD000089,CUST000358,2018-08-21,Email,1,0
LEAD000090,CUST007352,2018-09-18,Referral,1,1
LEAD000091,CUST005679,2017-08-08,Social,1,0
LEAD000092,CUST006098,2017-07-17,Social,0,0
LEAD000093,CUST003736,2018-09-01,Referral,0,0
LEAD000094,CUST009010,2018-07-31,Marketplace,0,0
LEAD000095,CUST006930,2018-01-17,Organic,0,0
LEAD000096,CUST005804,2018-04-06,Paid Search,0,0
LEAD000097,CUST006532,2017-12-13,Marketplace,1,0
LEAD000098,CUST008936,2017-04-30,Email,0,0
LEAD000099,CUST002051,2017-08-24,Email,0,0
LEAD000100,CUST005892,2018-05-03,Email,0,0
LEAD000101,CUST006198,2018-07-04,Referral,1,1
LEAD000102,CUST005102,2018-01-20,Social,1,1
LEAD000103,CUST004893,2017-07-16,Organic,1,1
LEAD000104,CUST002051,2018-07-11,Paid Search,0,0
LEAD000105,CUST006393,2017-12-23,Social,1,0
LEAD000106,CUST008268,2017-12-25,Referral,1,0
LEAD000107,CUST006408,2017-07-06,Referral,1,0
LEAD000108,CUST008128,2017-03-22,Organic,0,0
LEAD000109,CUST003479,2017-04-26,Marketplace,0,0
LEAD000110,CUST001322,2018-01-17,Organic,0,0
LEAD000111,CUST009624,2018-04-24,Referral,1,0
LEAD000112,CUST007217,2017-11-16,Organic,1,0
LEAD000113,CUST003270,2018-07-11,Referral,1,0
LEAD000114,CUST006597,2018-02-17,Referral,1,0
LEAD000115,CUST008440,2018-05-30,Referral,0,0
LEAD000116,CUST009456,2017-12-16,Email,0,0
LEAD000117,CUST007112,2017-09-24,Organic,0,0
LEAD000118,CUST009634,2017-10-16,Organic,0,0
LEAD000119,CUST003617,2018-07-10,Organic,1,0
LEAD000120,CUST005925,2018-01-03,Referral,1,0
LEAD000121,CUST006422,2018-09-21,Organic,0,0
LEAD000122,CUST006946,2017-04-19,Social,1,0
LEAD000123,CUST004231,2017-12-05,Social,0,0
LEAD000124,CUST009843,2017-10-23,Marketplace,1,0
LEAD000125,CUST006110,2018-02-19,Referral,0,0
LEAD000126,CUST000047,2018-03-12,Referral,1,0
LEAD000127,CUST008697,2018-07-10,Social,1,0
LEAD000128,CUST001884,2017-02-08,Marketplace,1,0
LEAD000129,CUST005838,2017-09-16,Social,1,0
LEAD000130,CUST005279,2017-03-10,Referral,0,0
LEAD000131,CUST001930,2018-08-16,Marketplace,0,0
LEAD000132,CUST000137,2018-09-04,Referral,1,0
LEAD000133,CUST004385,2018-03-10,Referral,0,0
LEAD000134,CUST006457,2017-08-21,Referral,1,0
LEAD000135,CUST004630,2018-06-28,Marketplace,1,0
LEAD000136,CUST004387,2017-07-13,Email,1,1
LEAD000137,CUST005737,2018-05-30,Organic,1,0
LEAD000138,CUST002178,2018-01-31,Social,1,1
LEAD000139,CUST004481,2018-04-27,Organic,0,0
LEAD000140,CUST009655,2018-06-21,Marketplace,0,0
LEAD000141,CUST008360,2018-02-12,Social,0,0
LEAD000142,CUST008548,2018-06-07,Organic,1,1
LEAD000143,CUST000853,2018-05-05,Marketplace,0,0
LEAD000144,CUST005317,2017-10-17,Organic,1,0
LEAD000145,CUST007770,2018-01-19,Marketplace,1,0
LEAD000146,CUST008969,2017-12-12,Marketplace,1,0
LEAD000147,CUST000720,2018-09-22,Social,1,1
LEAD000148,CUST005073,2017-05-28,Referral,0,0
LEAD000149,CUST000282,2017-12-26,Email,0,0
LEAD000150,CUST000333,2017-12-10,Marketplace,1,0
LEAD000151,CUST009031,2018-02-05,Organic,0,0
LEAD000152,CUST003669,2017-01-10,Paid Search,0,0
LEAD000153,CUST005050,2018-06-13,Marketplace,0,0
LEAD000154,CUST009843,2017-03-23,Paid Search,0,0
LEAD000155,CUST001032,2018-03-06,Social,1,0
LEAD000156,CUST006256,2018-06-04,Marketplace,0,0
LEAD000157,CUST001396,2017-02-23,Email,1,0
LEAD000158,CUST002835,2017-07-08,Referral,1,1
LEAD000159,CUST003650,2018-04-30,Social,0,0
LEAD000160,CUST008356,2017-10-12,Referral,1,1
LEAD000161,CUST009760,2018-05-24,Referral,0,0
LEAD000162,CUST006673,2018-09-11,Paid Search,1,1
LEAD000163,CUST004056,2018-01-11,Email,1,0
LEAD000164,CUST004571,2017-11-07,Referral,1,0
LEAD000165,CUST001536,2018-04-20,Referral,0,0
LEAD000166,CUST007959,2018-08-19,Social,1,0
LEAD000167,CUST007442,2017-07-17,Social,0,0
LEAD000168,CUST008178,2017-09-04,Referral,1,0
LEAD000169,CUST008086,2018-09-22,Email,0,0
LEAD000170,CUST001156,2018-01-27,Email,1,1
LEAD000171,CUST001640,2018-09-17,Social,1,0
LEAD000172,CUST003771,2018-01-04,Email,1,1
LEAD000173,CUST002831,2018-05-23,Referral,1,0
LEAD000174,CUST009104,2017-07-26,Marketplace,0,0
LEAD000175,CUST008768,2017-08-04,Email,0,0
LEAD000176,CUST001823,2017-08-26,Organic,1,1
LEAD000177,CUST009319,2018-08-31,Email,0,0
LEAD000178,CUST000898,2017-04-13,Social,0,0
LEAD000179,CUST008030,2018-07-05,Email,0,0
LEAD000180,CUST006653,2018-09-03,Paid Search,0,0
LEAD000181,CUST009394,2017-07-30,Social,1,1
LEAD000182,CUST003576,2018-09-28,Email,1,1
LEAD000183,CUST005943,2018-01-26,Paid Search,1,1
LEAD000184,CUST000127,2018-04-28,Marketplace,1,0
LEAD000185,CUST002023,2017-08-17,Referral,0,0
LEAD000186,CUST004532,2018-02-20,Marketplace,1,1
LEAD000187,CUST004305,2017-01-03,Social,1,0
LEAD000188,CUST008085,2018-02-20,Paid Search,0,0
LEAD000189,CUST009125,2017-01-15,Marketplace,1,1
LEAD000190,CUST009634,2018-06-18,Referral,1,0
LEAD000191,CUST005986,2018-03-05,Organic,1,0
LEAD000192,CUST009170,2018-06-15,Referral,1,0
LEAD000193,CUST003296,2017-08-02,Marketplace,1,0
LEAD000194,CUST001457,2018-09-19,Email,0,0
LEAD000195,CUST001537,2018-09-02,Referral,0,0
LEAD000196,CUST003222,2017-04-24,Paid Search,1,0
LEAD000197,CUST007391,2017-12-30,Email,1,0
LEAD000198,CUST005937,2018-02-04,Marketplace,0,0
LEAD000199,CUST001965,2018-01-18,Referral,1,1
LEAD000200,CUST008503,2017-04-09,Social,0,0
LEAD000201,CUST008945,2017-08-27,Email,1,1
LEAD000202,CUST003203,2018-06-03,Paid Search,0,0
LEAD000203,CUST006086,2017-10-24,Referral,0,0
LEAD000204,CUST005023,2018-03-11,Referral,1,0
LEAD000205,CUST001505,2018-01-01,Organic,0,0
LEAD000206,CUST008482,2017-05-11,Organic,1,0
LEAD000207,CUST008169,2018-04-06,Social,0,0
LEAD000208,CUST009069,2018-01-19,Referral,0,0
LEAD000209,CUST002905,2018-03-30,Organic,0,0
LEAD000210,CUST001597,2017-01-17,Referral,0,0
LEAD000211,CUST008690,2017-01-21,Social,0,0
LEAD000212,CUST001983,2017-08-13,Organic,0,0
LEAD000213,CUST004929,2017-03-16,Marketplace,0,0
LEAD000214,CUST006933,2017-10-12,Marketplace,1,0
LEAD000215,CUST007243,2017-10-12,Email,0,0
LEAD000216,CUST005766,2018-01-02,Social,0,0
LEAD000217,CUST003291,2017-06-27,Email,0,0
LEAD000218,CUST005538,2017-06-16,Paid Search,1,0
LEAD000219,CUST004426,2018-07-29,Organic,1,1
LEAD000220,CUST006033,2017-10-04,Referral,0,0
LEAD000221,CUST003401,2018-06-03,Marketplace,1,1
LEAD000222,CUST003170,2017-05-03,Organic,0,0
LEAD000223,CUST007691,2017-06-30,Email,0,0
LEAD000224,CUST000445,2018-09-26,Email,0,0
LEAD000225,CUST002534,2018-09-10,Referral,0,0
LEAD000226,CUST005977,2018-03-27,Email,0,0
LEAD000227,CUST007331,2017-12-19,Referral,0,0
LEAD000228,CUST000267,2018-05-07,Organic,0,0
LEAD000229,CUST007375,2017-09-04,Organic,1,0
LEAD000230,CUST005390,2018-01-25,Referral,1,0
LEAD000231,CUST004914,2018-08-01,Referral,1,0
LEAD000232,CUST008639,2018-02-27,Email,1,0
LEAD000233,CUST004128,2018-09-02,Paid Search,0,0
LEAD000234,CUST004784,2017-05-01,Referral,0,0
LEAD000235,CUST008174,2018-08-14,Social,1,1
LEAD000236,CUST003808,2017-01-15,Social,1,0
LEAD000237,CUST006815,2017-10-01,Email,1,1
LEAD000238,CUST007449,2017-12-25,Referral,1,0
LEAD000239,CUST000210,2018-04-17,Referral,1,0
LEAD000240,CUST003219,2018-02-28,Marketplace,1,1
LEAD000241,CUST001671,2017-06-28,Marketplace,1,0
LEAD000242,CUST001276,2018-08-08,Marketplace,1,1
LEAD000243,CUST008437,2017-09-18,Paid Search,0,0
LEAD000244,CUST002817,2018-06-27,Referral,0,0
LEAD000245,CUST009450,2018-08-31,Paid Search,1,1
LEAD000246,CUST002055,2017-10-31,Social,1,1
LEAD000247,CUST005382,2017-03-31,Referral,1,0
LEAD000248,CUST007945,2017-12-14,Email,1,0
LEAD000249,CUST001108,2017-10-29,Email,1,0
LEAD000250,CUST008427,2017-09-03,Referral,1,1
LEAD000251,CUST003135,2017-07-21,Paid Search,1,0
LEAD000252,CUST005614,2017-11-06,Email,1,0
LEAD000253,CUST006443,2017-01-07,Paid Search,1,0
LEAD000254,CUST000537,2017-10-30,Organic,1,0
LEAD000255,CUST004486,2017-09-26,Email,0,0
LEAD000256,CUST000792,2018-09-07,Social,0,0
LEAD000257,CUST008232,2017-01-02,Email,1,0
LEAD000258,CUST006738,2017-05-15,Email,0,0
LEAD000259,CUST004611,2017-04-05,Email,0,0
LEAD000260,CUST005402,2017-08-04,Social,0,0
LEAD000261,CUST009452,2018-08-18,Organic,1,0
LEAD000262,CUST003189,2017-03-31,Organic,1,1
LEAD000263,CUST002300,2017-11-26,Marketplace,1,0
LEAD000264,CUST005906,2018-07-17,Marketplace,0,0
LEAD000265,CUST005700,2017-04-05,Social,0,0
LEAD000266,CUST004865,2017-12-31,Social,0,0
LEAD000267,CUST006939,2017-09-05,Paid Search,1,1
LEAD000268,CUST005652,2017-02-12,Organic,1,0
LEAD000269,CUST009324,2018-04-23,Email,0,0
LEAD000270,CUST009302,2017-07-07,Paid Search,1,1
LEAD000271,CUST005420,2017-08-20,Organic,1,1
LEAD000272,CUST007264,2017-11-18,Paid Search,0,0
LEAD000273,CUST002998,2017-10-06,Marketplace,1,0
LEAD000274,CUST008369,2017-02-17,Email,1,1
LEAD000275,CUST006602,2017-10-15,Organic,0,0
LEAD000276,CUST001954,2017-01-23,Paid Search,0,0
LEAD000277,CUST000821,2017-11-30,Social,1,0
LEAD000278,CUST009884,2017-04-15,Marketplace,1,0
LEAD000279,CUST006142,2017-08-25,Organic,0,0
LEAD000280,CUST005929,2017-01-19,Email,1,1
LEAD000281,CUST009959,2017-04-14,Organic,0,0
LEAD000282,CUST007114,2017-10-14,Marketplace,1,0
LEAD000283,CUST008873,2018-05-10,Social,1,1
LEAD000284,CUST002621,2018-03-16,Referral,1,0
LEAD000285,CUST004333,2018-07-31,Social,1,1
LEAD000286,CUST002431,2018-03-25,Referral,1,0
LEAD000287,CUST002063,2018-02-24,Paid Search,1,0
LEAD000288,CUST004637,2017-01-04,Paid Search,1,0
LEAD000289,CUST008588,2017-11-01,Paid Search,1,1
LEAD000290,CUST002532,2018-09-29,Social,1,0
LEAD000291,CUST007799,2018-08-20,Social,1,0
LEAD000292,CUST003216,2017-01-04,Email,1,0
LEAD000293,CUST002075,2018-05-21,Referral,1,0
LEAD000294,CUST005564,2018-08-11,Referral,1,1
LEAD000295,CUST001990,2017-04-09,Marketplace,1,0
LEAD000296,CUST009884,2018-08-03,Social,1,1
LEAD000297,CUST006334,2017-10-18,Marketplace,1,1
LEAD000298,CUST008918,2017-01-26,Referral,1,0
LEAD000299,CUST009050,2018-08-18,Social,0,0
LEAD000300,CUST007678,2017-08-18,Social,0,0
LEAD000301,CUST005397,2017-08-25,Email,1,0
LEAD000302,CUST000251,2018-07-25,Marketplace,1,0
LEAD000303,CUST002050,2018-06-08,Social,1,0
LEAD000304,CUST000918,2018-02-05,Social,0,0
LEAD000305,CUST004220,2018-07-25,Marketplace,1,0
LEAD000306,CUST008681,2018-04-17,Email,1,1
LEAD000307,CUST001770,2017-05-27,Organic,1,1
LEAD000308,CUST007455,2018-07-11,Organic,1,1
LEAD000309,CUST007820,2018-09-19,Referral,0,0
LEAD000310,CUST006511,2017-10-17,Referral,1,1
LEAD000311,CUST004794,2018-05-31,Organic,1,1
LEAD000312,CUST007180,2017-05-01,Paid Search,0,0
LEAD000313,CUST001569,2018-06-06,Email,1,0
LEAD000314,CUST006076,2018-02-10,Referral,1,0
LEAD000315,CUST001778,2018-03-05,Email,1,0
LEAD000316,CUST009467,2018-03-01,Organic,1,0
LEAD000317,CUST000569,2017-03-03,Email,0,0
LEAD000318,CUST000852,2018-04-05,Paid Search,0,0
LEAD000319,CUST002603,2017-07-04,Organic,0,0
LEAD000320,CUST007367,2017-10-11,Marketplace,1,0
LEAD000321,CUST001174,2017-11-17,Referral,1,1
LEAD000322,CUST002664,2018-04-01,Paid Search,1,0
LEAD000323,CUST008255,2017-03-07,Paid Search,1,1
LEAD000324,CUST005435,2018-05-09,Referral,1,0
LEAD000325,CUST003456,2018-01-26,Social,1,0
LEAD000326,CUST004393,2017-09-08,Referral,1,0
LEAD000327,CUST004710,2017-07-24,Social,0,0
LEAD000328,CUST004066,2017-08-14,Social,0,0
LEAD000329,CUST002578,2017-08-10,Paid Search,1,1
LEAD000330,CUST007533,2018-07-25,Email,0,0
LEAD000331,CUST000148,2017-01-14,Referral,1,1
LEAD000332,CUST007211,2017-12-19,Marketplace,0,0
LEAD000333,CUST008458,2018-02-21,Referral,1,0
LEAD000334,CUST004344,2018-02-11,Email,0,0
LEAD000335,CUST001110,2017-11-15,Marketplace,0,0
LEAD000336,CUST007116,2018-09-17,Marketplace,0,0
LEAD000337,CUST003567,2017-08-09,Email,0,0
LEAD000338,CUST008504,2018-07-28,Marketplace,1,1
LEAD000339,CUST008062,2017-11-09,Marketplace,1,0
LEAD000340,CUST005711,2017-11-03,Email,1,0
LEAD000341,CUST000396,2017-01-01,Social,0,0
LEAD000342,CUST003485,2018-07-10,Email,0,0
LEAD000343,CUST001668,2018-09-25,Marketplace,0,0
LEAD000344,CUST000542,2017-11-18,Social,0,0
LEAD000345,CUST004021,2018-05-30,Organic,1,0
LEAD000346,CUST008914,2017-03-16,Email,1,0
LEAD000347,CUST008826,2018-07-22,Social,0,0
LEAD000348,CUST004509,2018-05-10,Referral,0,0
LEAD000349,CUST007981,2018-07-18,Paid Search,1,0
LEAD000350,CUST000354,2018-05-19,Marketplace,0,0
LEAD000351,CUST002424,2017-02-11,Paid Search,1,0
LEAD000352,CUST008153,2018-07-07,Social,1,0
LEAD000353,CUST001051,2017-06-26,Organic,1,0
LEAD000354,CUST005507,2018-01-14,Email,1,0
LEAD000355,CUST000280,2017-09-21,Email,0,0
LEAD000356,CUST005693,2018-09-30,Email,1,0
LEAD000357,CUST003316,2017-09-30,Social,0,0
LEAD000358,CUST006071,2017-09-19,Social,1,1
LEAD000359,CUST007144,2017-07-12,Referral,0,0
LEAD000360,CUST009295,2018-07-17,Marketplace,0,0
LEAD000361,CUST006154,2018-06-12,Social,0,0
LEAD000362,CUST005331,2018-09-26,Email,1,0
LEAD000363,CUST006386,2017-07-27,Marketplace,0,0
LEAD000364,CUST007081,2017-11-12,Paid Search,1,1
LEAD000365,CUST005063,2017-01-07,Email,0,0
LEAD000366,CUST009887,2017-04-23,Organic,0,0
LEAD000367,CUST008294,2018-04-23,Social,0,0
LEAD000368,CUST001550,2018-05-04,Organic,1,1
LEAD000369,CUST006372,2018-07-09,Paid Search,0,0
LEAD000370,CUST009469,2018-03-20,Marketplace,1,0
LEAD000371,CUST004402,2018-06-23,Marketplace,0,0
LEAD000372,CUST000196,2017-10-09,Referral,0,0
LEAD000373,CUST003516,2017-06-27,Paid Search,0,0
LEAD000374,CUST009669,2018-02-11,Referral,1,1
LEAD000375,CUST008577,2017-06-01,Social,0,0
LEAD000376,CUST004192,2017-06-22,Organic,1,0
LEAD000377,CUST004305,2017-04-28,Organic,1,0
LEAD000378,CUST000813,2017-01-01,Organic,1,1
LEAD000379,CUST006287,2017-04-18,Marketplace,0,0
LEAD000380,CUST005552,2017-02-02,Organic,1,1
LEAD000381,CUST009304,2017-07-04,Referral,1,0
LEAD000382,CUST002421,2017-01-05,Referral,0,0
LEAD000383,CUST002189,2017-12-24,Paid Search,0,0
LEAD000384,CUST000718,2017-01-04,Referral,0,0
LEAD000385,CUST002067,2018-05-14,Referral,0,0
LEAD000386,CUST009675,2018-09-27,Organic,1,1
LEAD000387,CUST009320,2017-02-19,Referral,0,0
LEAD000388,CUST007406,2018-08-14,Marketplace,1,0
LEAD000389,CUST003177,2018-08-11,Social,1,1
LEAD000390,CUST000559,2018-05-28,Marketplace,1,0
LEAD000391,CUST006896,2017-05-14,Social,1,0
LEAD000392,CUST002950,2018-03-27,Organic,1,0
LEAD000393,CUST008793,2018-01-20,Organic,0,0
LEAD000394,CUST003400,2018-09-20,Marketplace,0,0
LEAD000395,CUST009596,2017-05-27,Social,1,1
LEAD000396,CUST005565,2017-05-31,Social,0,0
LEAD000397,CUST007151,2017-10-07,Paid Search,1,1
LEAD000398,CUST002352,2017-10-21,Marketplace,0,0
LEAD000399,CUST004535,2018-05-16,Social,0,0
LEAD000400,CUST003406,2018-08-15,Email,1,0
LEAD000401,CUST009765,2018-09-16,Email,0,0
LEAD000402,CUST004196,2018-08-17,Email,1,0
LEAD000403,CUST004416,2018-08-04,Email,1,1
LEAD000404,CUST007654,2017-10-13,Referral,1,0
LEAD000405,CUST003478,2017-11-13,Referral,1,0
LEAD000406,CUST008991,2017-11-07,Referral,0,0
LEAD000407,CUST005845,2018-02-04,Referral,1,0
LEAD000408,CUST001219,2017-06-10,Paid Search,0,0
LEAD000409,CUST000968,2018-06-30,Social,1,0
LEAD000410,CUST004559,2017-12-03,Email,1,0
LEAD000411,CUST005456,2018-04-25,Organic,0,0
LEAD000412,CUST000012,2018-08-09,Social,0,0
LEAD000413,CUST005994,2018-02-22,Email,1,1
LEAD000414,CUST000758,2017-05-04,Referral,1,0
LEAD000415,CUST005547,2017-01-14,Paid Search,0,0
LEAD000416,CUST009813,2018-03-28,Email,0,0
LEAD000417,CUST005405,2017-05-23,Paid Search,1,0
LEAD000418,CUST004024,2018-01-13,Organic,1,0
LEAD000419,CUST009077,2017-12-27,Email,0,0
LEAD000420,CUST005406,2017-01-18,Organic,1,0
LEAD000421,CUST007056,2018-03-29,Marketplace,0,0
LEAD000422,CUST009744,2018-04-29,Referral,0,0
LEAD000423,CUST003542,2017-09-29,Social,0,0
LEAD000424,CUST009279,2017-08-04,Marketplace,1,1
LEAD000425,CUST006478,2018-02-23,Organic,0,0
LEAD000426,CUST009437,2018-04-24,Organic,0,0
LEAD000427,CUST001569,2017-10-21,Organic,0,0
LEAD000428,CUST003812,2018-09-13,Email,1,0
LEAD000429,CUST000655,2018-03-24,Marketplace,0,0
LEAD000430,CUST002764,2018-03-01,Email,0,0
LEAD000431,CUST004685,2017-06-26,Social,0,0
LEAD000432,CUST007583,2018-05-30,Marketplace,0,0
LEAD000433,CUST006257,2017-09-27,Referral,1,0
LEAD000434,CUST001735,2017-12-24,Email,0,0
LEAD000435,CUST001497,2017-09-11,Paid Search,1,0
LEAD000436,CUST009538,2017-10-18,Social,0,0
LEAD000437,CUST000842,2017-06-30,Social,1,1
LEAD000438,CUST004341,2017-01-20,Referral,1,0
LEAD000439,CUST008209,2018-01-08,Marketplace,1,1
LEAD000440,CUST006509,2018-05-14,Organic,0,0
LEAD000441,CUST004219,2017-09-05,Marketplace,1,1
LEAD000442,CUST004058,2017-09-16,Marketplace,0,0
LEAD000443,CUST009113,2017-04-08,Marketplace,1,0
LEAD000444,CUST008301,2018-04-09,Email,1,0
LEAD000445,CUST007029,2018-09-06,Email,1,0
LEAD000446,CUST007836,2017-05-12,Paid Search,0,0
LEAD000447,CUST003060,2017-09-29,Marketplace,1,1
LEAD000448,CUST003778,2018-02-11,Social,0,0
LEAD000449,CUST005889,2017-04-24,Paid Search,0,0
LEAD000450,CUST006061,2017-09-26,Email,1,0
LEAD000451,CUST006333,2017-12-03,Marketplace,1,0
LEAD000452,CUST003803,2017-07-08,Referral,0,0
LEAD000453,CUST000293,2018-02-17,Email,0,0
LEAD000454,CUST001186,2018-09-06,Referral,0,0
LEAD000455,CUST009579,2018-07-18,Social,0,0
LEAD000456,CUST002625,2017-05-18,Marketplace,0,0
LEAD000457,CUST004452,2018-05-01,Email,0,0
LEAD000458,CUST006414,2017-05-18,Social,1,1
LEAD000459,CUST009853,2018-02-14,Social,1,0
LEAD000460,CUST004122,2017-06-09,Organic,1,0
LEAD000461,CUST009216,2017-02-23,Referral,0,0
LEAD000462,CUST000042,2017-09-08,Organic,1,1
LEAD000463,CUST006001,2018-03-02,Organic,0,0
LEAD000464,CUST009302,2017-05-08,Social,0,0
LEAD000465,CUST001000,2017-06-09,Organic,1,0
LEAD000466,CUST002038,2017-04-19,Referral,1,0
LEAD000467,CUST007789,2018-03-07,Email,1,0
LEAD000468,CUST003944,2017-05-03,Social,1,1
LEAD000469,CUST003584,2018-07-13,Social,0,0
LEAD000470,CUST001696,2017-08-01,Referral,1,0
LEAD000471,CUST007222,2017-05-05,Marketplace,0,0
LEAD000472,CUST009486,2018-03-07,Paid Search,0,0
LEAD000473,CUST008692,2017-01-29,Social,1,0
LEAD000474,CUST006105,2018-03-06,Paid Search,1,0
LEAD000475,CUST000045,2017-12-02,Email,0,0
LEAD000476,CUST009911,2017-08-07,Social,1,0
LEAD000477,CUST003152,2017-04-28,Marketplace,1,0
LEAD000478,CUST009982,2017-03-19,Marketplace,0,0
LEAD000479,CUST006288,2018-08-04,Email,1,0
LEAD000480,CUST003601,2017-05-09,Social,0,0
LEAD000481,CUST000602,2017-03-21,Referral,0,0
LEAD000482,CUST007727,2018-03-02,Organic,1,0
LEAD000483,CUST004128,2018-08-13,Paid Search,1,0
LEAD000484,CUST008421,2018-01-26,Marketplace,1,0
LEAD000485,CUST007466,2018-02-26,Email,0,0
LEAD000486,CUST000686,2017-01-18,Organic,1,0
LEAD000487,CUST003416,2017-03-28,Paid Search,0,0
LEAD000488,CUST007506,2018-04-22,Social,1,1
LEAD000489,CUST007932,2017-03-27,Marketplace,0,0
LEAD000490,CUST008746,2017-06-15,Organic,1,0
LEAD000491,CUST007636,2018-03-12,Paid Search,0,0
LEAD000492,CUST003715,2017-04-14,Marketplace,1,0
LEAD000493,CUST008884,2017-09-10,Paid Search,1,0
LEAD000494,CUST003989,2018-08-11,Referral,0,0
