interaction_id,customer_id,interaction_date,interaction_type,sales_rep_id,outcome
INT0000071,CUST001237,2017-12-13 07:33:05,follow_up,REP011,converted
INT0000072,CUST002237,2017-11-15 08:04:41,call,REP021,converted
INT0000073,CUST004460,2017-09-02 03:52:52,call,REP009,follow_up
INT0000074,CUST004725,2017-04-12 18:45:18,follow_up,REP030,interested
INT0000075,CUST001056,2017-09-17 15:00:59,meeting,REP018,converted
INT0000076,CUST008455,2017-09-18 16:34:14,follow_up,REP012,interested
INT0000077,CUST004312,2018-03-02 02:33:36,follow_up,REP012,no_response
INT0000078,CUST002202,2017-04-11 22:30:17,call,REP022,follow_up
INT0000079,CUST000978,2018-02-26 04:58:11,meeting,REP001,resolved
INT0000080,CUST005487,2018-08-13 00:00:00,call,REP003,resolved
INT0000081,CUST006189,2017-07-17 21:11:19,call,REP018,interested
INT0000082,CUST002576,2017-05-24 11:02:52,call,REP003,no_response
INT0000083,CUST005962,2017-11-01 00:00:00,follow_up,REP023,converted
INT0000084,CUST009626,2018-07-25 19:07:23,meeting,REP008,no_response
INT0000085,CUST003202,2017-07-23 18:58:12,support,REP005,follow_up
INT0000086,CUST002823,2017-08-06 00:00:00,email,REP002,converted
INT0000087,CUST009123,2017-01-15 08:46:10,meeting,REP004,resolved
INT0000088,CUST004685,2018-03-01 18:08:02,complaint,REP025,converted
INT0000089,CUST002297,2018-05-10 06:01:23,meeting,REP023,interested
INT0000090,CUST007622,2017-12-03 03:33:04,call,REP016,converted
INT0000091,CUST008967,2018-09-10 03:08:50,follow_up,REP006,no_response
INT0000092,CUST005696,2018-12-08 02:00:49,email,REP024,converted
INT0000093,CUST007620,2017-07-05 00:00:00,support,REP030,follow_up
INT0000094,CUST008586,2017-06-02 00:26:16,meeting,REP005,follow_up
INT0000095,CUST009540,2018-06-04 00:00:00,complaint,REP024,converted
INT0000096,CUST009458,2018-01-21 09:26:00,meeting,REP016,follow_up
INT0000097,CUST006475,2017-02-26 03:33:28,meeting,REP018,no_response
INT0000098,CUST005937,2018-06-28 06:43:02,email,REP009,no_response
INT0000099,CUST008039,2017-07-13 06:30:07,support,REP024,interested
INT0000100,CUST009817,2017-10-02 17:14:38,complaint,REP017,interested
INT0000101,CUST006915,2018-02-19 17:26:26,complaint,REP002,interested
INT0000102,CUST000994,2017-08-26 01:02:24,follow_up,REP020,converted
INT0000103,CUST004405,2017-04-09 00:07:38,call,REP013,follow_up
INT0000104,CUST005556,2017-04-07 06:49:31,follow_up,REP013,resolved
INT0000105,CUST008098,2018-01-04 15:09:31,email,REP030,no_response
INT0000106,CUST002371,2017-05-10 18:56:21,call,REP002,resolved
INT0000107,CUST003019,2017-03-23 19:57:08,email,REP018,resolved
INT0000108,CUST001977,2017-10-12 01:42:28,support,REP023,interested
INT0000109,CUST004211,2018-05-07 00:00:00,support,REP007,converted
INT0000110,CUST007916,2017-08-21 18:41:09,email,REP026,no_response
INT0000111,CUST009369,2017-09-28 06:26:36,email,REP027,no_response
INT0000112,CUST001124,2018-05-23 19:45:36,call,REP019,follow_up
INT0000113,CUST006727,2017-09-03 15:15:46,meeting,REP012,converted
INT0000114,CUST009924,2018-01-14 06:30:03,support,REP010,converted
INT0000115,CUST005195,2017-12-29 05:56:08,complaint,REP015,converted
INT0000116,CUST003540,2018-08-14 10:25:08,complaint,REP020,no_response
INT0000117,CUST005413,2017-10-15 17:36:39,support,REP030,follow_up
INT0000118,CUST007964,2017-04-16 14:46:50,follow_up,REP015,converted
INT0000119,CUST003182,2017-05-27 23:16:22,support,REP029,interested
INT0000120,CUST009293,2017-12-22 10:28:13,meeting,REP006,converted
INT0000121,CUST006678,2018-06-29 00:00:00,call,REP023,no_response
INT0000122,CUST005223,2018-06-05 11:48:45,email,REP008,resolved
INT0000123,CUST006623,2017-10-10 01:26:45,complaint,REP024,converted
INT0000124,CUST004373,2017-10-11 16:15:32,support,REP029,no_response
INT0000125,CUST001724,2017-01-09 16:46:11,follow_up,REP001,interested
INT0000126,CUST008010,2018-02-26 00:00:00,follow_up,REP003,resolved
INT0000127,CUST006658,2017-02-06 09:02:01,meeting,REP022,resolved
INT0000128,CUST002756,2017-12-09 12:51:12,meeting,REP030,no_response
INT0000129,CUST004316,2017-05-03 11:19:46,call,REP002,no_response
INT0000130,CUST006230,2017-05-16 10:59:38,complaint,REP020,resolved
INT0000131,CUST007344,2017-10-28 03:54:24,complaint,REP023,interested
INT0000132,CUST009515,2017-06-21 12:00:20,complaint,REP002,no_response
INT0000133,CUST006138,2017-06-10 23:45:12,meeting,REP019,resolved
INT0000134,CUST000314,2018-01-20 21:13:01,support,REP025,resolved
INT0000135,CUST004931,2017-01-06 17:18:45,complaint,REP009,no_response
INT0000136,CUST005393,2017-05-27 18:16:22,complaint,REP004,resolved
INT0000137,CUST000834,2017-04-27 18:29:31,complaint,REP006,interested
INT0000138,CUST004721,2017-12-20 02:02:58,call,REP012,resolved
INT0000139,CUST001659,2017-07-10 15:36:55,meeting,REP011,follow_up
INT0000140,CUST003851,2017-04-27 06:38:21,meeting,REP018,resolved
INT0000141,CUST004705,2018-01-15 00:00:00,follow_up,REP005,resolved
INT0000142,CUST000979,2017-09-30 11:38:59,support,REP016,no_response
INT0000143,CUST004790,2018-04-03 23:28:33,email,REP012,interested
INT0000144,CUST001588,2017-08-19 15:22:47,follow_up,REP021,interested
INT0000145,CUST009647,2017-05-02 04:23:12,email,REP016,follow_up
INT0000146,CUST002090,2017-07-23 04:59:45,complaint,REP024,follow_up
INT0000147,CUST004262,2018-05-21 05:26:16,call,REP025,resolved
INT0000148,CUST006087,2017-03-07 13:20:38,complaint,REP028,interested
INT0000149,CUST003458,2017-07-17 19:21:51,call,REP017,interested
INT0000150,CUST006579,2018-06-06 13:31:07,support,REP029,follow_up
INT0000151,CUST004060,2017-01-23 19:25:02,meeting,REP003,no_response
INT0000152,CUST009829,2017-04-10 13:47:28,support,REP030,resolved
INT0000153,CUST002169,2017-09-10 02:13:02,meeting,REP008,converted
INT0000154,CUST009741,2017-07-31 10:07:03,meeting,REP020,follow_up
INT0000155,CUST007249,2018-04-12 14:08:31,complaint,REP018,no_response
INT0000156,CUST002261,2017-04-17 09:49:24,support,REP002,converted
INT0000157,CUST009835,2017-04-14 16:57:40,call,REP005,no_response
INT0000158,CUST006148,2017-07-26 04:53:47,follow_up,REP004,no_response
INT0000159,CUST006797,2018-01-21 23:55:05,meeting,REP013,resolved
INT0000160,CUST007186,2017-11-28 06:27:49,follow_up,REP004,no_response
INT0000161,CUST002462,2018-07-12 00:00:00,support,REP023,follow_up
INT0000162,CUST008958,2018-04-30 17:29:57,complaint,REP013,interested
INT0000163,CUST007539,2018-06-19 00:00:00,complaint,REP011,interested
INT0000164,CUST008208,2017-09-09 17:14:56,meeting,REP011,converted
INT0000165,CUST001466,2017-06-28 15:50:02,follow_up,REP022,converted
INT0000166,CUST006305,2017-09-03 00:00:00,email,REP013,interested
INT0000167,CUST009746,2017-07-23 20:42:37,complaint,REP001,follow_up
INT0000168,CUST002528,2018-07-29 02:13:53,support,REP016,resolved
INT0000169,CUST009440,2017-06-10 15:29:29,call,REP011,interested
INT0000170,CUST001820,2018-01-13 14:35:55,email,REP024,interested
INT0000171,CUST003612,2017-04-24 00:34:36,support,REP026,follow_up
INT0000172,CUST008619,2018-06-02 00:00:00,meeting,REP021,follow_up
INT0000173,CUST005121,2018-10-25 09:18:00,call,REP018,interested
INT0000174,CUST000053,2018-02-04 09:58:02,complaint,REP011,resolved
INT0000175,CUST007613,2018-05-26 14:13:15,meeting,REP024,no_response
INT0000176,CUST008287,2017-07-31 06:32:57,complaint,REP029,follow_up
INT0000177,CUST006213,2017-01-09 17:47:48,support,REP016,no_response
INT0000178,CUST006763,2017-04-05 05:40:52,meeting,REP013,interested
INT0000179,CUST000235,2017-06-25 09:47:35,complaint,REP008,follow_up
INT0000180,CUST007060,2017-07-07 20:58:55,support,REP003,no_response
INT0000181,CUST001201,2017-05-11 20:10:39,call,REP013,resolved
INT0000182,CUST006541,2017-11-12 12:51:52,call,REP006,interested
INT0000183,CUST006786,2017-09-27 16:19:18,support,REP008,no_response
INT0000184,CUST000214,2017-05-28 14:28:58,call,REP021,no_response
INT0000185,CUST002820,2018-04-15 09:58:55,email,REP027,converted
INT0000186,CUST005290,2017-11-27 05:19:19,follow_up,REP007,converted
INT0000187,CUST006442,2017-11-26 02:40:00,complaint,REP009,resolved
INT0000188,CUST008309,2018-03-15 05:04:36,complaint,REP012,resolved
INT0000189,CUST003513,2017-11-08 00:00:00,email,REP008,follow_up
INT0000190,CUST008387,2017-12-27 14:36:43,call,REP025,converted
INT0000191,CUST006500,2018-01-29 03:34:33,email,REP011,converted
INT0000192,CUST002306,2017-01-25 00:00:00,complaint,REP007,resolved
INT0000193,CUST007985,2018-08-04 04:09:37,follow_up,REP001,converted
INT0000194,CUST002035,2017-06-17 20:46:50,follow_up,REP002,interested
INT0000195,CUST008771,2017-07-25 19:59:00,follow_up,REP013,resolved
INT0000196,CUST004872,2017-05-20 00:01:50,follow_up,REP006,resolved
INT0000197,CUST001988,2017-07-28 17:16:46,email,REP015,follow_up
INT0000198,CUST004317,2017-09-25 13:42:19,follow_up,REP004,converted
INT0000199,CUST008489,2018-08-30 12:55:45,follow_up,REP022,converted
INT0000200,CUST009115,2017-11-16 00:58:45,call,REP004,follow_up
INT0000201,CUST000583,2017-02-12 14:55:39,complaint,REP023,converted
INT0000202,CUST009306,2018-01-16 23:37:08,meeting,REP018,converted
INT0000203,CUST002634,2018-07-19 03:43:21,follow_up,REP030,resolved
INT0000204,CUST006611,2017-08-06 12:21:02,complaint,REP005,follow_up
INT0000205,CUST002186,2018-04-19 09:45:11,call,REP011,follow_up
INT0000206,CUST002884,2017-07-31 19:35:52,complaint,REP011,follow_up
INT0000207,CUST007563,2018-09-04 08:25:05,follow_up,REP005,converted
INT0000208,CUST001885,2018-02-13 03:43:16,call,REP023,follow_up
INT0000209,CUST007941,2017-10-07 12:31:24,complaint,REP030,interested
INT0000210,CUST007128,2018-09-21 00:00:00,call,REP015,follow_up
INT0000211,CUST009865,2017-07-25 08:50:07,email,REP024,resolved
INT0000212,CUST000110,2018-07-31 10:14:29,email,REP025,no_response
INT0000213,CUST005362,2017-05-20 11:29:53,email,REP025,interested
INT0000214,CUST003255,2017-10-13 00:00:00,support,REP018,converted
INT0000215,CUST002331,2017-12-23 03:59:04,email,REP009,resolved
INT0000216,CUST009064,2017-11-20 21:41:54,meeting,REP017,no_response
INT0000217,CUST001319,2018-04-22 02:01:51,meeting,REP023,interested
INT0000218,CUST007431,2017-09-19 08:00:04,follow_up,REP003,follow_up
INT0000219,CUST004914,2017-09-06 21:17:00,follow_up,REP030,resolved
INT0000220,CUST009737,2017-07-09 12:08:04,email,REP021,resolved
INT0000221,CUST001413,2017-03-24 10:56:51,follow_up,REP030,no_response
INT0000222,CUST004280,2017-03-10 05:04:40,follow_up,REP003,no_response
INT0000223,CUST005430,2017-03-21 01:40:39,follow_up,REP010,interested
INT0000224,CUST003475,2017-12-07 00:18:16,email,REP028,follow_up
INT0000225,CUST000894,2017-10-04 11:51:18,support,REP016,interested
INT0000226,CUST002466,2017-11-08 16:29:37,follow_up,REP008,converted
INT0000227,CUST004272,2017-10-06 13:47:56,support,REP001,converted
INT0000228,CUST004118,2017-07-18 02:39:29,meeting,REP010,interested
INT0000229,CUST009715,2017-09-02 01:16:33,follow_up,REP029,no_response
INT0000230,CUST005090,2018-05-27 04:53:27,support,REP011,follow_up
INT0000231,CUST002483,2019-02-03 00:00:00,follow_up,REP004,interested
INT0000232,CUST001629,2018-09-07 10:49:29,call,REP007,converted
INT0000233,CUST005766,2017-12-11 15:57:13,email,REP006,resolved
INT0000234,CUST000808,2016-12-21 10:06:16,meeting,REP016,follow_up
INT0000235,CUST004535,2017-08-04 15:03:11,meeting,REP021,interested
INT0000236,CUST006345,2018-07-12 18:18:22,call,REP019,follow_up
INT0000237,CUST003958,2017-09-29 19:49:24,follow_up,REP011,follow_up
INT0000238,CUST004831,2018-04-04 20:00:18,follow_up,REP025,interested
INT0000239,CUST007292,2017-08-05 04:19:14,meeting,REP011,interested
INT0000240,CUST004827,2018-11-02 21:59:33,support,REP024,resolved
INT0000241,CUST004993,2017-06-13 23:35:33,complaint,REP020,follow_up
INT0000242,CUST008301,2017-08-05 01:12:24,complaint,REP028,converted
INT0000243,CUST008089,2017-04-14 01:35:29,follow_up,REP024,follow_up
INT0000244,CUST007692,2017-01-10 21:19:53,meeting,REP020,interested
INT0000245,CUST009343,2017-08-25 23:10:58,support,REP004,follow_up
INT0000246,CUST007642,2017-05-30 03:28:17,support,REP013,interested
INT0000247,CUST006594,2017-05-02 10:39:10,meeting,REP030,no_response
INT0000248,CUST000860,2017-07-04 17:21:35,meeting,REP006,follow_up
INT0000249,CUST000369,2018-05-22 11:12:18,complaint,REP025,interested
INT0000250,CUST009800,2017-08-11 23:38:20,complaint,REP023,follow_up
INT0000251,CUST000301,2018-12-01 08:59:02,complaint,REP017,converted
INT0000252,CUST003296,2017-03-04 08:43:59,follow_up,REP014,follow_up
INT0000253,CUST005966,2017-05-29 14:59:45,email,REP025,follow_up
INT0000254,CUST005243,2017-10-07 18:23:13,email,REP026,converted
INT0000255,CUST002865,2017-09-15 03:47:11,email,REP014,follow_up
INT0000256,CUST004596,2017-12-21 00:00:00,follow_up,REP024,converted
INT0000257,CUST008422,2017-09-02 02:36:42,email,REP011,converted
INT0000258,CUST002995,2017-12-06 02:48:11,follow_up,REP010,interested
INT0000259,CUST006208,2018-06-14 06:34:23,call,REP025,no_response
INT0000260,CUST008060,2018-02-19 18:57:45,meeting,REP014,follow_up
INT0000261,CUST009662,2017-08-08 00:00:00,email,REP011,resolved
INT0000262,CUST003633,2017-11-20 22:35:05,complaint,REP015,converted
INT0000263,CUST009338,2017-07-19 13:06:43,support,REP023,resolved
INT0000264,CUST006143,2017-09-11 00:00:00,email,REP002,interested
INT0000265,CUST000010,2017-07-20 12:46:10,meeting,REP013,follow_up
INT0000266,CUST001988,2017-07-28 17:16:46,meeting,REP017,interested
INT0000267,CUST004383,2018-02-22 09:03:19,support,REP003,no_response
INT0000268,CUST004930,2017-03-21 09:56:19,email,REP005,interested
INT0000269,CUST001167,2017-07-13 21:37:01,email,REP009,converted
INT0000270,CUST002953,2017-06-07 20:20:29,call,REP027,interested
INT0000271,CUST002581,2017-12-02 15:24:52,email,REP024,interested
INT0000272,CUST000067,2017-01-15 18:12:37,meeting,REP023,interested
INT0000273,CUST001841,2017-02-19 05:31:01,meeting,REP024,converted
INT0000274,CUST007658,2017-04-12 18:43:05,follow_up,REP010,follow_up
INT0000275,CUST000968,2017-05-16 07:13:11,call,REP008,follow_up
INT0000276,CUST000178,2017-02-07 01:05:36,follow_up,REP024,interested
INT0000277,CUST004940,2018-10-29 03:46:22,email,REP010,resolved
INT0000278,CUST003583,2017-01-04 01:56:20,email,REP028,converted
INT0000279,CUST007788,2017-04-11 01:41:25,support,REP007,converted
INT0000280,CUST006605,2017-06-07 03:15:37,support,REP002,converted
INT0000281,CUST003810,2019-03-03 00:00:00,call,REP007,resolved
INT0000282,CUST006149,2017-03-30 14:56:20,call,REP022,no_response
INT0000283,CUST003416,2018-10-07 09:36:16,meeting,REP021,no_response
INT0000284,CUST000120,2018-01-11 10:10:34,meeting,REP011,converted
INT0000285,CUST006656,2018-08-18 07:24:38,complaint,REP011,resolved
INT0000286,CUST001082,2017-01-22 17:09:10,complaint,REP030,follow_up
INT0000287,CUST005739,2017-03-25 06:23:36,meeting,REP023,converted
INT0000288,CUST003906,2017-08-02 17:12:56,support,REP028,converted
INT0000289,CUST007847,2017-07-02 22:25:01,email,REP028,resolved
INT0000290,CUST005693,2017-05-26 23:21:45,call,REP003,resolved
INT0000291,CUST003091,2017-09-09 17:05:09,meeting,REP018,interested
INT0000292,CUST002802,2017-08-10 00:00:00,complaint,REP005,interested
INT0000293,CUST007976,2017-07-26 21:06:11,support,REP010,resolved
INT0000294,CUST000103,2017-04-11 01:33:39,meeting,REP020,no_response
INT0000295,CUST001247,2017-05-06 11:34:45,meeting,REP013,resolved
INT0000296,CUST009185,2018-02-09 09:39:02,email,REP030,interested
INT0000297,CUST003949,2018-03-28 04:05:52,support,REP018,follow_up
INT0000298,CUST004817,2017-06-14 22:57:41,email,REP012,resolved
INT0000299,CUST008600,2018-04-04 01:15:36,complaint,REP004,follow_up
INT0000300,CUST002680,2017-06-09 15:34:46,support,REP014,follow_up
INT0000301,CUST006907,2017-11-18 01:01:22,call,REP001,interested
INT0000302,CUST003937,2017-09-26 14:00:49,follow_up,REP005,follow_up
INT0000303,CUST009224,2018-05-20 17:12:20,complaint,REP015,resolved
INT0000304,CUST005743,2017-06-29 08:09:19,support,REP015,no_response
INT0000305,CUST008051,2018-03-31 10:25:45,email,REP025,interested
INT0000306,CUST000818,2017-08-31 13:50:17,email,REP004,resolved
INT0000307,CUST008285,2017-07-02 02:21:14,email,REP002,interested
INT0000308,CUST007221,2017-11-10 22:41:48,call,REP020,converted
INT0000309,CUST002719,2018-10-02 19:33:34,follow_up,REP010,converted
INT0000310,CUST005943,2017-11-26 13:59:41,complaint,REP030,interested
INT0000311,CUST000656,2017-04-17 12:28:47,support,REP012,no_response
INT0000312,CUST007347,2018-01-14 09:31:56,follow_up,REP014,converted
INT0000313,CUST003557,2017-01-07 12:28:08,support,REP016,interested
INT0000314,CUST007968,2017-07-26 03:27:20,call,REP009,no_response
INT0000315,CUST005910,2017-04-16 03:17:03,meeting,REP028,no_response
INT0000316,CUST005932,2017-10-09 00:00:00,meeting,REP017,converted
INT0000317,CUST009805,2017-09-04 15:30:47,complaint,REP024,interested
INT0000318,CUST006912,2018-05-31 21:02:23,call,REP006,converted
INT0000319,CUST009534,2018-05-10 12:27:46,meeting,REP022,interested
INT0000320,CUST001123,2017-10-28 20:27:33,support,REP003,converted
INT0000321,CUST009931,2017-08-04 22:14:45,follow_up,REP006,resolved
INT0000322,CUST000593,2018-07-14 00:43:55,complaint,REP008,interested
INT0000323,CUST008109,2017-06-06 14:40:59,call,REP018,converted
INT0000324,CUST008411,2017-05-24 21:21:52,complaint,REP007,no_response
INT0000325,CUST002827,2017-11-09 18:29:36,call,REP015,converted
INT0000326,CUST009646,2017-07-16 21:21:23,meeting,REP012,interested
INT0000327,CUST002003,2018-04-30 19:09:06,complaint,REP006,interested
INT0000328,CUST002250,2017-04-13 21:57:54,support,REP024,converted
INT0000329,CUST007671,2017-02-14 23:29:13,follow_up,REP008,no_response
INT0000330,CUST008698,2017-12-13 13:38:02,complaint,REP020,resolved
INT0000331,CUST007031,2018-11-18 04:27:18,follow_up,REP003,no_response
INT0000332,CUST004530,2017-02-22 18:51:42,follow_up,REP027,interested
INT0000333,CUST006129,2017-05-06 21:06:25,follow_up,REP020,no_response
INT0000334,CUST003592,2017-05-30 02:15:08,complaint,REP028,no_response
INT0000335,CUST000954,2017-09-16 00:43:51,meeting,REP011,follow_up
INT0000336,CUST009130,2018-10-11 03:56:30,call,REP030,follow_up
INT0000337,CUST007028,2017-06-26 15:27:35,meeting,REP019,resolved
INT0000338,CUST001925,2017-09-12 07:53:39,complaint,REP001,converted
INT0000339,CUST002582,2018-03-13 16:09:31,email,REP030,interested
INT0000340,CUST005212,2017-05-22 17:46:23,complaint,REP005,interested
INT0000341,CUST005561,2018-11-01 15:12:41,call,REP019,no_response
INT0000342,CUST001461,2017-05-30 09:36:36,meeting,REP024,resolved
INT0000343,CUST002436,2018-11-28 00:00:00,complaint,REP023,resolved
INT0000344,CUST004572,2017-12-20 01:46:50,complaint,REP019,follow_up
INT0000345,CUST001105,2018-03-24 17:55:02,email,REP013,follow_up
INT0000346,CUST007542,2017-07-07 07:04:13,complaint,REP019,interested
INT0000347,CUST002064,2017-06-24 22:51:19,follow_up,REP008,converted
INT0000348,CUST007323,2017-05-12 21:18:27,call,REP028,follow_up
INT0000349,CUST005369,2017-09-03 04:09:33,support,REP017,no_response
INT0000350,CUST008637,2018-06-18 05:20:16,follow_up,REP006,converted
INT0000351,CUST001742,2017-05-03 12:56:02,complaint,REP001,no_response
INT0000352,CUST008396,2017-03-17 07:30:28,email,REP003,converted
INT0000353,CUST006035,2017-05-01 21:47:52,meeting,REP024,no_response
INT0000354,CUST009781,2018-09-01 22:03:35,follow_up,REP020,converted
INT0000355,CUST003418,2017-07-10 08:40:56,email,REP019,converted
INT0000356,CUST002937,2017-06-09 02:34:02,complaint,REP003,follow_up
INT0000357,CUST003181,2017-04-05 11:33:04,email,REP030,converted
INT0000358,CUST004146,2017-02-18 02:24:43,follow_up,REP018,converted
INT0000359,CUST009274,2017-10-21 17:06:37,meeting,REP022,interested
INT0000360,CUST001715,2017-09-29 12:37:36,follow_up,REP029,converted
INT0000361,CUST000584,2017-07-04 05:31:23,support,REP025,converted
INT0000362,CUST009846,2018-05-05 17:34:09,email,REP020,no_response
INT0000363,CUST001858,2017-03-24 22:46:37,complaint,REP022,interested
INT0000364,CUST005042,2018-06-12 07:19:03,email,REP019,no_response
INT0000365,CUST000902,2017-12-09 00:52:50,email,REP024,converted
INT0000366,CUST001922,2017-06-08 01:51:10,support,REP013,interested
INT0000367,CUST008924,2017-10-28 10:33:42,support,REP027,resolved
INT0000368,CUST001090,2018-03-05 00:00:00,support,REP017,converted
INT0000369,CUST007245,2017-06-16 19:36:53,follow_up,REP003,interested
INT0000370,CUST000654,2018-10-20 12:18:19,support,REP011,resolved
INT0000371,CUST005132,2018-05-25 09:35:01,meeting,REP005,no_response
INT0000372,CUST009989,2018-08-15 16:59:25,call,REP007,interested
INT0000373,CUST000509,2017-10-10 20:53:23,complaint,REP019,resolved
INT0000374,CUST005198,2017-09-13 11:55:35,call,REP025,follow_up
INT0000375,CUST000502,2017-09-14 13:42:15,follow_up,REP005,converted
INT0000376,CUST004095,2017-06-14 22:55:15,follow_up,REP007,converted
INT0000377,CUST005869,2017-03-02 05:10:22,complaint,REP009,resolved
INT0000378,CUST008709,2018-03-28 20:29:08,support,REP005,no_response
INT0000379,CUST006438,2017-05-03 09:23:27,call,REP014,resolved
INT0000380,CUST001680,2018-08-10 06:00:26,call,REP012,resolved
INT0000381,CUST000372,2017-11-24 14:51:13,complaint,REP002,follow_up
INT0000382,CUST006834,2017-08-31 08:21:27,complaint,REP011,resolved
INT0000383,CUST002732,2017-01-27 13:31:51,follow_up,REP009,follow_up
INT0000384,CUST006483,2018-01-01 01:15:56,complaint,REP001,follow_up
INT0000385,CUST005469,2017-08-01 04:20:34,email,REP021,no_response
INT0000386,CUST006519,2018-03-13 21:20:10,email,REP007,follow_up
INT0000387,CUST002489,2017-08-13 22:46:32,call,REP009,follow_up
INT0000388,CUST000850,2018-02-12 08:20:13,call,REP012,converted
INT0000389,CUST004765,2017-10-03 14:55:44,meeting,REP007,no_response
