snapshot_date,product_id,warehouse_id,stock_quantity,reserved_quantity,reorder_point
2017-01-01,PROD00631,WH003,3,3,45
2017-01-01,PROD00002,WH002,400,37,32
2017-01-01,PROD01508,WH010,431,65,75
2017-01-01,PROD01856,WH007,450,75,88
2017-01-01,PROD00713,WH010,499,73,35
2017-01-01,PROD00298,WH009,131,48,54
2017-01-01,PROD01961,WH006,27,5,58
2017-01-01,PROD00012,WH004,365,34,83
2017-01-01,PROD01013,WH001,199,80,57
2017-01-01,PROD00080,WH006,264,78,73
2017-01-01,PROD00018,WH005,113,61,39
2017-01-01,PROD00263,WH004,485,34,83
2017-01-01,PROD01761,WH008,463,39,27
2017-01-01,PROD01471,WH009,213,75,114
2017-01-01,PROD00689,WH004,273,78,65
2017-01-01,PROD01798,WH009,204,44,61
2017-01-01,PROD01279,WH006,23,20,39
2017-01-01,PROD01288,WH003,95,66,30
2017-01-01,PROD00993,WH001,239,5,75
2017-01-01,PROD01670,WH001,381,52,49
2017-01-01,PROD00914,WH006,381,25,57
2017-01-01,PROD00110,WH009,129,60,68
2017-01-01,PROD01579,WH009,16,4,79
2017-01-01,PROD01945,WH006,114,19,115
2017-01-01,PROD01506,WH010,351,20,63
2017-01-01,PROD00105,WH004,271,46,55
2017-01-01,PROD00998,WH004,490,5,59
2017-01-01,PROD01297,WH005,447,32,50
2017-01-01,PROD00702,WH008,304,41,31
2017-01-01,PROD01126,WH009,28,16,29
2017-01-01,PROD00166,WH002,409,76,85
2017-01-01,PROD00551,WH005,317,41,28
2017-01-01,PROD01534,WH008,291,43,36
2017-01-01,PROD01686,WH001,6,0,94
2017-01-01,PROD00625,WH003,91,37,95
2017-01-01,PROD01470,WH006,135,17,24
2017-01-01,PROD01765,WH009,179,53,76
2017-01-01,PROD00796,WH004,115,66,42
2017-01-01,PROD01635,WH002,75,31,60
2017-01-01,PROD01883,WH003,58,51,37
2017-01-01,PROD00368,WH007,207,51,93
2017-01-01,PROD01753,WH003,116,12,50
2017-01-01,PROD01493,WH009,35,23,94
2017-01-01,PROD00815,WH004,452,47,101
2017-01-01,PROD00601,WH010,282,53,95
2017-01-01,PROD01601,WH003,156,76,42
2017-01-01,PROD01307,WH010,171,1,107
2017-01-01,PROD01617,WH005,124,11,84
2017-01-01,PROD00561,WH005,3,3,98
2017-01-01,PROD00612,WH007,467,38,80
2017-01-01,PROD00846,WH006,477,80,48
2017-01-01,PROD01464,WH006,341,69,40
2017-01-01,PROD01960,WH007,223,61,49
2017-01-01,PROD01971,WH005,216,5,53
2017-01-01,PROD01424,WH004,126,33,33
2017-01-01,PROD01978,WH004,370,24,62
2017-01-01,PROD00219,WH010,78,45,34
2017-01-01,PROD01387,WH001,322,51,109
2017-01-01,PROD00333,WH006,422,54,119
2017-01-01,PROD00494,WH006,187,58,116
2017-01-01,PROD00308,WH006,223,52,50
2017-01-01,PROD00367,WH003,368,44,53
2017-01-01,PROD01553,WH010,115,20,118
2017-01-01,PROD00766,WH004,432,17,20
2017-01-01,PROD00304,WH006,448,29,24
2017-01-01,PROD01992,WH005,133,19,33
2017-01-01,PROD01294,WH007,219,59,95
2017-01-01,PROD01017,WH004,148,27,104
2017-01-01,PROD01675,WH009,148,47,46
2017-01-01,PROD01253,WH002,91,60,63
2017-01-01,PROD01592,WH006,104,35,110
2017-01-01,PROD01165,WH007,92,78,83
2017-01-01,PROD00397,WH005,390,48,84
2017-01-01,PROD01814,WH004,400,51,115
2017-01-01,PROD01904,WH003,500,79,35
2017-01-01,PROD00726,WH005,201,59,89
2017-01-01,PROD00994,WH001,108,9,60
2017-01-01,PROD00109,WH007,231,54,75
2017-01-01,PROD00268,WH009,302,60,32
2017-01-01,PROD00173,WH001,423,18,91
2017-01-01,PROD00644,WH010,163,31,100
2017-01-01,PROD01210,WH007,483,49,87
2017-01-01,PROD00524,WH009,13,9,64
2017-01-01,PROD00061,WH002,148,56,29
2017-01-01,PROD00708,WH002,75,43,110
2017-01-01,PROD00336,WH006,163,39,87
2017-01-01,PROD01524,WH006,437,58,108
2017-01-01,PROD01827,WH003,182,52,94
2017-01-01,PROD01004,WH009,80,23,89
2017-01-01,PROD01880,WH010,171,60,38
2017-01-01,PROD01763,WH004,22,16,27
2017-01-01,PROD01522,WH004,103,37,98
2017-01-01,PROD01532,WH004,477,58,79
2017-01-01,PROD01510,WH010,70,10,27
2017-01-01,PROD00305,WH005,195,25,120
2017-01-01,PROD01657,WH005,478,22,105
2017-01-01,PROD01504,WH006,108,77,115
2017-01-01,PROD01462,WH008,448,9,34
2017-01-01,PROD01431,WH007,121,30,114
2017-01-01,PROD01795,WH005,165,66,42
2017-01-01,PROD00667,WH010,349,32,117
2017-01-01,PROD01605,WH003,2,0,58
2017-01-01,PROD01241,WH001,498,12,81
2017-01-01,PROD00511,WH002,314,46,49
2017-01-01,PROD01036,WH003,60,31,51
2017-01-01,PROD00142,WH007,472,29,113
2017-01-01,PROD01530,WH002,188,78,63
2017-01-01,PROD01334,WH004,344,26,47
2017-01-01,PROD01463,WH001,248,3,79
2017-01-01,PROD00824,WH004,70,43,56
2017-01-01,PROD01929,WH004,453,51,52
2017-01-01,PROD00727,WH009,368,77,40
2017-01-01,PROD01890,WH004,338,8,50
2017-01-01,PROD00176,WH008,321,41,84
2017-01-01,PROD01125,WH007,105,13,118
2017-01-01,PROD01224,WH009,428,22,49
2017-01-01,PROD00806,WH008,344,37,49
2017-01-01,PROD00388,WH005,327,0,90
2017-01-01,PROD00172,WH003,207,48,41
2017-01-01,PROD01315,WH006,488,23,37
2017-01-01,PROD01555,WH009,391,42,36
2017-01-01,PROD00270,WH007,174,62,90
2017-01-01,PROD00136,WH007,325,8,26
2017-01-01,PROD01789,WH010,208,2,40
2017-01-01,PROD01257,WH004,97,74,79
2017-01-01,PROD00742,WH006,129,24,25
2017-01-01,PROD01449,WH009,243,5,82
2017-01-01,PROD01351,WH010,341,20,38
2017-01-01,PROD00718,WH007,398,13,21
2017-01-01,PROD01746,WH003,178,10,27
2017-01-01,PROD00255,WH004,411,46,83
2017-01-01,PROD01019,WH009,36,25,35
2017-01-01,PROD01259,WH003,3,1,27
2017-01-01,PROD01707,WH008,190,5,48
2017-01-01,PROD01102,WH006,35,11,108
2017-01-01,PROD00079,WH002,423,74,119
2017-01-01,PROD01996,WH005,148,48,99
2017-01-01,PROD00118,WH006,70,67,77
2017-01-01,PROD01261,WH002,245,71,21
2017-01-01,PROD01062,WH006,82,27,108
2017-01-01,PROD00960,WH007,261,53,47
2017-01-01,PROD01882,WH003,449,80,111
2017-01-01,PROD00424,WH010,467,58,65
2017-01-01,PROD01825,WH010,41,41,82
2017-01-01,PROD00751,WH001,134,44,38
2017-01-01,PROD01826,WH007,93,34,111
2017-01-01,PROD01227,WH002,258,18,23
2017-01-01,PROD01775,WH008,249,69,94
2017-01-01,PROD00618,WH007,271,78,119
2017-01-01,PROD01667,WH007,386,5,72
2017-01-01,PROD00390,WH005,264,22,27
2017-01-01,PROD01192,WH010,79,77,81
2017-01-01,PROD01081,WH004,489,36,108
2017-01-01,PROD00014,WH009,246,27,55
2017-01-01,PROD00235,WH010,118,0,82
2017-01-01,PROD00935,WH002,136,17,59
2017-01-01,PROD00662,WH002,148,23,32
2017-01-01,PROD00438,WH009,195,32,115
2017-01-01,PROD00430,WH003,310,66,81
2017-01-01,PROD01443,WH008,157,73,38
2017-01-01,PROD01046,WH003,23,13,59
2017-01-01,PROD01758,WH003,156,34,85
2017-01-01,PROD00633,WH008,396,49,100
2017-01-01,PROD01558,WH005,428,3,86
2017-01-01,PROD00346,WH010,467,69,24
2017-01-01,PROD01757,WH007,216,12,66
2017-01-01,PROD01400,WH010,167,21,68
2017-01-01,PROD00606,WH004,435,15,79
2017-01-01,PROD00985,WH003,12,6,60
2017-01-01,PROD01810,WH001,413,36,63
2017-01-01,PROD01631,WH004,109,64,107
2017-01-01,PROD00598,WH001,39,22,77
2017-01-01,PROD00646,WH008,480,51,37
2017-01-01,PROD01528,WH005,470,71,53
2017-01-01,PROD00694,WH002,81,22,87
2017-01-01,PROD01033,WH008,410,46,63
2017-01-01,PROD01277,WH003,482,45,22
2017-01-01,PROD01625,WH007,189,12,116
2017-01-01,PROD01942,WH010,231,77,82
2017-01-01,PROD01472,WH005,499,30,118
2017-01-01,PROD01437,WH001,258,21,55
2017-01-01,PROD00720,WH001,459,15,74
2017-01-01,PROD00527,WH002,481,29,97
2017-01-01,PROD00325,WH010,78,9,59
2017-01-01,PROD00818,WH006,23,4,46
2017-01-01,PROD01574,WH002,446,46,23
2017-01-01,PROD01398,WH004,131,55,72
2017-01-01,PROD00919,WH008,50,3,34
2017-01-01,PROD00573,WH007,344,72,57
2017-01-01,PROD01709,WH010,316,69,89
2017-01-01,PROD00433,WH009,403,50,35
2017-01-01,PROD01202,WH001,249,41,103
2017-01-01,PROD00975,WH007,8,6,95
2017-01-01,PROD01613,WH010,333,68,83
2017-01-01,PROD01587,WH004,9,5,108
2017-01-01,PROD00827,WH002,469,15,109
2017-01-01,PROD01348,WH007,485,63,108
2017-01-01,PROD01919,WH004,249,8,31
2017-01-01,PROD00848,WH002,117,54,46
2017-01-01,PROD01916,WH002,168,21,55
2017-01-01,PROD01573,WH009,75,33,52
2017-01-01,PROD01049,WH007,132,59,118
2017-01-01,PROD01143,WH004,162,66,119
2017-01-01,PROD01698,WH006,100,37,44
2017-01-01,PROD00416,WH004,424,47,92
2017-01-01,PROD01949,WH006,293,31,79
2017-01-01,PROD00004,WH004,294,11,103
2017-01-01,PROD00312,WH003,180,18,86
2017-01-01,PROD00078,WH010,112,17,114
2017-01-01,PROD00422,WH001,117,6,33
2017-01-01,PROD00673,WH005,156,56,119
2017-01-01,PROD00803,WH008,168,53,109
2017-01-01,PROD00719,WH006,72,44,92
2017-01-01,PROD01711,WH008,104,71,107
2017-01-01,PROD00512,WH009,436,77,112
2017-01-01,PROD00962,WH001,232,67,75
2017-01-01,PROD00628,WH008,153,31,85
2017-01-01,PROD00729,WH001,144,76,108
2017-01-01,PROD01857,WH001,38,32,45
2017-01-01,PROD01434,WH003,288,56,34
2017-01-01,PROD01280,WH003,24,2,49
2017-01-01,PROD00115,WH007,381,44,83
2017-01-01,PROD00577,WH005,307,17,73
2017-01-01,PROD01044,WH008,427,5,62
2017-01-01,PROD00302,WH008,163,3,51
2017-01-01,PROD00125,WH007,392,10,77
2017-01-01,PROD01505,WH005,346,60,104
2017-01-01,PROD01603,WH004,272,27,59
2017-01-01,PROD00521,WH007,331,67,119
2017-01-01,PROD00243,WH005,47,38,53
2017-01-01,PROD00015,WH001,88,34,115
2017-01-01,PROD01560,WH009,197,17,31
2017-01-01,PROD01499,WH004,143,57,75
2017-01-01,PROD00712,WH007,203,62,63
2017-01-01,PROD01223,WH005,444,53,42
2017-01-01,PROD00666,WH010,91,26,27
2017-01-01,PROD01317,WH008,467,50,101
2017-01-01,PROD00373,WH002,19,15,113
2017-01-01,PROD01799,WH003,29,11,36
2017-01-01,PROD01156,WH010,271,50,81
2017-01-01,PROD00386,WH007,414,52,119
2017-01-01,PROD00750,WH010,242,41,36
2017-01-01,PROD00725,WH001,417,34,76
2017-01-01,PROD01720,WH005,424,25,80
2017-01-01,PROD00451,WH006,240,41,67
2017-01-01,PROD00273,WH004,215,8,106
2017-01-01,PROD01318,WH002,425,63,45
2017-01-01,PROD00349,WH008,370,45,31
2017-01-01,PROD00599,WH003,372,41,66
2017-01-01,PROD01700,WH001,145,12,97
2017-01-01,PROD00778,WH003,35,34,20
2017-01-01,PROD01833,WH001,337,32,59
2017-01-01,PROD01075,WH006,195,57,37
2017-01-01,PROD01412,WH006,89,27,105
2017-01-01,PROD00874,WH001,324,39,40
2017-01-01,PROD00516,WH010,104,29,44
2017-01-01,PROD00759,WH006,177,48,30
2017-01-01,PROD00385,WH001,46,38,102
2017-01-01,PROD00168,WH003,303,20,22
2017-01-01,PROD00543,WH006,254,41,116
2017-01-01,PROD01986,WH006,82,76,109
2017-01-01,PROD01719,WH008,91,3,69
2017-01-01,PROD01786,WH009,132,57,87
2017-01-01,PROD01374,WH007,455,48,116
2017-01-01,PROD00215,WH001,188,25,46
2017-01-01,PROD01250,WH003,57,28,117
2017-01-01,PROD01956,WH003,405,76,113
2017-01-01,PROD00436,WH002,20,7,24
2017-01-01,PROD00310,WH005,91,52,105
2017-01-01,PROD00493,WH007,243,21,88
2017-01-01,PROD00327,WH003,372,5,46
2017-01-01,PROD01115,WH006,126,55,32
2017-01-01,PROD00466,WH009,484,63,62
2017-01-01,PROD00857,WH003,415,7,21
2017-01-01,PROD01895,WH010,58,47,81
2017-01-01,PROD01841,WH003,226,0,86
2017-01-01,PROD00754,WH004,147,38,66
2017-01-01,PROD00063,WH005,214,59,45
2017-01-01,PROD01028,WH003,52,23,102
2017-01-01,PROD00879,WH006,134,77,55
2017-01-01,PROD01030,WH004,188,6,65
2017-01-01,PROD01812,WH005,364,26,83
2017-01-01,PROD00240,WH005,87,54,112
2017-01-01,PROD00408,WH008,72,64,49
2017-01-01,PROD01120,WH010,423,47,83
2017-01-01,PROD01193,WH008,295,12,63
2017-01-01,PROD00292,WH005,418,34,63
2017-01-01,PROD01969,WH006,251,36,79
2017-01-01,PROD01233,WH001,206,36,41
2017-01-01,PROD00260,WH005,222,22,84
2017-01-01,PROD01909,WH007,146,0,38
2017-01-01,PROD00890,WH010,490,19,88
2017-01-01,PROD01131,WH008,44,10,77
2017-01-01,PROD01456,WH003,224,36,64
2017-01-01,PROD00881,WH002,359,9,50
2017-01-01,PROD01025,WH008,320,52,115
2017-01-01,PROD01655,WH009,79,57,48
2017-01-01,PROD01994,WH006,441,3,103
2017-01-01,PROD00296,WH008,39,24,104
2017-01-01,PROD01877,WH007,367,5,46
2017-01-01,PROD01310,WH001,110,21,38
2017-01-01,PROD00603,WH008,408,69,47
2017-01-01,PROD00403,WH004,28,6,84
2017-01-01,PROD01275,WH004,221,69,116
2017-01-01,PROD00266,WH008,412,0,78
2017-01-01,PROD00205,WH005,312,42,90
2017-01-01,PROD01741,WH003,344,50,22
2017-01-01,PROD01457,WH004,139,27,21
2017-01-01,PROD01353,WH008,454,8,48
2017-01-01,PROD01638,WH006,38,29,85
2017-01-01,PROD00149,WH006,411,38,107
2017-01-01,PROD01005,WH001,124,64,52
2017-01-01,PROD01907,WH004,264,57,36
2017-01-01,PROD00484,WH010,135,24,115
2017-01-01,PROD00568,WH007,29,17,33
2017-01-01,PROD00964,WH007,251,52,66
2017-01-01,PROD01435,WH006,498,40,66
2017-01-01,PROD01492,WH004,44,23,68
2017-01-01,PROD01787,WH007,180,53,32
2017-01-01,PROD01190,WH007,343,19,72
2017-01-01,PROD01767,WH005,372,64,116
2017-01-01,PROD01708,WH004,50,45,98
2017-01-01,PROD01693,WH003,211,61,100
2017-01-01,PROD01124,WH004,84,9,89
2017-01-01,PROD00395,WH008,235,48,81
2017-01-01,PROD01397,WH009,239,4,28
2017-01-01,PROD00469,WH001,413,71,63
2017-01-01,PROD01370,WH004,485,76,31
2017-01-01,PROD00276,WH010,19,1,114
2017-01-01,PROD01153,WH010,378,30,120
2017-01-01,PROD01325,WH004,92,69,67
2017-01-01,PROD00129,WH010,339,55,63
2017-01-01,PROD00186,WH006,380,30,94
2017-01-01,PROD01925,WH001,150,75,119
2017-01-01,PROD01874,WH009,166,38,32
2017-01-01,PROD01872,WH001,187,42,39
2017-01-01,PROD00233,WH003,70,57,116
2017-01-01,PROD01954,WH009,276,74,53
2017-01-01,PROD00087,WH008,271,70,120
2017-01-01,PROD00951,WH009,467,70,103
2017-01-01,PROD01326,WH006,159,35,50
2017-01-01,PROD01451,WH005,234,50,48
2017-01-01,PROD00122,WH005,148,17,33
2017-01-01,PROD01366,WH005,479,5,98
2017-01-01,PROD01099,WH002,275,33,60
2017-01-01,PROD00587,WH006,433,80,104
2017-01-01,PROD01924,WH006,366,53,55
2017-01-01,PROD00597,WH009,133,24,82
2017-01-01,PROD01200,WH007,480,35,37
2017-01-01,PROD01732,WH008,243,22,37
2017-01-01,PROD01525,WH009,389,28,46
2017-01-01,PROD01903,WH004,275,26,50
2017-01-01,PROD00236,WH006,374,8,91
2017-01-01,PROD00595,WH010,491,34,42
2017-01-01,PROD01221,WH002,360,75,113
2017-01-01,PROD01328,WH006,307,1,36
2017-01-01,PROD00038,WH002,385,40,26
2017-01-01,PROD01887,WH006,429,39,21
2017-01-01,PROD01027,WH002,314,53,63
2017-01-01,PROD00088,WH004,430,60,49
2017-01-01,PROD01912,WH003,329,63,101
2017-01-01,PROD01183,WH010,68,13,40
2017-01-01,PROD00813,WH001,448,18,108
2017-01-01,PROD01902,WH009,21,21,77
2017-01-01,PROD01691,WH004,263,17,31
2017-01-01,PROD00503,WH002,367,58,21
2017-01-01,PROD00027,WH003,24,15,107
2017-01-01,PROD00311,WH006,27,6,66
2017-01-01,PROD00294,WH005,237,41,99
2017-01-01,PROD01930,WH010,294,67,60
2017-01-01,PROD00903,WH004,453,53,55
2017-01-01,PROD01425,WH006,234,1,72
2017-01-01,PROD01147,WH002,267,3,102
2017-01-01,PROD00140,WH008,259,54,93
2017-01-01,PROD01586,WH001,339,38,44
2017-01-01,PROD00355,WH009,289,11,85
2017-01-01,PROD00028,WH006,322,62,65
2017-01-01,PROD01450,WH009,356,55,36
2017-01-01,PROD01058,WH003,48,37,112
2017-01-01,PROD00056,WH005,290,40,113
2017-01-01,PROD00496,WH007,344,26,42
2017-01-01,PROD01375,WH004,92,66,61
2017-01-01,PROD01987,WH009,35,13,84
2017-01-01,PROD00970,WH008,59,16,113
2017-01-01,PROD01331,WH005,172,6,86
2017-01-01,PROD00738,WH006,488,34,30
2017-01-01,PROD00839,WH008,401,11,63
2017-01-01,PROD01237,WH007,286,51,114
2017-01-01,PROD00178,WH002,465,7,87
2017-01-01,PROD00306,WH004,261,4,73
2017-01-01,PROD01834,WH005,39,36,38
2017-01-01,PROD00343,WH008,382,3,91
2017-01-01,PROD01809,WH009,40,11,78
2017-01-01,PROD00740,WH005,101,68,99
2017-01-01,PROD01175,WH004,459,5,31
2017-01-01,PROD00456,WH009,359,59,34
2017-01-01,PROD01606,WH005,371,53,27
2017-01-01,PROD01114,WH003,12,0,48
2017-01-01,PROD01858,WH004,318,13,113
2017-01-01,PROD00323,WH001,402,45,51
2017-01-01,PROD00872,WH001,272,68,109
2017-01-01,PROD01401,WH006,184,80,41
2017-01-01,PROD00351,WH010,336,69,73
2017-01-01,PROD01999,WH004,444,61,94
2017-01-01,PROD01203,WH006,197,26,87
2017-01-01,PROD01092,WH010,214,80,25
2017-01-01,PROD01254,WH010,434,42,109
2017-01-01,PROD00286,WH001,88,7,34
2017-01-01,PROD01714,WH010,361,39,32
2017-01-01,PROD00885,WH004,453,40,61
2017-01-01,PROD01756,WH005,485,36,107
2017-01-01,PROD01518,WH009,330,54,116
2017-01-01,PROD01121,WH003,314,70,107
2017-01-01,PROD00347,WH001,448,53,118
2017-01-01,PROD01475,WH005,272,38,111
2017-01-01,PROD00780,WH002,467,40,94
2017-01-01,PROD01072,WH002,15,0,120
2017-01-01,PROD01565,WH001,194,12,117
2017-01-01,PROD00073,WH006,182,60,69
2017-01-01,PROD00300,WH001,225,43,113
2017-01-01,PROD00444,WH009,82,21,31
2017-01-01,PROD00301,WH008,264,16,40
2017-01-01,PROD01301,WH010,483,80,46
2017-01-01,PROD00455,WH009,367,23,89
2017-01-01,PROD00963,WH006,178,20,75
2017-01-01,PROD00032,WH002,200,8,106
2017-01-01,PROD01247,WH004,201,62,40
2017-01-01,PROD00211,WH010,66,56,48
2017-01-01,PROD01718,WH001,80,38,54
2017-01-01,PROD00564,WH009,457,64,36
2017-01-01,PROD01365,WH009,3,0,41
2017-01-01,PROD01853,WH010,473,76,108
2017-01-01,PROD00181,WH007,17,10,109
2017-01-01,PROD01262,WH003,288,65,86
2017-01-01,PROD00987,WH006,77,69,33
2017-01-01,PROD00212,WH003,343,77,40
2017-01-01,PROD01129,WH008,404,22,53
2017-01-01,PROD00800,WH001,358,71,81
2017-01-01,PROD01704,WH001,84,49,80
2017-01-01,PROD00190,WH002,499,62,118
2017-01-01,PROD01948,WH004,279,40,30
2017-01-01,PROD00091,WH008,69,22,21
2017-01-01,PROD01408,WH004,14,13,77
2017-01-01,PROD01554,WH007,377,36,103
2017-01-01,PROD00269,WH003,359,2,90
2017-01-01,PROD00459,WH001,175,42,63
2017-01-01,PROD00514,WH009,428,3,82
2017-01-01,PROD00728,WH002,281,26,67
2017-01-01,PROD01393,WH009,342,48,39
2017-02-01,PROD01658,WH006,312,22,97
2017-02-01,PROD00759,WH004,33,17,75
2017-02-01,PROD00167,WH002,389,18,94
2017-02-01,PROD00893,WH009,134,71,25
2017-02-01,PROD01639,WH009,294,45,71
2017-02-01,PROD01183,WH006,56,8,23
2017-02-01,PROD01498,WH004,278,39,113
2017-02-01,PROD00688,WH010,364,70,109
2017-02-01,PROD01952,WH004,205,34,62
2017-02-01,PROD00905,WH008,203,40,120
2017-02-01,PROD00315,WH010,497,46,118
2017-02-01,PROD01510,WH003,365,39,46
2017-02-01,PROD00747,WH003,388,21,28
2017-02-01,PROD01501,WH005,422,48,78
2017-02-01,PROD01682,WH002,365,25,56
2017-02-01,PROD00014,WH009,60,27,95
2017-02-01,PROD00623,WH001,123,79,102
2017-02-01,PROD01360,WH003,140,63,86
2017-02-01,PROD01733,WH007,83,54,65
2017-02-01,PROD00837,WH007,230,51,36
2017-02-01,PROD01551,WH002,98,26,96
2017-02-01,PROD00455,WH006,301,60,22
2017-02-01,PROD01248,WH010,307,74,78
2017-02-01,PROD00058,WH010,387,0,89
2017-02-01,PROD01371,WH006,361,20,59
2017-02-01,PROD01414,WH001,148,64,115
2017-02-01,PROD01897,WH003,435,30,33
2017-02-01,PROD01347,WH007,204,13,74
2017-02-01,PROD00388,WH009,89,25,74
2017-02-01,PROD00106,WH004,206,71,102
2017-02-01,PROD00260,WH003,461,30,20
2017-02-01,PROD00741,WH006,454,6,34
2017-02-01,PROD01567,WH002,24,11,67
2017-02-01,PROD00962,WH008,91,45,84
2017-02-01,PROD01118,WH005,243,69,54
2017-02-01,PROD01751,WH004,62,16,90
2017-02-01,PROD00111,WH006,304,27,106
2017-02-01,PROD01294,WH008,146,19,88
2017-02-01,PROD01790,WH002,482,64,95
2017-02-01,PROD00165,WH009,140,26,95
2017-02-01,PROD01553,WH006,244,58,93
2017-02-01,PROD00079,WH006,12,6,95
2017-02-01,PROD01517,WH008,117,78,72
2017-02-01,PROD01806,WH003,284,22,111
2017-02-01,PROD00443,WH006,96,24,44
2017-02-01,PROD00671,WH006,441,41,88
2017-02-01,PROD00816,WH007,31,21,67
2017-02-01,PROD01829,WH003,10,10,101
2017-02-01,PROD00170,WH007,462,34,94
2017-02-01,PROD00547,WH003,242,24,48
2017-02-01,PROD00643,WH010,440,52,61
2017-02-01,PROD01108,WH007,301,34,62
2017-02-01,PROD00521,WH003,447,44,92
2017-02-01,PROD00717,WH004,189,55,48
2017-02-01,PROD01481,WH007,185,16,25
2017-02-01,PROD00604,WH008,374,72,97
2017-02-01,PROD01336,WH008,484,22,59
2017-02-01,PROD01920,WH007,268,54,35
2017-02-01,PROD01573,WH008,179,15,80
2017-02-01,PROD00839,WH001,52,23,114
2017-02-01,PROD01439,WH004,147,13,54
2017-02-01,PROD00699,WH010,33,15,43
2017-02-01,PROD00825,WH004,150,54,42
2017-02-01,PROD00012,WH009,48,30,24
2017-02-01,PROD00373,WH003,430,78,104
2017-02-01,PROD00183,WH006,307,42,67
2017-02-01,PROD00945,WH002,155,22,25
2017-02-01,PROD01676,WH010,271,49,74
2017-02-01,PROD01026,WH004,444,44,65
2017-02-01,PROD00441,WH003,76,24,67
2017-02-01,PROD01908,WH008,221,23,87
2017-02-01,PROD00484,WH003,67,19,100
2017-02-01,PROD01331,WH010,360,74,58
2017-02-01,PROD01203,WH001,469,36,106
2017-02-01,PROD00155,WH006,246,24,120
2017-02-01,PROD00025,WH009,2,0,63
2017-02-01,PROD00806,WH008,193,17,41
2017-02-01,PROD00668,WH008,68,15,119
2017-02-01,PROD00126,WH010,281,24,52
2017-02-01,PROD01418,WH002,284,12,73
2017-02-01,PROD01614,WH010,47,40,119
2017-02-01,PROD00102,WH009,187,18,79
2017-02-01,PROD01918,WH008,444,24,79
2017-02-01,PROD01328,WH009,381,28,38
2017-02-01,PROD00367,WH001,86,42,81
2017-02-01,PROD00598,WH008,270,52,66
2017-02-01,PROD01671,WH002,399,35,48
2017-02-01,PROD00978,WH003,37,21,90
2017-02-01,PROD00360,WH003,188,77,77
2017-02-01,PROD01266,WH010,476,47,77
2017-02-01,PROD00651,WH008,172,57,110
2017-02-01,PROD00619,WH002,83,5,108
2017-02-01,PROD00407,WH002,249,55,34
2017-02-01,PROD00910,WH001,186,49,86
2017-02-01,PROD01383,WH006,192,8,98
2017-02-01,PROD01423,WH006,102,52,35
2017-02-01,PROD01936,WH004,98,11,22
2017-02-01,PROD01302,WH008,469,53,48
2017-02-01,PROD01480,WH009,447,44,96
2017-02-01,PROD01969,WH005,66,13,53
2017-02-01,PROD00166,WH004,487,58,35
2017-02-01,PROD01458,WH007,481,4,109
2017-02-01,PROD00615,WH004,73,18,75
2017-02-01,PROD01086,WH008,72,51,49
2017-02-01,PROD01560,WH003,202,7,107
