product_id,supplier_id,unit_cost
PROD00077,SUP0094,27.07
PROD00078,SUP0054,11.8
PROD00079,SUP0006,31.35
PROD00080,SUP0146,27.55
PROD00081,SUP0069,37.54
PROD00082,SUP0075,107.67
PROD00083,SUP0046,35.47
PROD00084,SUP0113,120.65
PROD00085,SUP0120,43.56
PROD00086,SUP0099,81.13
PROD00087,SUP0138,47.36
PROD00088,SUP0082,339.16
PROD00089,SUP0023,28.31
PROD00090,SUP0037,62.77
PROD00091,SUP0088,42.4
PROD00092,SUP0072,74.51
PROD00093,SUP0143,69.32
PROD00094,SUP0032,78.14
PROD00095,SUP0104,19.97
PROD00096,SUP0031,18.39
PROD00097,SUP0105,27.24
PROD00098,SUP0142,26.34
PROD00099,SUP0014,34.6
PROD00100,SUP0051,22.61
PROD00101,SUP0042,7.92
PROD00102,SUP0106,73.96
PROD00103,SUP0077,72.99
PROD00104,SUP0050,61.48
PROD00105,SUP0031,93.22
PROD00106,SUP0018,29.34
PROD00107,SUP0024,34.43
PROD00108,SUP0016,54.85
PROD00109,SUP0139,22.52
PROD00110,SUP0150,19.21
PROD00111,SUP0051,67.77
PROD00112,SUP0014,42.38
PROD00113,SUP0099,97.06
PROD00114,SUP0105,20.88
PROD00115,SUP0083,67.79
PROD00116,SUP0139,20.7
PROD00117,SUP0098,61.46
PROD00118,SUP0124,252.98
PROD00119,SUP0142,119.48
PROD00120,SUP0109,64.15
PROD00121,SUP0078,128.01
PROD00122,SUP0120,22.7
PROD00123,SUP0026,44.11
PROD00124,SUP0077,29.41
PROD00125,SUP0019,40.58
PROD00126,SUP0078,194.38
PROD00127,SUP0042,48.55
PROD00128,SUP0106,123.79
PROD00129,SUP0011,49.78
PROD00130,SUP0098,135.19
PROD00131,SUP0040,51.77
PROD00132,SUP0118,51.84
PROD00133,SUP0004,41.3
PROD00134,SUP0097,70.27
PROD00135,SUP0138,32.73
PROD00136,SUP0102,17.26
PROD00137,SUP0087,33.74
PROD00138,SUP0008,53.08
PROD00139,SUP0103,148.49
PROD00140,SUP0076,10.22
PROD00141,SUP0018,165.59
PROD00142,SUP0067,112.97
PROD00143,SUP0113,54.03
PROD00144,SUP0132,50.51
PROD00145,SUP0021,23.85
PROD00146,SUP0073,269.17
PROD00147,SUP0044,139.63
PROD00148,SUP0061,51.51
PROD00149,SUP0092,46.37
PROD00150,SUP0127,37.75
PROD00151,SUP0119,75.3
PROD00152,SUP0068,27.7
PROD00153,SUP0120,74.48
PROD00154,SUP0026,56.37
PROD00155,SUP0066,380.64
PROD00156,SUP0085,22.17
PROD00157,SUP0018,56.92
PROD00158,SUP0066,142.17
PROD00159,SUP0135,73.4
PROD00160,SUP0126,82.96
PROD00161,SUP0148,520.53
PROD00162,SUP0121,128.04
PROD00163,SUP0096,25.52
PROD00164,SUP0079,28.91
PROD00165,SUP0058,37.19
PROD00166,SUP0050,22.97
PROD00167,SUP0126,34.3
PROD00168,SUP0071,58.95
PROD00169,SUP0024,51.01
PROD00170,SUP0081,6.64
PROD00171,SUP0103,22.54
PROD00172,SUP0005,74.34
PROD00173,SUP0001,173.35
PROD00174,SUP0043,22.01
PROD00175,SUP0125,42.22
PROD00176,SUP0068,37.84
PROD00177,SUP0041,192.96
PROD00178,SUP0125,40.18
PROD00179,SUP0149,9.82
PROD00180,SUP0020,181.6
PROD00181,SUP0148,67.81
PROD00182,SUP0037,21.29
PROD00183,SUP0081,37.67
PROD00184,SUP0073,18.19
PROD00185,SUP0127,43.43
PROD00186,SUP0009,174.43
PROD00187,SUP0081,6.65
PROD00188,SUP0119,45.44
PROD00189,SUP0091,39.46
PROD00190,SUP0063,54.96
PROD00191,SUP0026,26.34
PROD00192,SUP0039,117.08
PROD00193,SUP0143,47.65
PROD00194,SUP0058,40.13
PROD00195,SUP0108,69.42
PROD00196,SUP0031,45.12
PROD00197,SUP0104,28.16
PROD00198,SUP0109,20.21
PROD00199,SUP0117,333.43
PROD00200,SUP0037,102.81
PROD00201,SUP0062,21.46
PROD00202,SUP0047,137.73
PROD00203,SUP0056,88.1
PROD00204,SUP0017,52.37
PROD00205,SUP0138,20.43
PROD00206,SUP0043,17.65
PROD00207,SUP0142,129.08
PROD00208,SUP0119,89.29
PROD00209,SUP0113,10.6
PROD00210,SUP0137,42.38
PROD00211,SUP0073,78.11
PROD00212,SUP0011,81.89
PROD00213,SUP0142,54.16
PROD00214,SUP0014,41.68
PROD00215,SUP0029,51.62
PROD00216,SUP0139,35.63
PROD00217,SUP0143,60.2
PROD00218,SUP0014,167.47
PROD00219,SUP0127,21.61
PROD00220,SUP0003,52.87
PROD00221,SUP0140,48.89
PROD00222,SUP0058,35.28
PROD00223,SUP0014,46.28
PROD00224,SUP0041,171.2
PROD00225,SUP0017,95.18
PROD00226,SUP0098,29.36
PROD00227,SUP0087,60.77
PROD00228,SUP0025,23.47
PROD00229,SUP0032,13.19
PROD00230,SUP0043,5.73
PROD00231,SUP0057,44.52
PROD00232,SUP0127,40.39
PROD00233,SUP0057,129.17
PROD00234,SUP0051,49.11
PROD00235,SUP0135,37.31
PROD00236,SUP0130,40.21
PROD00237,SUP0048,60.78
PROD00238,SUP0007,160.63
PROD00239,SUP0067,11.08
PROD00240,SUP0071,32.51
PROD00241,SUP0091,141.08
PROD00242,SUP0150,24.32
PROD00243,SUP0005,58.59
PROD00244,SUP0066,24.0
PROD00245,SUP0048,43.21
PROD00246,SUP0024,7.07
PROD00247,SUP0086,78.1
PROD00248,SUP0087,59.53
PROD00249,SUP0055,11.67
PROD00250,SUP0117,45.59
PROD00251,SUP0143,44.96
PROD00252,SUP0124,19.65
PROD00253,SUP0062,203.83
PROD00254,SUP0150,49.21
PROD00255,SUP0078,156.64
PROD00256,SUP0025,47.4
PROD00257,SUP0078,10.5
PROD00258,SUP0085,8.37
PROD00259,SUP0097,25.04
PROD00260,SUP0009,172.78
PROD00261,SUP0122,20.93
PROD00262,SUP0139,119.68
PROD00263,SUP0049,12.95
PROD00264,SUP0088,17.16
PROD00265,SUP0053,20.53
PROD00266,SUP0138,56.6
PROD00267,SUP0002,13.83
PROD00268,SUP0087,17.15
PROD00269,SUP0032,36.48
PROD00270,SUP0096,15.39
PROD00271,SUP0146,13.25
PROD00272,SUP0016,51.29
PROD00273,SUP0016,15.1
PROD00274,SUP0055,103.25
PROD00275,SUP0059,77.18
PROD00276,SUP0055,34.87
PROD00277,SUP0083,60.22
PROD00278,SUP0040,37.47
PROD00279,SUP0129,123.22
PROD00280,SUP0011,21.38
PROD00281,SUP0083,55.76
PROD00282,SUP0133,54.78
PROD00283,SUP0021,52.85
PROD00284,SUP0055,20.56
PROD00285,SUP0148,76.98
PROD00286,SUP0122,31.63
PROD00287,SUP0023,28.83
PROD00288,SUP0010,21.24
PROD00289,SUP0101,22.02
PROD00290,SUP0034,37.09
PROD00291,SUP0064,41.86
PROD00292,SUP0108,59.82
PROD00293,SUP0085,43.34
PROD00294,SUP0064,137.06
PROD00295,SUP0044,56.16
PROD00296,SUP0111,9.05
PROD00297,SUP0150,19.95
PROD00298,SUP0145,71.99
PROD00299,SUP0042,41.43
PROD00300,SUP0007,32.23
PROD00301,SUP0128,21.33
PROD00302,SUP0022,30.99
PROD00303,SUP0050,24.12
PROD00304,SUP0016,50.47
PROD00305,SUP0077,34.17
PROD00306,SUP0125,88.09
PROD00307,SUP0058,19.59
PROD00308,SUP0069,57.5
PROD00309,SUP0039,13.07
PROD00310,SUP0061,55.33
PROD00311,SUP0102,18.08
PROD00312,SUP0128,89.02
PROD00313,SUP0102,9.38
PROD00314,SUP0134,19.57
PROD00315,SUP0005,106.78
PROD00316,SUP0135,186.51
PROD00317,SUP0079,7.43
PROD00318,SUP0082,16.24
PROD00319,SUP0021,216.74
PROD00320,SUP0040,45.21
PROD00321,SUP0104,22.32
PROD00322,SUP0048,106.69
PROD00323,SUP0122,80.51
PROD00324,SUP0108,59.06
PROD00325,SUP0084,12.51
PROD00326,SUP0011,231.96
PROD00327,SUP0143,57.68
PROD00328,SUP0026,29.6
PROD00329,SUP0131,107.59
PROD00330,SUP0146,16.4
PROD00331,SUP0020,23.36
PROD00332,SUP0059,21.18
PROD00333,SUP0103,30.08
PROD00334,SUP0138,57.88
PROD00335,SUP0084,53.76
PROD00336,SUP0026,17.6
PROD00337,SUP0140,69.18
PROD00338,SUP0071,20.12
PROD00339,SUP0097,29.75
PROD00340,SUP0108,77.86
PROD00341,SUP0018,87.81
PROD00342,SUP0048,80.95
PROD00343,SUP0127,18.83
PROD00344,SUP0042,235.08
PROD00345,SUP0076,65.74
PROD00346,SUP0032,22.83
PROD00347,SUP0138,151.57
PROD00348,SUP0101,54.18
PROD00349,SUP0107,19.85
PROD00350,SUP0131,67.16
PROD00351,SUP0120,21.1
PROD00352,SUP0048,11.79
PROD00353,SUP0049,22.93
PROD00354,SUP0058,148.18
PROD00355,SUP0144,100.22
PROD00356,SUP0113,29.28
PROD00357,SUP0092,44.86
PROD00358,SUP0045,142.17
PROD00359,SUP0098,81.25
PROD00360,SUP0080,49.93
PROD00361,SUP0104,67.73
PROD00362,SUP0090,64.35
PROD00363,SUP0022,55.16
PROD00364,SUP0088,202.86
PROD00365,SUP0007,34.22
PROD00366,SUP0149,46.94
PROD00367,SUP0065,6.01
PROD00368,SUP0124,122.79
PROD00369,SUP0130,20.5
PROD00370,SUP0017,5.96
PROD00371,SUP0048,49.97
PROD00372,SUP0147,38.62
PROD00373,SUP0047,48.73
PROD00374,SUP0142,77.1
PROD00375,SUP0056,20.18
PROD00376,SUP0002,455.13
PROD00377,SUP0011,41.67
PROD00378,SUP0032,8.98
PROD00379,SUP0110,129.12
PROD00380,SUP0043,92.16
PROD00381,SUP0073,70.05
PROD00382,SUP0034,27.31
PROD00383,SUP0047,45.73
PROD00384,SUP0009,8.05
PROD00385,SUP0131,26.21
PROD00386,SUP0021,347.92
PROD00387,SUP0123,17.3
PROD00388,SUP0099,50.1
PROD00389,SUP0105,8.01
PROD00390,SUP0053,31.98
PROD00391,SUP0119,20.3
PROD00392,SUP0150,66.25
PROD00393,SUP0058,56.99
PROD00394,SUP0008,17.79
PROD00395,SUP0137,37.46
PROD00396,SUP0139,33.95
PROD00397,SUP0037,64.8
PROD00398,SUP0115,111.06
PROD00399,SUP0020,161.77
PROD00400,SUP0116,21.38
PROD00401,SUP0087,43.15
PROD00402,SUP0137,31.07
PROD00403,SUP0046,19.96
PROD00404,SUP0124,18.89
PROD00405,SUP0026,47.68
PROD00406,SUP0016,257.11
PROD00407,SUP0050,20.36
PROD00408,SUP0084,243.48
PROD00409,SUP0016,27.5
PROD00410,SUP0088,151.29
PROD00411,SUP0122,49.52
PROD00412,SUP0144,37.26
PROD00413,SUP0113,38.43
PROD00414,SUP0059,49.38
PROD00415,SUP0096,32.19
PROD00416,SUP0057,82.5
PROD00417,SUP0113,114.44
PROD00418,SUP0036,17.76
PROD00419,SUP0042,15.1
PROD00420,SUP0054,26.72
PROD00421,SUP0088,158.23
PROD00422,SUP0052,53.33
PROD00423,SUP0021,132.8
PROD00424,SUP0040,16.82
PROD00425,SUP0144,24.48
PROD00426,SUP0083,30.25
PROD00427,SUP0020,21.53
PROD00428,SUP0122,60.4
PROD00429,SUP0124,19.38
PROD00430,SUP0102,78.67
PROD00431,SUP0133,62.34
PROD00432,SUP0143,158.71
PROD00433,SUP0040,9.37
PROD00434,SUP0074,21.63
PROD00435,SUP0075,22.14
PROD00436,SUP0044,52.92
PROD00437,SUP0057,37.07
PROD00438,SUP0114,161.11
PROD00439,SUP0040,51.74
PROD00440,SUP0110,18.93
PROD00441,SUP0024,29.37
PROD00442,SUP0098,26.4
PROD00443,SUP0040,93.35
PROD00444,SUP0149,42.48
PROD00445,SUP0147,17.14
PROD00446,SUP0142,39.74
PROD00447,SUP0101,31.54
PROD00448,SUP0020,21.05
PROD00449,SUP0057,34.51
PROD00450,SUP0148,34.39
PROD00451,SUP0117,25.98
PROD00452,SUP0031,38.12
PROD00453,SUP0029,27.01
PROD00454,SUP0052,48.58
PROD00455,SUP0075,18.45
PROD00456,SUP0074,115.81
PROD00457,SUP0112,43.52
PROD00458,SUP0018,219.65
PROD00459,SUP0137,33.11
PROD00460,SUP0126,64.79
PROD00461,SUP0061,94.76
PROD00462,SUP0058,88.16
PROD00463,SUP0076,42.83
PROD00464,SUP0001,77.86
PROD00465,SUP0074,44.71
PROD00466,SUP0066,40.92
PROD00467,SUP0045,51.57
PROD00468,SUP0025,87.18
PROD00469,SUP0134,48.47
PROD00470,SUP0115,22.48
PROD00471,SUP0059,237.11
PROD00472,SUP0142,59.57
PROD00473,SUP0077,26.46
PROD00474,SUP0126,37.12
PROD00475,SUP0088,20.26
PROD00476,SUP0126,23.35
PROD00477,SUP0048,100.21
PROD00478,SUP0047,23.79
PROD00479,SUP0138,263.24
PROD00480,SUP0046,13.21
PROD00481,SUP0074,37.58
PROD00482,SUP0008,19.74
PROD00483,SUP0082,74.53
PROD00484,SUP0076,79.83
PROD00485,SUP0149,79.1
PROD00486,SUP0114,18.69
PROD00487,SUP0139,61.03
PROD00488,SUP0011,22.9
PROD00489,SUP0129,45.19
PROD00490,SUP0015,20.11
PROD00491,SUP0028,10.49
PROD00492,SUP0058,95.68
PROD00493,SUP0072,48.25
PROD00494,SUP0038,71.47
PROD00495,SUP0038,97.23
PROD00496,SUP0046,109.86
PROD00497,SUP0053,29.38
PROD00498,SUP0030,15.39
PROD00499,SUP0132,136.25
PROD00500,SUP0130,49.21
PROD00501,SUP0063,113.46
PROD00502,SUP0085,19.46
PROD00503,SUP0125,78.36
PROD00504,SUP0121,43.14
PROD00505,SUP0058,44.38
PROD00506,SUP0092,46.06
PROD00507,SUP0009,12.65
PROD00508,SUP0098,99.68
PROD00509,SUP0147,23.84
PROD00510,SUP0093,41.72
PROD00511,SUP0120,283.47
PROD00512,SUP0114,35.73
PROD00513,SUP0044,31.5
PROD00514,SUP0073,36.6
PROD00515,SUP0007,27.91
PROD00516,SUP0031,26.8
PROD00517,SUP0067,53.28
PROD00518,SUP0136,85.34
PROD00519,SUP0073,49.76
PROD00520,SUP0053,82.74
PROD00521,SUP0015,46.44
PROD00522,SUP0008,26.98
PROD00523,SUP0124,32.88
PROD00524,SUP0087,31.8
PROD00525,SUP0046,151.35
PROD00526,SUP0100,30.73
PROD00527,SUP0007,53.58
PROD00528,SUP0078,17.19
PROD00529,SUP0010,45.71
PROD00530,SUP0085,48.59
PROD00531,SUP0098,31.11
PROD00532,SUP0104,42.12
PROD00533,SUP0048,17.87
PROD00534,SUP0097,40.46
PROD00535,SUP0141,7.08
PROD00536,SUP0095,27.46
PROD00537,SUP0053,74.01
PROD00538,SUP0099,30.45
PROD00539,SUP0009,19.19
PROD00540,SUP0070,35.96
PROD00541,SUP0104,136.37
PROD00542,SUP0142,49.08
PROD00543,SUP0014,110.96
PROD00544,SUP0100,72.89
PROD00545,SUP0090,28.84
PROD00546,SUP0138,17.1
PROD00547,SUP0039,102.18
PROD00548,SUP0018,29.15
PROD00549,SUP0122,28.46
PROD00550,SUP0074,45.98
PROD00551,SUP0070,49.91
PROD00552,SUP0069,6.49
PROD00553,SUP0047,15.57
PROD00554,SUP0136,115.86
PROD00555,SUP0107,48.2
PROD00556,SUP0025,84.85
PROD00557,SUP0114,31.09
PROD00558,SUP0100,15.02
PROD00559,SUP0067,83.81
PROD00560,SUP0087,154.92
PROD00561,SUP0108,17.95
PROD00562,SUP0098,128.43
PROD00563,SUP0117,22.59
PROD00564,SUP0068,11.05
PROD00565,SUP0123,79.27
PROD00566,SUP0047,27.36
PROD00567,SUP0117,23.05
PROD00568,SUP0053,14.56
PROD00569,SUP0019,44.01
PROD00570,SUP0026,7.63
PROD00571,SUP0089,46.24
PROD00572,SUP0042,70.72
PROD00573,SUP0134,64.92
PROD00574,SUP0060,115.08
PROD00575,SUP0100,78.56
PROD00576,SUP0035,23.21
PROD00577,SUP0140,49.83
PROD00578,SUP0090,103.73
PROD00579,SUP0125,77.61
PROD00580,SUP0136,70.87
PROD00581,SUP0027,40.03
PROD00582,SUP0028,30.37
PROD00583,SUP0136,45.58
PROD00584,SUP0014,24.92
PROD00585,SUP0105,81.06
PROD00586,SUP0150,41.04
PROD00587,SUP0072,91.57
PROD00588,SUP0132,12.93
PROD00589,SUP0119,27.19
PROD00590,SUP0035,20.06
PROD00591,SUP0115,12.71
PROD00592,SUP0117,45.92
PROD00593,SUP0107,17.43
PROD00594,SUP0119,38.26
PROD00595,SUP0122,18.91
PROD00596,SUP0098,31.02
PROD00597,SUP0148,79.06
PROD00598,SUP0074,16.15
PROD00599,SUP0117,39.48
PROD00600,SUP0038,60.33
PROD00601,SUP0111,87.83
PROD00602,SUP0048,27.87
PROD00603,SUP0045,62.85
PROD00604,SUP0096,72.2
PROD00605,SUP0118,22.7
PROD00606,SUP0082,18.04
PROD00607,SUP0112,28.57
PROD00608,SUP0033,67.19
PROD00609,SUP0059,57.06
PROD00610,SUP0015,34.76
PROD00611,SUP0035,17.1
PROD00612,SUP0058,63.87
PROD00613,SUP0024,37.37
PROD00614,SUP0032,48.93
PROD00615,SUP0104,44.14
PROD00616,SUP0108,214.48
PROD00617,SUP0123,26.95
PROD00618,SUP0106,19.48
PROD00619,SUP0139,37.24
PROD00620,SUP0096,114.78
PROD00621,SUP0047,50.99
PROD00622,SUP0008,41.09
PROD00623,SUP0083,59.33
PROD00624,SUP0041,147.68
PROD00625,SUP0008,34.6
PROD00626,SUP0124,44.21
PROD00627,SUP0026,115.97
PROD00628,SUP0147,36.1
PROD00629,SUP0108,28.23
PROD00630,SUP0137,13.37
PROD00631,SUP0102,66.61
PROD00632,SUP0099,19.35
PROD00633,SUP0007,16.51
PROD00634,SUP0006,32.35
PROD00635,SUP0098,74.08
PROD00636,SUP0061,50.53
PROD00637,SUP0016,28.79
PROD00638,SUP0014,13.24
PROD00639,SUP0121,71.9
PROD00640,SUP0135,79.38
PROD00641,SUP0066,85.51
PROD00642,SUP0031,48.64
PROD00643,SUP0029,44.29
PROD00644,SUP0081,27.32
PROD00645,SUP0079,62.84
PROD00646,SUP0060,14.82
PROD00647,SUP0006,45.92
PROD00648,SUP0134,66.35
PROD00649,SUP0027,33.36
PROD00650,SUP0098,59.64
PROD00651,SUP0078,52.89
PROD00652,SUP0017,98.79
PROD00653,SUP0074,20.39
PROD00654,SUP0113,115.78
PROD00655,SUP0062,60.26
PROD00656,SUP0066,279.24
PROD00657,SUP0056,189.66
PROD00658,SUP0021,127.38
PROD00659,SUP0099,37.54
PROD00660,SUP0092,14.99
PROD00661,SUP0036,22.14
PROD00662,SUP0084,72.98
PROD00663,SUP0135,158.77
PROD00664,SUP0150,14.28
PROD00665,SUP0109,14.65
PROD00666,SUP0114,35.54
PROD00667,SUP0148,17.08
PROD00668,SUP0032,21.75
PROD00669,SUP0147,80.9
PROD00670,SUP0028,74.07
PROD00671,SUP0086,96.34
PROD00672,SUP0066,23.5
PROD00673,SUP0042,11.35
PROD00674,SUP0054,30.3
PROD00675,SUP0067,5.36
PROD00676,SUP0064,53.23
PROD00677,SUP0024,91.52
PROD00678,SUP0012,23.02
PROD00679,SUP0069,59.13
PROD00680,SUP0084,57.08
PROD00681,SUP0016,11.86
PROD00682,SUP0147,40.22
PROD00683,SUP0031,39.28
PROD00684,SUP0108,85.25
PROD00685,SUP0003,92.26
PROD00686,SUP0079,48.41
PROD00687,SUP0055,36.68
PROD00688,SUP0139,173.1
PROD00689,SUP0016,38.86
PROD00690,SUP0115,80.18
PROD00691,SUP0039,175.39
PROD00692,SUP0107,86.12
PROD00693,SUP0119,39.96
PROD00694,SUP0052,20.86
PROD00695,SUP0111,13.96
PROD00696,SUP0129,8.94
PROD00697,SUP0121,79.8
PROD00698,SUP0072,12.48
PROD00699,SUP0019,95.24
PROD00700,SUP0090,105.03
PROD00701,SUP0116,17.02
PROD00702,SUP0011,64.24
PROD00703,SUP0096,69.03
PROD00704,SUP0095,48.57
PROD00705,SUP0144,160.85
PROD00706,SUP0017,18.84
PROD00707,SUP0011,59.63
PROD00708,SUP0116,36.52
PROD00709,SUP0115,7.93
PROD00710,SUP0030,11.61
PROD00711,SUP0025,30.15
PROD00712,SUP0098,54.6
PROD00713,SUP0108,17.36
PROD00714,SUP0149,20.76
PROD00715,SUP0130,40.84
PROD00716,SUP0005,30.0
PROD00717,SUP0066,32.5
PROD00718,SUP0023,95.33
PROD00719,SUP0146,208.1
PROD00720,SUP0058,43.37
PROD00721,SUP0060,35.65
PROD00722,SUP0015,51.45
PROD00723,SUP0085,36.57
PROD00724,SUP0067,87.16
PROD00725,SUP0008,113.99
PROD00726,SUP0064,17.75
PROD00727,SUP0115,135.76
PROD00728,SUP0127,194.76
PROD00729,SUP0074,12.86
PROD00730,SUP0129,107.47
PROD00731,SUP0042,171.07
PROD00732,SUP0139,58.53
PROD00733,SUP0069,37.08
PROD00734,SUP0129,85.0
PROD00735,SUP0083,22.85
PROD00736,SUP0069,33.22
PROD00737,SUP0092,27.31
PROD00738,SUP0005,17.0
PROD00739,SUP0087,52.96
PROD00740,SUP0081,68.0
PROD00741,SUP0132,94.54
PROD00742,SUP0145,8.7
PROD00743,SUP0123,35.74
PROD00744,SUP0054,43.02
PROD00745,SUP0116,11.97
PROD00746,SUP0089,33.57
PROD00747,SUP0081,110.2
PROD00748,SUP0078,59.95
PROD00749,SUP0023,43.72
PROD00750,SUP0024,105.37
PROD00751,SUP0017,335.65
PROD00752,SUP0052,39.44
PROD00753,SUP0046,69.88
PROD00754,SUP0118,19.11
PROD00755,SUP0078,280.55
PROD00756,SUP0079,19.88
PROD00757,SUP0019,7.77
PROD00758,SUP0127,97.16
PROD00759,SUP0069,12.74
PROD00760,SUP0017,149.6
PROD00761,SUP0097,91.06
PROD00762,SUP0103,25.9
PROD00763,SUP0134,53.75
PROD00764,SUP0025,39.33
PROD00765,SUP0145,68.98
PROD00766,SUP0033,17.24
PROD00767,SUP0139,11.36
PROD00768,SUP0028,69.25
PROD00769,SUP0106,175.08
PROD00770,SUP0041,21.33
PROD00771,SUP0059,28.96
PROD00772,SUP0133,27.09
PROD00773,SUP0085,15.53
PROD00774,SUP0030,60.46
PROD00775,SUP0090,113.87
PROD00776,SUP0056,87.66
PROD00777,SUP0003,48.34
PROD00778,SUP0113,18.25
PROD00779,SUP0012,176.17
PROD00780,SUP0135,25.82
PROD00781,SUP0026,28.64
PROD00782,SUP0056,9.92
PROD00783,SUP0013,9.57
PROD00784,SUP0081,43.07
PROD00785,SUP0016,29.12
PROD00786,SUP0104,22.43
PROD00787,SUP0082,20.06
PROD00788,SUP0132,29.43
PROD00789,SUP0040,35.11
PROD00790,SUP0051,95.27
PROD00791,SUP0126,40.61
PROD00792,SUP0039,48.71
PROD00793,SUP0083,52.22
PROD00794,SUP0063,64.74
PROD00795,SUP0060,32.32
PROD00796,SUP0110,21.65
PROD00797,SUP0128,92.81
PROD00798,SUP0098,44.27
PROD00799,SUP0052,31.62
PROD00800,SUP0049,5.74
PROD00801,SUP0066,22.11
PROD00802,SUP0041,20.22
PROD00803,SUP0143,27.33
PROD00804,SUP0057,12.37
PROD00805,SUP0110,136.05
PROD00806,SUP0049,78.75
PROD00807,SUP0006,61.71
PROD00808,SUP0069,26.37
PROD00809,SUP0031,17.56
PROD00810,SUP0142,13.4
PROD00811,SUP0097,85.69
PROD00812,SUP0045,95.6
PROD00813,SUP0096,75.57
PROD00814,SUP0012,19.73
PROD00815,SUP0150,28.7
PROD00816,SUP0078,28.36
PROD00817,SUP0035,12.74
PROD00818,SUP0099,121.0
PROD00819,SUP0013,12.4
PROD00820,SUP0021,27.33
PROD00821,SUP0142,10.4
PROD00822,SUP0138,29.89
PROD00823,SUP0097,43.84
PROD00824,SUP0072,120.0
PROD00825,SUP0004,28.4
PROD00826,SUP0055,18.36
PROD00827,SUP0115,31.67
PROD00828,SUP0137,8.62
PROD00829,SUP0065,84.91
PROD00830,SUP0061,20.63
PROD00831,SUP0077,146.34
PROD00832,SUP0053,31.13
PROD00833,SUP0044,18.99
PROD00834,SUP0056,85.73
PROD00835,SUP0094,47.74
PROD00836,SUP0023,72.49
PROD00837,SUP0149,43.41
PROD00838,SUP0103,331.39
PROD00839,SUP0077,13.03
PROD00840,SUP0141,128.42
PROD00841,SUP0059,13.03
PROD00842,SUP0026,111.19
PROD00843,SUP0113,64.1
PROD00844,SUP0089,138.3
PROD00845,SUP0132,93.39
PROD00846,SUP0085,6.0
PROD00847,SUP0071,30.1
PROD00848,SUP0070,17.42
PROD00849,SUP0070,155.7
PROD00850,SUP0073,63.85
PROD00851,SUP0002,47.43
PROD00852,SUP0007,32.66
PROD00853,SUP0001,43.72
PROD00854,SUP0135,22.32
PROD00855,SUP0009,45.16
PROD00856,SUP0048,52.99
PROD00857,SUP0055,19.39
PROD00858,SUP0095,94.48
PROD00859,SUP0060,214.62
PROD00860,SUP0122,16.22
PROD00861,SUP0070,123.26
PROD00862,SUP0078,29.43
PROD00863,SUP0049,52.13
PROD00864,SUP0022,35.97
PROD00865,SUP0004,25.99
PROD00866,SUP0093,33.05
PROD00867,SUP0066,135.36
PROD00868,SUP0030,54.74
PROD00869,SUP0080,37.31
PROD00870,SUP0025,53.35
PROD00871,SUP0065,269.78
PROD00872,SUP0103,82.79
PROD00873,SUP0016,27.13
