date,campaign_id,channel,impressions,clicks,leads,conversions,spend
2018-01-25,CAMP0004,Instagram,7774,247,8,1,410.22
2017-10-28,CAMP0006,Organic,116367,13436,609,61,511.71
2018-05-21,CAMP0017,Email,94810,4859,257,56,1498.72
2018-05-03,CAMP0014,Organic,84539,7790,533,68,1546.45
2017-04-20,CAMP0029,Organic,100817,5699,978,194,1269.46
2017-08-20,CAMP0010,Affiliate,11030,808,103,21,946.46
2018-01-08,CAMP0013,Affiliate,99890,6326,1121,313,1517.9
2017-05-24,CAMP0030,Affiliate,71084,9530,484,105,288.72
2017-12-17,CAMP0026,Affiliate,85021,12498,513,58,804.11
2017-03-22,CAMP0002,Facebook,29238,3641,304,63,1288.12
2017-09-18,CAMP0001,Affiliate,23444,3042,412,67,695.16
2018-01-14,CAMP0013,Affiliate,80111,4350,425,114,509.7
2017-01-11,CAMP0009,Google Search,82676,7191,320,66,1859.47
2017-08-12,CAMP0028,Facebook,113263,3008,373,42,1695.15
2017-08-13,CAMP0023,Facebook,46571,6582,623,212,1029.52
2018-03-29,CAMP0005,Affiliate,12805,1127,201,23,235.19
2017-06-19,CAMP0008,Instagram,5173,308,44,6,1585.13
2017-06-03,CAMP0008,Instagram,77748,5495,407,49,891.12
2018-04-16,CAMP0025,Referral,49384,2316,160,15,1717.44
2017-06-01,CAMP0015,Instagram,74642,3175,394,63,1741.81
2017-01-03,CAMP0007,Email,114942,7500,643,218,489.1
2018-05-06,CAMP0017,Email,112392,10590,532,185,897.37
2017-04-24,CAMP0029,Organic,82101,11534,784,143,1723.23
2017-08-15,CAMP0028,Facebook,51670,4085,320,32,1711.92
2017-05-29,CAMP0015,Instagram,71486,1683,114,16,201.39
2017-06-03,CAMP0015,Instagram,56652,6311,886,120,1266.88
2018-05-02,CAMP0014,Organic,44369,709,119,36,1371.29
2017-11-21,CAMP0022,Referral,64538,2604,166,16,934.15
2017-04-08,CAMP0029,Organic,12803,1444,116,32,617.21
2017-03-31,CAMP0002,Facebook,17138,1789,69,8,1961.43
2017-11-13,CAMP0011,Referral,119120,1940,258,34,1282.81
2017-01-23,CAMP0009,Google Search,106906,7214,1216,253,704.19
2017-12-31,CAMP0013,Affiliate,9099,619,103,26,1922.03
2018-04-23,CAMP0003,Facebook,83984,6041,585,163,824.98
2018-03-30,CAMP0005,Affiliate,87786,4507,190,26,956.59
2017-05-22,CAMP0015,Instagram,113110,3138,294,99,1527.62
2018-03-10,CAMP0021,Referral,55186,7759,850,250,94.31
2018-05-19,CAMP0017,Email,32415,2418,228,23,454.26
2018-03-15,CAMP0020,Google Search,75214,10468,1478,107,451.53
2017-08-23,CAMP0016,Email,76021,8731,1451,245,148.53
2017-08-01,CAMP0016,Email,116822,9173,863,104,85.82
2017-01-11,CAMP0007,Email,61937,7619,519,69,101.33
2017-04-26,CAMP0029,Organic,94251,8004,855,48,1311.43
2017-06-01,CAMP0030,Affiliate,106764,12624,1559,471,1448.09
2018-03-02,CAMP0021,Referral,79891,6530,675,213,1990.83
2017-05-25,CAMP0015,Instagram,113375,14482,1420,162,1463.29
2017-05-31,CAMP0030,Affiliate,39753,3111,119,6,1094.17
2017-09-12,CAMP0010,Affiliate,58974,1167,184,57,1849.44
2017-11-20,CAMP0022,Referral,59083,3989,241,18,1406.8
2018-02-10,CAMP0004,Instagram,110258,7976,322,103,437.32
2018-05-19,CAMP0025,Referral,31289,2547,214,58,1495.29
2017-01-17,CAMP0007,Email,37337,3960,554,109,1561.75
2018-05-04,CAMP0014,Organic,58609,3963,562,134,1357.2
2018-03-04,CAMP0020,Google Search,65493,7965,649,43,1270.99
2017-12-30,CAMP0026,Affiliate,12960,437,30,6,1205.67
2018-04-24,CAMP0003,Facebook,74750,8526,561,102,952.31
2017-01-25,CAMP0009,Google Search,64524,8420,1291,348,190.9
2018-03-28,CAMP0020,Google Search,62309,7397,265,72,904.65
2017-09-01,CAMP0010,Affiliate,69363,5792,458,45,175.25
2017-01-11,CAMP0007,Email,70760,9854,1250,142,1113.34
2018-02-01,CAMP0024,Organic,118157,7693,1335,71,184.84
2018-01-30,CAMP0024,Organic,50561,2605,79,10,1545.69
2017-04-09,CAMP0002,Facebook,93076,9978,348,21,735.22
2017-01-24,CAMP0009,Google Search,62232,3807,572,58,365.85
2017-06-20,CAMP0008,Instagram,77975,9706,458,108,956.96
2018-05-15,CAMP0017,Email,65285,2953,284,75,1653.49
2018-05-15,CAMP0014,Organic,24156,2547,430,29,1868.43
2017-06-01,CAMP0030,Affiliate,64193,9188,631,158,197.46
2018-04-10,CAMP0014,Organic,109628,15924,2281,382,1703.93
2018-05-11,CAMP0014,Organic,36263,5085,339,28,1196.02
2018-05-08,CAMP0014,Organic,85518,4827,672,145,386.17
2018-03-03,CAMP0018,Instagram,49849,2983,394,32,1965.51
2017-08-11,CAMP0028,Facebook,27771,611,51,15,1598.9
2018-03-23,CAMP0005,Affiliate,77099,2905,324,25,1372.82
2017-04-20,CAMP0029,Organic,30644,2910,284,67,831.33
2017-08-26,CAMP0010,Affiliate,47437,897,32,8,456.8
2017-01-15,CAMP0007,Email,37302,3172,181,31,82.59
2018-02-19,CAMP0024,Organic,58783,1512,198,41,411.33
2018-02-04,CAMP0004,Instagram,59736,5553,427,94,1096.23
2017-01-31,CAMP0007,Email,62298,4900,703,218,1167.91
2018-03-05,CAMP0018,Instagram,21745,940,62,8,311.13
2017-12-24,CAMP0026,Affiliate,28665,2069,272,38,940.15
2017-09-18,CAMP0001,Affiliate,79148,1151,180,12,302.95
2017-09-10,CAMP0010,Affiliate,83749,4210,528,152,1992.99
2017-06-13,CAMP0008,Instagram,9154,1233,217,15,1643.64
2018-03-25,CAMP0005,Affiliate,61911,2597,191,62,943.88
2017-01-21,CAMP0009,Google Search,101991,9549,1265,433,1432.59
2017-08-18,CAMP0028,Facebook,38946,1415,246,46,1275.54
2017-12-23,CAMP0026,Affiliate,86189,9891,681,200,236.41
2018-02-06,CAMP0024,Organic,49590,2179,163,10,1862.82
2017-04-29,CAMP0019,Google Search,35950,2968,456,68,1806.8
2018-04-17,CAMP0014,Organic,15522,1043,137,47,619.32
2017-11-05,CAMP0011,Referral,31739,2235,185,41,1950.9
2017-11-29,CAMP0022,Referral,78047,4024,395,72,807.48
2017-10-06,CAMP0012,Organic,26617,1379,157,39,884.5
2017-04-26,CAMP0029,Organic,105984,6186,1045,286,389.73
2018-01-14,CAMP0013,Affiliate,77757,6899,376,53,604.59
2018-05-13,CAMP0025,Referral,109456,8465,879,125,1813.41
2017-04-15,CAMP0019,Google Search,105617,15293,1857,466,204.6
2018-04-01,CAMP0018,Instagram,64405,5861,437,54,1960.38
2018-04-08,CAMP0003,Facebook,37365,2712,119,16,1923.47
2017-08-18,CAMP0010,Affiliate,14194,807,95,25,1736.55
2017-12-18,CAMP0026,Affiliate,61188,2930,462,41,1292.24
2017-01-30,CAMP0007,Email,20458,1475,75,16,1002.98
2017-05-05,CAMP0029,Organic,20075,1788,183,15,442.94
2017-08-10,CAMP0023,Facebook,77838,5329,830,91,1725.53
2017-12-31,CAMP0026,Affiliate,66706,8087,1061,234,1697.07
2018-02-11,CAMP0024,Organic,51285,7302,1297,328,1238.81
2017-09-01,CAMP0023,Facebook,55736,7681,241,43,1441.46
2017-09-29,CAMP0012,Organic,96284,14114,674,90,1842.27
2018-04-03,CAMP0018,Instagram,44949,4403,356,60,990.7
2018-01-23,CAMP0024,Organic,103137,1976,209,21,518.61
2018-01-17,CAMP0013,Affiliate,77419,2413,248,76,1507.52
2017-09-22,CAMP0001,Affiliate,54397,4623,156,53,1675.72
2017-08-18,CAMP0028,Facebook,105988,2626,85,4,535.97
2017-06-04,CAMP0030,Affiliate,45136,4475,335,76,739.27
2017-08-02,CAMP0028,Facebook,108258,10027,1128,294,1747.58
2018-02-08,CAMP0024,Organic,50056,6639,802,122,677.22
2017-09-20,CAMP0001,Affiliate,37278,2241,142,41,471.69
2017-10-09,CAMP0012,Organic,15866,217,22,4,1724.69
2018-03-29,CAMP0018,Instagram,34524,2626,354,33,381.25
2018-04-08,CAMP0005,Affiliate,59046,885,102,21,468.31
2018-01-05,CAMP0013,Affiliate,103831,12193,1169,65,68.37
2017-05-30,CAMP0030,Affiliate,78346,1321,226,34,1860.61
2018-04-18,CAMP0014,Organic,106977,10749,525,99,1945.81
2017-10-21,CAMP0006,Organic,82791,1216,169,12,96.6
2017-06-09,CAMP0030,Affiliate,79178,1233,192,64,1036.86
2017-05-21,CAMP0015,Instagram,90415,4953,593,184,301.2
2017-08-30,CAMP0010,Affiliate,24649,989,177,20,485.04
2017-07-31,CAMP0016,Email,29220,4249,351,36,1777.7
2018-02-12,CAMP0024,Organic,57176,5480,408,110,1463.01
2018-04-02,CAMP0018,Instagram,27510,3995,597,47,1297.17
2017-08-31,CAMP0010,Affiliate,29213,2049,147,30,1668.83
2018-04-05,CAMP0020,Google Search,59326,6934,978,181,215.29
2017-09-08,CAMP0023,Facebook,12574,1374,41,8,877.86
2018-05-05,CAMP0025,Referral,107412,2111,211,22,650.44
2017-03-12,CAMP0002,Facebook,90822,1776,195,47,1673.16
2017-09-15,CAMP0001,Affiliate,54878,7730,467,110,85.13
2017-11-11,CAMP0022,Referral,41125,4128,730,49,1207.65
2017-08-16,CAMP0028,Facebook,55469,2602,148,21,582.96
2018-05-05,CAMP0017,Email,66362,7821,744,176,1655.39
2018-04-05,CAMP0005,Affiliate,37779,3595,518,26,1297.97
2017-11-11,CAMP0011,Referral,66787,2459,362,110,1479.44
2017-08-01,CAMP0027,Affiliate,60438,715,25,6,399.24
2018-04-04,CAMP0005,Affiliate,35489,2884,149,26,1844.93
2017-01-16,CAMP0007,Email,51590,6939,634,198,261.73
2018-05-16,CAMP0017,Email,95581,12657,711,100,1540.38
2017-05-15,CAMP0029,Organic,110435,6536,257,74,1377.37
2017-11-01,CAMP0022,Referral,65017,8434,259,81,1249.08
2017-06-09,CAMP0008,Instagram,32425,3440,265,70,1312.05
2017-08-25,CAMP0016,Email,17608,958,120,10,548.69
2017-08-13,CAMP0023,Facebook,32861,3235,122,32,1668.24
2017-05-23,CAMP0030,Affiliate,86699,8146,1253,62,978.42
2018-04-17,CAMP0005,Affiliate,50478,4345,598,153,1142.09
2017-11-12,CAMP0011,Referral,14757,761,36,11,1958.84
2018-01-23,CAMP0004,Instagram,62226,4874,859,56,66.52
2017-09-13,CAMP0001,Affiliate,6254,244,21,2,1237.67
2017-09-17,CAMP0001,Affiliate,76583,2804,150,43,442.8
2017-08-04,CAMP0016,Email,100495,9287,1453,272,1213.15
2018-04-28,CAMP0014,Organic,96622,8149,1062,180,1104.43
2017-06-06,CAMP0015,Instagram,108790,4027,619,176,246.29
2018-01-04,CAMP0013,Affiliate,95607,1444,143,24,1594.0
2017-05-10,CAMP0029,Organic,116561,15316,2424,218,1948.32
2018-02-12,CAMP0024,Organic,84275,5585,963,220,621.25
2018-04-15,CAMP0005,Affiliate,105470,5080,231,72,1816.29
2017-04-10,CAMP0002,Facebook,73789,7499,504,44,1418.73
2017-05-30,CAMP0030,Affiliate,47151,4938,190,64,1936.36
2017-02-01,CAMP0007,Email,33525,862,47,6,157.15
2018-03-07,CAMP0021,Referral,23720,1746,271,57,1617.68
2017-11-03,CAMP0022,Referral,58262,6566,1051,132,801.38
2017-11-02,CAMP0006,Organic,79986,1492,204,64,94.78
2017-03-20,CAMP0002,Facebook,13621,1763,281,61,1041.3
2017-09-11,CAMP0001,Affiliate,83710,8345,632,117,70.34
2017-10-17,CAMP0006,Organic,79806,7674,508,68,1094.49
2017-07-31,CAMP0016,Email,94894,4689,359,110,1086.06
2017-05-29,CAMP0030,Affiliate,100360,10892,1327,106,1267.95
2017-04-03,CAMP0019,Google Search,100973,3676,203,60,801.91
2018-02-02,CAMP0004,Instagram,54612,5889,182,15,1531.77
2017-12-19,CAMP0026,Affiliate,11543,1056,144,48,129.79
2017-01-09,CAMP0009,Google Search,113286,6800,979,289,1397.77
2017-11-12,CAMP0011,Referral,74391,2674,213,72,854.97
2017-08-08,CAMP0027,Affiliate,95243,2226,356,71,1537.68
2017-08-14,CAMP0023,Facebook,56153,3698,347,79,771.36
2017-02-05,CAMP0009,Google Search,36459,5328,169,29,551.43
2018-01-17,CAMP0013,Affiliate,38925,729,112,10,1463.44
2018-05-22,CAMP0025,Referral,22019,615,46,8,435.15
2017-08-21,CAMP0010,Affiliate,20785,671,74,11,1483.05
2017-10-30,CAMP0006,Organic,114029,5773,515,63,424.97
2017-08-24,CAMP0028,Facebook,86000,7657,817,273,1861.27
2017-10-01,CAMP0012,Organic,60338,3117,214,44,1930.44
2017-06-08,CAMP0030,Affiliate,30306,2583,223,13,732.75
2018-04-02,CAMP0003,Facebook,90624,2575,278,26,559.85
2018-04-03,CAMP0003,Facebook,36655,534,29,7,845.25
2018-03-13,CAMP0021,Referral,119360,1672,90,23,1093.64
2017-10-22,CAMP0006,Organic,87290,5049,575,67,447.5
2017-01-10,CAMP0007,Email,102476,5139,794,262,826.91
2018-05-04,CAMP0025,Referral,95816,12107,1198,414,1401.46
2018-01-03,CAMP0026,Affiliate,50360,4362,732,202,405.8
2017-09-14,CAMP0001,Affiliate,73648,10901,1418,487,1405.22
2018-04-02,CAMP0005,Affiliate,26037,3542,498,34,1709.26
2017-12-30,CAMP0026,Affiliate,43315,2113,238,54,514.47
2018-03-14,CAMP0005,Affiliate,39899,4497,223,54,788.79
2018-03-22,CAMP0020,Google Search,74378,9904,875,91,565.2
2017-05-02,CAMP0019,Google Search,65882,5229,554,131,1272.59
2018-04-17,CAMP0025,Referral,28809,2802,415,86,1113.06
2018-01-04,CAMP0013,Affiliate,88218,7432,572,78,1480.1
2017-08-22,CAMP0016,Email,117885,5827,922,74,1635.96
2017-05-15,CAMP0029,Organic,79964,8097,1056,261,482.5
2018-05-12,CAMP0017,Email,78025,3817,120,19,1222.18
2017-09-09,CAMP0023,Facebook,77889,1056,109,17,1523.56
2018-04-10,CAMP0018,Instagram,5169,731,114,39,1546.13
2018-03-04,CAMP0021,Referral,47803,2495,428,34,735.63
2017-09-16,CAMP0001,Affiliate,64344,903,112,12,53.02
2017-05-31,CAMP0030,Affiliate,15261,245,20,2,840.18
2017-11-17,CAMP0011,Referral,79450,6751,1180,412,494.25
2018-05-09,CAMP0017,Email,26913,1268,214,28,1650.66
2018-01-03,CAMP0013,Affiliate,117894,9075,431,120,1661.88
2017-08-09,CAMP0027,Affiliate,92734,5646,268,24,1283.78
2017-11-09,CAMP0011,Referral,80690,2543,315,77,1801.07
2017-07-28,CAMP0027,Affiliate,44774,3524,265,70,1975.12
2018-01-03,CAMP0013,Affiliate,27335,2360,347,101,1503.52
2017-09-19,CAMP0001,Affiliate,90546,5655,911,205,1276.79
2017-09-19,CAMP0001,Affiliate,78329,4717,712,99,1635.13
2017-05-27,CAMP0030,Affiliate,62927,7785,699,184,885.42
2018-04-27,CAMP0017,Email,31177,1790,183,62,1003.32
2018-04-16,CAMP0025,Referral,64672,7486,640,119,1358.11
2017-06-06,CAMP0008,Instagram,76587,11458,957,179,1052.64
2017-09-03,CAMP0023,Facebook,109712,14353,836,92,134.35
2017-12-09,CAMP0022,Referral,12374,633,113,6,1011.39
2017-09-02,CAMP0023,Facebook,74057,7349,1016,168,268.05
2017-12-26,CAMP0026,Affiliate,84953,8244,298,75,1636.5
2018-03-27,CAMP0018,Instagram,98001,3482,467,133,1234.42
2017-10-19,CAMP0006,Organic,16875,1801,115,20,804.93
2017-09-18,CAMP0001,Affiliate,24416,2272,138,19,1688.95
2017-10-26,CAMP0006,Organic,37032,4060,326,36,1487.6
2017-09-20,CAMP0001,Affiliate,41629,6233,580,40,1892.53
2017-08-10,CAMP0028,Facebook,78768,911,160,44,285.05
2018-01-25,CAMP0004,Instagram,9431,712,34,4,761.97
2017-06-03,CAMP0030,Affiliate,95600,6218,262,88,656.9
2018-03-13,CAMP0020,Google Search,15923,1052,164,21,1600.8
2017-11-16,CAMP0011,Referral,45698,829,114,26,1040.95
2018-04-29,CAMP0003,Facebook,41455,1192,207,14,1790.77
2018-04-09,CAMP0005,Affiliate,44329,6174,943,198,836.77
2018-04-06,CAMP0005,Affiliate,7142,969,63,10,790.97
2017-08-08,CAMP0016,Email,114821,2478,422,99,740.35
2018-04-11,CAMP0014,Organic,110502,5197,596,107,414.32
2017-08-13,CAMP0028,Facebook,60919,1655,165,25,1656.2
2018-04-15,CAMP0003,Facebook,60942,4714,444,88,616.71
2017-01-13,CAMP0009,Google Search,109071,11468,1826,208,1669.06
2017-08-08,CAMP0028,Facebook,12501,1380,71,9,1348.43
2017-03-13,CAMP0002,Facebook,70529,8648,993,345,887.38
2017-08-21,CAMP0016,Email,52676,6143,225,49,508.97
2017-12-04,CAMP0022,Referral,84011,7939,486,81,869.98
2017-09-06,CAMP0023,Facebook,9852,221,25,7,615.31
2017-09-16,CAMP0001,Affiliate,47747,5773,1008,154,1493.34
2018-04-30,CAMP0003,Facebook,70635,2079,231,43,864.34
2017-05-22,CAMP0015,Instagram,119531,7264,583,53,1044.61
2018-05-16,CAMP0017,Email,104367,7516,558,161,961.96
2017-05-03,CAMP0019,Google Search,64612,8656,834,172,819.85
2018-03-02,CAMP0021,Referral,95619,5689,904,89,668.37
2017-01-28,CAMP0009,Google Search,15583,2257,382,112,1986.9
2018-05-11,CAMP0025,Referral,102377,7943,1206,248,1684.52
2017-01-11,CAMP0009,Google Search,58843,5265,350,91,1277.51
2017-06-10,CAMP0030,Affiliate,118538,7503,243,32,1237.76
2017-09-02,CAMP0023,Facebook,56059,4931,797,221,872.19
2017-05-22,CAMP0015,Instagram,78360,7472,1269,167,1031.35
2018-05-03,CAMP0025,Referral,24568,2848,369,35,858.08
2017-08-15,CAMP0027,Affiliate,87713,4963,457,39,932.85
2018-03-10,CAMP0020,Google Search,111935,14309,829,283,466.86
2017-05-04,CAMP0029,Organic,113880,9362,895,52,1385.48
2018-04-21,CAMP0025,Referral,85366,2351,400,99,1889.84
2017-07-29,CAMP0016,Email,27860,1925,76,10,1680.87
2017-04-20,CAMP0019,Google Search,24521,739,40,12,1061.74
2017-05-21,CAMP0015,Instagram,84680,9462,1340,357,887.12
2017-01-16,CAMP0009,Google Search,30485,3420,346,82,1791.18
2017-01-06,CAMP0007,Email,118739,4890,401,74,871.59
2017-06-20,CAMP0008,Instagram,52897,3190,341,32,917.35
2017-11-21,CAMP0022,Referral,47227,3070,300,60,1431.91
2018-01-07,CAMP0013,Affiliate,17743,1256,215,43,257.6
2018-01-16,CAMP0013,Affiliate,30579,2627,206,47,1167.23
2017-09-14,CAMP0001,Affiliate,54685,8092,405,88,1008.72
2018-03-20,CAMP0018,Instagram,101991,8006,268,23,1722.7
2018-05-12,CAMP0025,Referral,52127,2155,228,73,1162.83
2017-04-28,CAMP0019,Google Search,105427,5109,685,62,676.83
2018-04-26,CAMP0017,Email,30009,1590,82,12,778.88
2017-10-30,CAMP0006,Organic,35981,2789,375,46,174.72
2017-10-04,CAMP0012,Organic,118401,11159,1581,501,1670.4
2017-01-09,CAMP0007,Email,85507,4835,865,227,84.71
2018-01-15,CAMP0013,Affiliate,58321,7582,1288,361,1518.56
2017-11-08,CAMP0011,Referral,102251,1737,117,39,965.29
2017-09-18,CAMP0001,Affiliate,67827,7697,256,55,1214.66
2018-03-13,CAMP0020,Google Search,83415,12338,860,253,1269.43
2018-03-07,CAMP0021,Referral,11659,989,113,9,339.21
2018-01-24,CAMP0004,Instagram,89485,3425,360,40,470.7
