cost_id,cost_date,state,cost_type,cost_amount
COST000069,2017-10-03,PR,customer_support,916.31
COST000070,2017-08-25,SC,logistics,8303.77
COST000071,2017-02-27,SC,payroll,9644.08
COST000072,2017-05-30,SP,logistics,5770.9
COST000073,2018-06-07,PR,customer_support,1775.29
COST000074,2017-07-11,SC,warehouse,1701.38
COST000075,2017-05-14,RS,warehouse,7626.57
COST000076,2017-01-29,PR,marketing,766.45
COST000077,2017-02-17,BA,payroll,6890.48
COST000078,2017-04-11,RJ,marketing,2953.04
COST000079,2018-01-08,SP,technology,9273.79
COST000080,2017-06-26,RS,logistics,5583.6
COST000081,2017-03-07,DF,marketing,2301.32
COST000082,2017-07-29,RJ,technology,8481.66
COST000083,2018-05-01,SP,logistics,9834.11
COST000084,2017-12-24,SP,marketing,7469.29
COST000085,2018-07-03,RJ,marketing,7009.07
COST000086,2018-08-01,PR,marketing,8583.93
COST000087,2017-03-06,BA,technology,300.17
COST000088,2018-07-08,RS,customer_support,8900.38
COST000089,2018-09-04,DF,logistics,2572.8
COST000090,2017-07-08,RS,customer_support,5945.87
COST000091,2017-05-28,MG,customer_support,4527.69
COST000092,2017-06-15,DF,payroll,4391.08
COST000093,2017-01-23,MG,technology,4558.66
COST000094,2017-10-17,SP,technology,6869.41
COST000095,2017-12-11,MG,technology,6792.51
COST000096,2017-02-05,RS,logistics,3821.3
COST000097,2017-01-19,RS,customer_support,9929.23
COST000098,2017-12-24,DF,warehouse,9666.51
COST000099,2017-04-28,DF,customer_support,1656.5
COST000100,2018-08-27,MG,payroll,6909.58
COST000101,2017-04-19,MG,payroll,5166.82
COST000102,2018-06-22,SC,payroll,2781.76
COST000103,2017-03-26,SC,warehouse,8102.05
COST000104,2017-03-28,BA,technology,2322.91
COST000105,2017-07-06,SP,warehouse,6736.12
COST000106,2018-05-07,RS,payroll,7385.97
COST000107,2017-06-09,BA,technology,4086.54
COST000108,2018-04-24,SC,logistics,474.45
COST000109,2018-09-04,PR,payroll,3267.81
COST000110,2017-03-27,BA,technology,8109.89
COST000111,2017-01-25,DF,logistics,6762.31
COST000112,2017-04-02,RS,warehouse,4902.52
COST000113,2018-02-21,DF,customer_support,7146.72
COST000114,2017-07-10,DF,technology,2238.27
COST000115,2017-05-14,BA,technology,9266.31
COST000116,2017-04-10,SP,warehouse,8409.77
COST000117,2018-07-23,RJ,logistics,420.22
COST000118,2017-11-11,SC,customer_support,6729.63
COST000119,2017-11-28,MG,warehouse,2846.38
COST000120,2018-05-01,DF,payroll,5007.63
COST000121,2018-08-18,RJ,marketing,2051.76
COST000122,2018-05-10,MG,warehouse,7365.88
COST000123,2018-03-03,BA,payroll,544.37
COST000124,2017-01-01,BA,technology,5580.21
COST000125,2017-11-13,MG,customer_support,1190.0
COST000126,2017-10-08,DF,payroll,3142.78
COST000127,2017-09-06,PR,technology,2014.02
COST000128,2018-07-13,BA,marketing,4393.85
COST000129,2017-10-14,PR,marketing,4865.33
COST000130,2017-04-07,DF,warehouse,6625.11
COST000131,2017-05-26,MG,customer_support,4551.9
COST000132,2017-09-11,RS,marketing,7274.35
COST000133,2017-12-03,SP,customer_support,8086.88
COST000134,2017-04-04,SP,warehouse,9937.65
COST000135,2017-08-27,MG,logistics,1324.36
COST000136,2017-08-04,DF,customer_support,4149.11
COST000137,2018-06-13,SP,technology,2616.47
COST000138,2018-04-03,SP,warehouse,7274.96
COST000139,2018-05-23,RS,customer_support,5205.48
COST000140,2017-09-07,SC,customer_support,1202.24
COST000141,2017-09-12,RS,marketing,721.65
COST000142,2018-05-11,MG,customer_support,5058.1
COST000143,2017-03-28,SC,marketing,3572.1
COST000144,2018-05-03,BA,customer_support,5315.04
COST000145,2017-07-05,SP,technology,2562.42
COST000146,2017-11-19,MG,technology,3937.62
COST000147,2017-06-23,RS,customer_support,9742.46
COST000148,2018-07-09,SP,logistics,2487.37
COST000149,2017-09-07,BA,logistics,331.74
COST000150,2017-11-15,DF,marketing,9234.42
COST000151,2017-02-26,RS,technology,8054.5
COST000152,2017-05-23,DF,warehouse,4599.36
COST000153,2017-03-24,RJ,customer_support,5371.46
COST000154,2017-02-07,SC,customer_support,3420.22
COST000155,2018-09-29,BA,warehouse,1516.83
COST000156,2018-03-17,DF,technology,2753.42
COST000157,2018-02-03,BA,payroll,3643.22
COST000158,2017-05-31,SP,logistics,5599.46
COST000159,2017-04-30,RJ,payroll,2895.03
COST000160,2017-11-16,RJ,warehouse,3297.89
COST000161,2017-11-15,DF,technology,5526.24
COST000162,2017-03-10,RS,warehouse,2896.3
COST000163,2017-12-17,RS,logistics,9722.09
COST000164,2018-02-05,PR,warehouse,4518.98
COST000165,2017-04-09,DF,customer_support,8098.69
COST000166,2017-06-29,SC,customer_support,6837.24
COST000167,2018-07-04,SP,technology,1439.06
COST000168,2018-06-17,SC,technology,7840.55
COST000169,2018-04-30,PR,technology,2554.15
COST000170,2017-10-06,SC,logistics,8921.73
COST000171,2018-02-02,MG,warehouse,7246.43
COST000172,2017-03-07,BA,logistics,7200.24
COST000173,2017-05-31,MG,logistics,3128.33
COST000174,2018-08-15,BA,warehouse,3989.32
COST000175,2018-06-17,BA,payroll,7342.0
COST000176,2017-04-14,SC,warehouse,3698.38
COST000177,2018-05-19,RS,customer_support,4583.74
COST000178,2018-02-12,MG,logistics,5633.37
COST000179,2018-04-23,RJ,marketing,3053.43
COST000180,2018-07-24,SC,payroll,7656.65
COST000181,2017-08-20,BA,payroll,2818.58
COST000182,2018-02-10,MG,marketing,623.7
COST000183,2017-06-09,PR,payroll,7889.14
COST000184,2017-05-08,SP,warehouse,3775.56
COST000185,2017-08-02,DF,marketing,8474.33
COST000186,2017-03-14,BA,marketing,6274.5
COST000187,2017-08-18,RS,marketing,8327.06
COST000188,2017-12-24,SP,warehouse,3876.79
COST000189,2018-03-31,RS,payroll,5639.18
COST000190,2017-06-24,SC,payroll,225.36
COST000191,2017-03-01,MG,customer_support,2644.85
COST000192,2018-05-30,MG,technology,8757.81
COST000193,2018-01-21,RS,warehouse,4464.03
COST000194,2018-09-27,SP,payroll,6395.26
COST000195,2018-03-01,DF,technology,2870.96
COST000196,2017-11-27,RJ,technology,8540.42
COST000197,2017-05-28,RS,customer_support,5975.95
COST000198,2018-03-22,SC,logistics,9088.8
COST000199,2018-09-13,RJ,warehouse,2511.47
COST000200,2017-05-17,PR,technology,7300.97
COST000201,2018-01-16,RS,marketing,302.87
COST000202,2017-03-02,RS,marketing,6018.13
COST000203,2017-09-23,DF,logistics,3084.41
COST000204,2017-11-28,RJ,customer_support,1319.62
COST000205,2017-09-24,SC,technology,6304.79
COST000206,2018-05-14,DF,marketing,388.18
COST000207,2018-09-27,RJ,technology,1647.19
COST000208,2017-12-18,DF,marketing,3770.35
COST000209,2018-08-23,DF,warehouse,4523.51
COST000210,2017-06-25,DF,payroll,9091.82
COST000211,2018-04-05,SC,marketing,3417.2
COST000212,2017-08-17,MG,warehouse,606.36
COST000213,2018-05-07,DF,payroll,9626.57
COST000214,2017-08-20,DF,logistics,8324.95
COST000215,2017-03-29,SP,payroll,2351.6
COST000216,2017-11-04,SC,warehouse,5202.7
COST000217,2017-03-12,BA,customer_support,1638.15
COST000218,2018-06-21,MG,marketing,9560.99
COST000219,2017-06-15,MG,customer_support,5210.65
COST000220,2017-11-15,RJ,logistics,4769.72
COST000221,2017-02-16,SC,technology,8305.71
COST000222,2017-09-25,DF,customer_support,1376.97
COST000223,2018-05-09,DF,logistics,2716.94
COST000224,2017-04-25,DF,payroll,7353.28
COST000225,2018-03-24,BA,warehouse,6178.24
COST000226,2017-03-30,BA,logistics,1674.38
COST000227,2017-10-25,RS,logistics,2185.65
COST000228,2017-06-28,DF,marketing,8810.49
COST000229,2017-01-17,BA,payroll,8254.9
COST000230,2017-07-05,RS,marketing,247.34
COST000231,2017-01-29,BA,customer_support,9519.91
COST000232,2017-06-03,RJ,marketing,5858.57
COST000233,2017-10-08,BA,payroll,4765.23
COST000234,2018-01-08,BA,logistics,3620.34
COST000235,2017-02-08,RS,warehouse,3820.46
COST000236,2017-10-26,SC,warehouse,4996.43
COST000237,2018-09-24,DF,payroll,2184.66
COST000238,2017-07-05,SP,payroll,1401.64
COST000239,2018-03-03,PR,warehouse,5653.99
COST000240,2017-10-03,SC,warehouse,4586.3
COST000241,2017-04-14,RS,customer_support,6802.12
COST000242,2018-03-27,RS,technology,4977.49
COST000243,2017-05-20,MG,payroll,3984.96
COST000244,2017-11-15,SC,customer_support,3501.2
COST000245,2017-03-14,RJ,marketing,5816.0
COST000246,2017-04-24,SC,logistics,2859.39
COST000247,2017-02-21,RS,logistics,8195.25
COST000248,2018-07-04,BA,technology,7956.68
COST000249,2017-06-17,SC,customer_support,6474.77
COST000250,2018-05-11,RJ,payroll,3918.66
COST000251,2017-04-25,MG,logistics,6061.48
COST000252,2018-02-02,BA,logistics,6256.38
COST000253,2018-09-21,SP,logistics,6806.77
COST000254,2018-01-03,DF,warehouse,3876.61
COST000255,2017-03-17,PR,technology,4235.68
COST000256,2018-03-19,BA,customer_support,9116.19
COST000257,2018-07-09,SC,marketing,1195.16
COST000258,2017-04-27,SP,warehouse,1402.95
COST000259,2018-03-03,BA,payroll,9907.08
COST000260,2017-06-13,PR,technology,6271.16
COST000261,2018-02-03,SP,warehouse,4640.91
COST000262,2018-08-02,DF,warehouse,1288.1
COST000263,2017-12-04,BA,technology,6474.93
COST000264,2017-10-20,SC,customer_support,7778.5
COST000265,2018-05-30,PR,payroll,5358.75
COST000266,2017-06-28,SP,technology,587.89
COST000267,2018-03-06,BA,technology,5155.41
COST000268,2018-01-09,BA,payroll,1611.4
COST000269,2018-09-28,RJ,warehouse,4381.49
COST000270,2017-02-05,PR,payroll,2997.24
COST000271,2018-03-10,RJ,marketing,1393.9
COST000272,2017-02-28,BA,payroll,569.72
COST000273,2017-02-08,MG,marketing,6028.5
COST000274,2018-04-19,SC,technology,5770.17
COST000275,2017-03-06,RS,logistics,1680.47
COST000276,2017-08-24,MG,technology,9186.39
COST000277,2017-10-22,MG,marketing,8757.26
COST000278,2017-05-28,PR,payroll,2763.77
COST000279,2017-11-30,DF,marketing,5091.3
COST000280,2018-06-27,PR,logistics,5115.14
COST000281,2017-06-22,MG,technology,1884.19
COST000282,2017-05-04,SP,marketing,4017.44
COST000283,2018-05-08,RS,warehouse,6413.6
COST000284,2018-05-15,SC,technology,5055.27
COST000285,2017-02-22,RJ,technology,3875.23
COST000286,2018-02-17,RJ,marketing,4444.11
COST000287,2017-07-04,BA,marketing,6467.51
COST000288,2017-01-29,DF,logistics,9216.5
COST000289,2018-02-08,SP,customer_support,9186.03
COST000290,2018-09-09,DF,warehouse,8460.17
COST000291,2017-05-19,RS,marketing,4544.22
COST000292,2018-09-09,SP,logistics,9909.85
COST000293,2017-03-05,DF,marketing,1672.59
COST000294,2017-07-29,DF,technology,4672.94
COST000295,2017-11-04,RJ,customer_support,5447.96
COST000296,2018-01-07,SP,customer_support,9737.42
COST000297,2018-03-30,PR,technology,4862.53
COST000298,2018-08-01,RJ,technology,6561.56
COST000299,2018-09-02,DF,customer_support,2420.56
COST000300,2018-01-02,DF,technology,5279.92
COST000301,2018-01-02,PR,payroll,6608.55
COST000302,2017-05-02,SC,technology,2358.61
COST000303,2018-09-21,SC,warehouse,5266.48
COST000304,2017-05-06,BA,technology,6613.76
COST000305,2018-05-16,SC,payroll,2843.48
COST000306,2018-08-02,RS,marketing,4709.47
COST000307,2017-06-15,PR,marketing,8161.49
COST000308,2018-06-02,SP,payroll,5428.06
COST000309,2018-02-23,SC,technology,2231.25
COST000310,2018-01-11,DF,logistics,2220.86
COST000311,2018-09-03,RS,warehouse,7095.57
COST000312,2018-03-08,MG,technology,2895.53
COST000313,2017-11-06,SC,payroll,339.6
COST000314,2017-08-04,RS,customer_support,8538.78
COST000315,2017-10-03,SC,technology,284.96
COST000316,2017-05-29,DF,payroll,5535.95
COST000317,2017-12-27,MG,technology,2305.43
COST000318,2017-11-25,MG,logistics,7793.36
COST000319,2017-10-10,SC,customer_support,1474.96
COST000320,2018-07-03,RS,logistics,8563.79
COST000321,2017-04-27,MG,warehouse,5749.33
COST000322,2018-06-23,PR,warehouse,1774.45
COST000323,2017-09-07,SC,payroll,6520.72
COST000324,2018-09-09,PR,logistics,389.9
COST000325,2017-07-25,RS,warehouse,6043.72
COST000326,2018-04-03,MG,payroll,7473.24
COST000327,2018-08-03,SP,customer_support,4850.67
COST000328,2017-11-16,RS,warehouse,1575.02
COST000329,2018-04-04,MG,customer_support,2054.61
COST000330,2017-08-16,SC,logistics,1548.15
COST000331,2017-09-26,MG,customer_support,4101.17
COST000332,2018-07-19,SC,technology,1854.51
COST000333,2018-08-05,BA,marketing,3066.74
COST000334,2017-10-11,MG,logistics,1455.87
COST000335,2018-01-18,SP,customer_support,1856.47
COST000336,2017-02-01,PR,warehouse,9351.0
COST000337,2017-11-20,RJ,marketing,241.82
COST000338,2017-05-19,SC,logistics,5278.12
COST000339,2017-01-26,SP,warehouse,4366.0
COST000340,2017-06-03,RJ,logistics,2883.73
COST000341,2017-05-23,SC,customer_support,8000.25
COST000342,2017-10-20,DF,customer_support,2269.64
COST000343,2017-03-06,PR,customer_support,8929.47
COST000344,2017-01-09,MG,payroll,6858.08
COST000345,2017-04-07,RJ,warehouse,6672.77
COST000346,2017-09-26,RJ,marketing,9630.1
COST000347,2018-09-29,BA,logistics,8668.49
COST000348,2018-06-19,SC,warehouse,4925.39
COST000349,2017-06-29,DF,customer_support,5813.78
COST000350,2017-11-27,SP,technology,7780.84
COST000351,2017-03-14,PR,warehouse,2134.28
COST000352,2017-07-06,DF,logistics,6492.7
COST000353,2018-01-24,DF,technology,2798.05
COST000354,2018-06-01,RS,marketing,789.6
COST000355,2017-10-18,DF,technology,9825.59
COST000356,2017-12-14,SC,logistics,7056.87
COST000357,2018-07-28,RJ,technology,7078.61
COST000358,2018-08-17,SP,customer_support,4455.84
COST000359,2017-10-01,MG,logistics,2054.18
COST000360,2017-05-09,PR,technology,8861.46
COST000361,2017-03-03,BA,payroll,6344.79
COST000362,2017-09-07,BA,marketing,2563.58
COST000363,2018-04-01,MG,marketing,1722.75
COST000364,2017-04-01,MG,marketing,7445.4
COST000365,2017-05-21,BA,payroll,1853.4
COST000366,2017-10-24,RS,marketing,2254.0
COST000367,2017-01-23,BA,technology,1106.48
COST000368,2017-08-04,RJ,customer_support,7544.09
COST000369,2017-01-08,RS,warehouse,6350.65
COST000370,2017-05-11,DF,customer_support,4299.15
COST000371,2017-05-01,SP,payroll,1843.48
COST000372,2018-04-02,RS,payroll,5592.76
COST000373,2018-07-06,SP,logistics,6496.99
COST000374,2018-03-15,RJ,payroll,2548.67
COST000375,2018-01-14,RJ,marketing,3257.56
COST000376,2017-09-17,RS,payroll,2217.09
COST000377,2017-12-22,MG,payroll,3631.09
COST000378,2018-04-16,RS,technology,2524.52
COST000379,2017-08-21,DF,technology,4914.97
COST000380,2018-08-24,PR,customer_support,9382.99
COST000381,2018-08-23,BA,payroll,2891.27
COST000382,2018-07-02,RJ,marketing,4199.59
COST000383,2017-05-11,BA,technology,3786.58
COST000384,2018-02-18,DF,warehouse,2063.06
COST000385,2017-09-13,BA,technology,9735.4
COST000386,2017-07-18,PR,logistics,5232.39
COST000387,2018-02-05,PR,logistics,6061.0
COST000388,2017-11-26,PR,payroll,1892.17
COST000389,2018-04-02,BA,payroll,8088.62
COST000390,2017-03-01,MG,marketing,8757.54
COST000391,2017-07-01,SC,customer_support,5141.89
COST000392,2017-04-11,RJ,customer_support,3248.93
COST000393,2017-07-29,DF,warehouse,2637.24
COST000394,2018-04-06,RJ,marketing,980.96
COST000395,2017-08-22,SC,marketing,4257.78
COST000396,2018-03-18,RJ,customer_support,5881.7
COST000397,2018-09-18,SC,logistics,4751.91
COST000398,2017-04-05,DF,customer_support,5282.74
COST000399,2018-03-21,SC,customer_support,8921.56
COST000400,2017-04-07,RS,warehouse,2775.16
COST000401,2017-10-12,SP,customer_support,5890.86
COST000402,2017-03-24,RJ,warehouse,1611.87
COST000403,2018-08-17,MG,technology,6321.07
COST000404,2018-03-27,DF,payroll,997.54
COST000405,2018-08-24,MG,payroll,1524.0
COST000406,2018-01-20,BA,logistics,1675.0
COST000407,2018-07-10,SP,logistics,6288.52
COST000408,2017-01-25,RS,technology,6873.01
COST000409,2018-05-02,MG,technology,206.32
COST000410,2017-02-24,DF,marketing,8291.52
COST000411,2017-10-20,BA,payroll,8018.4
COST000412,2017-10-27,DF,technology,2249.14
COST000413,2017-10-21,SP,warehouse,984.83
COST000414,2017-07-01,MG,marketing,5865.5
COST000415,2018-01-01,SP,marketing,8701.37
COST000416,2017-03-05,MG,payroll,3574.12
COST000417,2018-03-15,RS,payroll,9655.45
COST000418,2017-08-19,BA,payroll,9746.51
COST000419,2018-09-02,RS,logistics,245.87
COST000420,2017-01-08,SC,payroll,6589.68
COST000421,2017-02-09,MG,logistics,3575.16
COST000422,2017-12-12,SC,technology,1490.82
COST000423,2018-09-29,SC,warehouse,7433.26
COST000424,2018-03-03,BA,warehouse,7187.0
COST000425,2018-08-15,MG,marketing,604.96
COST000426,2017-01-20,PR,marketing,1478.69
COST000427,2017-03-29,RJ,marketing,857.83
COST000428,2018-01-17,RS,warehouse,5981.27
COST000429,2018-04-02,MG,marketing,2935.28
COST000430,2017-02-28,SC,logistics,5662.33
COST000431,2017-08-28,RJ,marketing,6880.91
COST000432,2018-03-06,DF,technology,3558.14
COST000433,2018-07-25,BA,marketing,3550.21
COST000434,2017-11-08,MG,logistics,7509.61
COST000435,2017-10-20,RJ,customer_support,3600.12
COST000436,2017-11-29,BA,warehouse,3565.25
COST000437,2018-03-21,RJ,customer_support,6061.08
COST000438,2017-02-05,RS,warehouse,794.54
COST000439,2017-12-06,PR,warehouse,3484.98
COST000440,2017-10-07,SP,logistics,1397.46
COST000441,2018-02-27,DF,warehouse,8820.56
COST000442,2017-05-22,MG,payroll,3367.02
COST000443,2018-09-07,DF,marketing,4731.74
COST000444,2017-01-31,RJ,logistics,963.17
COST000445,2017-03-30,PR,marketing,4997.34
COST000446,2018-01-21,RJ,technology,6614.53
COST000447,2018-07-27,MG,marketing,541.56
COST000448,2017-07-21,SP,logistics,3390.02
COST000449,2017-04-02,RS,payroll,5611.25
COST000450,2018-03-03,SP,payroll,9963.61
COST000451,2017-04-21,DF,warehouse,7685.52
COST000452,2017-10-24,RS,payroll,5712.23
COST000453,2017-08-04,RJ,technology,2167.45
COST000454,2017-08-25,PR,technology,9691.15
COST000455,2017-12-23,RS,marketing,2096.33
COST000456,2017-12-24,RJ,technology,1631.82
COST000457,2018-07-10,SC,logistics,4314.79
COST000458,2017-04-05,MG,warehouse,7426.79
COST000459,2018-03-12,MG,technology,1005.44
COST000460,2017-02-28,DF,warehouse,1925.73
COST000461,2017-03-07,PR,customer_support,6284.89
COST000462,2017-05-15,BA,warehouse,338.87
COST000463,2017-10-08,DF,marketing,6635.58
COST000464,2017-11-14,PR,logistics,737.67
COST000465,2018-03-10,MG,customer_support,3752.49
COST000466,2017-02-22,MG,marketing,4210.95
COST000467,2017-08-30,RS,technology,6467.17
COST000468,2018-09-19,DF,customer_support,3369.58
COST000469,2017-08-20,PR,customer_support,1033.55
COST000470,2018-09-11,MG,technology,1482.28
COST000471,2017-05-11,DF,warehouse,4473.15
COST000472,2017-02-10,SC,customer_support,5769.3
COST000473,2017-01-24,BA,payroll,9365.19
COST000474,2017-09-18,RS,warehouse,5593.32
COST000475,2018-08-29,RJ,logistics,7036.67
COST000476,2017-07-18,PR,payroll,1980.75
COST000477,2017-04-18,PR,payroll,9911.42
COST000478,2018-05-11,MG,payroll,1544.86
COST000479,2017-05-25,MG,technology,5673.82
COST000480,2017-02-19,MG,logistics,9473.5
COST000481,2017-11-09,BA,technology,4721.72
COST000482,2018-09-18,SC,warehouse,9040.29
COST000483,2017-05-27,MG,customer_support,5914.66
COST000484,2017-03-03,SP,warehouse,8534.98
COST000485,2018-06-17,BA,warehouse,7161.72
COST000486,2017-12-10,DF,warehouse,5921.42
COST000487,2018-07-26,MG,technology,1245.96
COST000488,2017-09-15,RJ,payroll,2981.86
COST000489,2018-07-11,MG,logistics,1298.06
COST000490,2018-05-12,MG,marketing,5525.63
COST000491,2018-01-22,RJ,customer_support,4436.11
COST000492,2017-09-28,SC,marketing,4359.85
COST000493,2017-04-27,RS,warehouse,2900.04
COST000494,2018-02-06,RJ,customer_support,8192.46
COST000495,2017-05-09,PR,technology,4307.85
COST000496,2017-11-05,RJ,warehouse,2877.53
COST000497,2017-05-15,PR,customer_support,2714.42
COST000498,2017-04-14,SP,technology,3145.62
COST000499,2018-04-25,RJ,customer_support,8307.02
COST000500,2017-04-01,RS,payroll,3729.22
COST000501,2017-08-16,DF,logistics,2513.5
COST000502,2017-12-28,BA,warehouse,8903.36
COST000503,2017-12-15,BA,logistics,8963.6
COST000504,2017-04-14,SP,payroll,6843.92
COST000505,2017-08-10,MG,marketing,8277.24
COST000506,2017-03-25,RS,customer_support,8332.96
COST000507,2018-08-29,DF,warehouse,6998.48
COST000508,2018-05-18,RJ,customer_support,4706.16
COST000509,2017-02-28,DF,marketing,9460.62
COST000510,2017-07-17,RJ,logistics,3350.81
COST000511,2017-05-15,RS,customer_support,7937.12
COST000512,2017-11-02,MG,customer_support,2350.84
COST000513,2018-03-18,DF,logistics,6549.55
COST000514,2017-03-12,MG,marketing,8316.25
COST000515,2018-08-14,SP,payroll,7262.21
COST000516,2017-12-17,RS,logistics,7109.06
COST000517,2018-09-23,BA,customer_support,4710.76
COST000518,2017-11-24,PR,technology,9009.96
COST000519,2018-04-12,BA,logistics,3201.32
COST000520,2018-06-01,DF,logistics,9073.02
COST000521,2017-06-29,RS,technology,466.16
COST000522,2017-07-04,BA,customer_support,6040.92
COST000523,2018-07-19,MG,logistics,6264.25
COST000524,2018-02-07,BA,payroll,2701.11
COST000525,2018-09-20,SC,technology,7566.85
COST000526,2018-08-21,MG,logistics,2001.37
COST000527,2017-03-09,SP,technology,4189.91
COST000528,2018-09-28,RS,logistics,9003.07
COST000529,2018-06-16,RJ,logistics,4003.05
COST000530,2017-02-01,DF,warehouse,8280.57
COST000531,2018-02-15,PR,logistics,1078.74
COST000532,2017-09-17,RS,warehouse,1232.0
COST000533,2017-10-05,SC,logistics,1862.89
COST000534,2017-04-08,BA,customer_support,1733.28
COST000535,2017-03-16,PR,customer_support,9787.09
COST000536,2017-07-31,RS,payroll,1205.61
COST000537,2018-03-15,MG,marketing,1579.95
COST000538,2017-05-28,SC,warehouse,1787.86
COST000539,2017-12-21,BA,marketing,6024.89
COST000540,2018-08-08,PR,marketing,4976.37
COST000541,2017-02-20,RS,payroll,7260.28
COST000542,2017-07-15,RJ,payroll,3495.65
COST000543,2018-05-18,SC,payroll,504.15
COST000544,2017-09-19,MG,marketing,3526.3
COST000545,2018-09-12,BA,logistics,7762.29
COST000546,2018-01-10,RJ,technology,8163.32
COST000547,2017-06-05,SP,payroll,7164.56
COST000548,2017-04-16,SP,customer_support,4099.26
COST000549,2017-07-24,SP,warehouse,6142.35
COST000550,2017-10-22,MG,logistics,1519.66
COST000551,2017-03-18,BA,payroll,2592.74
COST000552,2018-05-05,RJ,customer_support,2543.97
COST000553,2017-09-28,RS,payroll,846.76
COST000554,2018-07-26,MG,customer_support,9401.9
COST000555,2018-09-16,BA,payroll,4372.51
COST000556,2017-06-25,DF,technology,8752.74
COST000557,2017-11-27,RS,logistics,2295.78
COST000558,2017-09-27,MG,payroll,7701.82
COST000559,2017-04-16,PR,logistics,8060.5
COST000560,2018-04-13,SC,logistics,145.33
COST000561,2017-03-08,SC,marketing,437.54
COST000562,2017-11-14,BA,logistics,9218.3
COST000563,2018-07-04,BA,technology,5731.29
COST000564,2017-03-12,SP,technology,2916.88
COST000565,2018-06-16,SP,technology,1941.78
COST000566,2018-03-22,BA,technology,8196.87
COST000567,2018-08-16,PR,payroll,2016.56
COST000568,2018-06-24,BA,logistics,8453.08
COST000569,2017-01-22,RJ,marketing,6260.76
COST000570,2018-06-15,SP,payroll,6636.0
COST000571,2018-03-22,SP,warehouse,4430.96
COST000572,2017-04-14,RJ,payroll,457.23
COST000573,2017-01-12,RJ,payroll,5591.84
COST000574,2017-06-07,PR,payroll,7166.45
COST000575,2017-07-01,SP,payroll,130.27
COST000576,2017-06-14,BA,marketing,357.51
COST000577,2018-02-28,PR,technology,9079.93
