product_id,product_category_name,base_price,weight_g,length_cm,height_cm,width_cm
PROD00271,watches_gifts,19.93,1052.0,17.5,10.8,20.8
PROD00272,toys,83.33,507.0,85.8,22.3,15.3
PROD00273,health_beauty,28.16,704.0,32.4,28.2,62.2
PROD00274,furniture_decor,215.22,201.0,23.1,62.7,39.0
PROD00275,sports_leisure,220.01,648.0,42.3,6.7,22.4
PROD00276,sports_leisure,51.07,534.0,46.1,40.9,74.0
PROD00277,cool_stuff,131.84,1432.0,39.3,35.6,34.3
PROD00278,bed_bath_table,86.08,550.0,97.9,77.6,45.8
PROD00279,housewares,191.38,597.0,89.3,18.5,69.3
PROD00280,housewares,56.45,247.0,88.6,52.1,67.5
PROD00281,sports_leisure,122.53,488.0,45.9,20.2,52.8
PROD00282,health_beauty,104.53,802.0,96.7,46.1,71.6
PROD00283,watches_gifts,100.35,328.0,71.6,46.6,76.4
PROD00284,bed_bath_table,49.76,263.0,84.9,10.7,75.1
PROD00285,auto,210.31,1347.0,55.1,39.2,31.2
PROD00286,sports_leisure,58.77,342.0,24.5,39.6,34.8
PROD00287,health_beauty,58.48,694.0,89.8,28.9,23.0
PROD00288,garden_tools,45.78,303.0,53.8,25.8,67.8
PROD00289,toys,48.05,310.0,97.2,21.8,14.1
PROD00290,furniture_decor,67.24,375.0,32.9,5.4,31.6
PROD00291,health_beauty,116.72,569.0,99.3,5.1,5.7
PROD00292,garden_tools,152.43,813.0,30.0,49.2,49.6
PROD00293,cool_stuff,90.28,288.0,43.1,26.9,54.4
PROD00294,housewares,252.91,790.0,63.5,17.6,23.7
PROD00295,garden_tools,89.49,438.0,72.4,56.4,60.3
PROD00296,sports_leisure,19.37,363.0,74.8,44.7,33.6
PROD00297,cool_stuff,32.34,564.0,52.9,73.6,28.4
PROD00298,computers_accessories,142.6,951.0,16.9,67.3,76.7
PROD00299,auto,62.78,550.0,54.6,59.5,49.2
PROD00300,furniture_decor,59.44,261.0,40.1,14.5,23.9
PROD00301,electronics,37.65,440.0,69.2,55.0,78.7
PROD00302,housewares,59.13,565.0,26.4,57.0,34.1
PROD00303,garden_tools,59.84,283.0,45.5,62.2,53.6
PROD00304,computers_accessories,120.6,477.0,97.0,24.7,59.3
PROD00305,housewares,66.97,262.0,18.0,53.0,36.7
PROD00306,sports_leisure,226.15,590.0,64.2,51.4,45.2
PROD00307,garden_tools,48.23,971.0,18.2,33.9,23.0
PROD00308,electronics,95.92,384.0,24.1,54.8,39.9
PROD00309,health_beauty,21.66,631.0,64.4,11.5,28.3
PROD00310,housewares,137.99,746.0,50.0,53.3,46.1
PROD00311,health_beauty,26.14,312.0,59.4,50.5,55.2
PROD00312,garden_tools,128.51,520.0,89.2,20.8,51.1
PROD00313,electronics,18.68,799.0,83.6,66.4,63.3
PROD00314,sports_leisure,35.63,1077.0,89.9,70.6,8.1
PROD00315,electronics,159.22,341.0,65.5,20.8,10.9
PROD00316,auto,284.71,205.0,54.1,10.7,20.4
PROD00317,watches_gifts,15.0,573.0,51.3,50.3,78.9
PROD00318,auto,34.06,463.0,76.6,41.0,65.0
PROD00319,garden_tools,352.0,411.0,56.9,37.1,74.3
PROD00320,garden_tools,91.25,295.0,19.5,62.1,25.4
PROD00321,bed_bath_table,35.67,686.0,22.8,77.7,48.0
PROD00322,garden_tools,265.5,283.0,42.1,40.8,46.6
PROD00323,watches_gifts,130.1,269.0,16.1,5.5,47.7
PROD00324,computers_accessories,88.94,373.0,31.5,49.7,58.8
PROD00325,health_beauty,17.57,704.0,69.1,54.0,34.5
PROD00326,cool_stuff,435.63,179.0,11.1,67.1,55.8
PROD00327,sports_leisure,100.47,219.0,64.4,20.0,64.1
PROD00328,furniture_decor,63.58,247.0,79.5,44.3,26.7
PROD00329,garden_tools,262.28,1326.0,25.3,38.5,75.9
PROD00330,auto,39.12,478.0,26.3,54.8,43.9
PROD00331,bed_bath_table,33.96,216.0,12.6,9.8,60.0
PROD00332,bed_bath_table,37.39,373.0,56.1,71.3,59.7
PROD00333,auto,60.1,642.0,68.9,43.3,47.4
PROD00334,toys,83.21,1339.0,51.1,70.8,29.2
PROD00335,garden_tools,135.93,160.0,45.1,30.5,55.0
PROD00336,health_beauty,29.94,212.0,50.9,54.0,11.5
PROD00337,bed_bath_table,103.82,329.0,80.3,76.8,78.6
PROD00338,computers_accessories,50.3,336.0,13.0,75.8,18.8
PROD00339,electronics,74.71,333.0,80.5,75.8,25.7
PROD00340,sports_leisure,214.29,377.0,70.0,8.2,76.6
PROD00341,health_beauty,120.82,1363.0,31.7,35.2,19.0
PROD00342,computers_accessories,129.14,189.0,57.2,9.6,17.8
PROD00343,cool_stuff,49.75,444.0,14.4,28.2,65.3
PROD00344,cool_stuff,380.08,565.0,44.2,18.1,23.8
PROD00345,bed_bath_table,139.44,169.0,25.7,51.5,12.1
PROD00346,garden_tools,57.98,954.0,12.0,63.6,22.0
PROD00347,furniture_decor,202.93,367.0,42.1,43.5,71.6
PROD00348,health_beauty,128.4,211.0,75.4,64.7,26.0
PROD00349,auto,29.65,1021.0,92.9,6.0,57.1
PROD00350,garden_tools,95.59,607.0,69.6,66.5,34.6
PROD00351,bed_bath_table,37.54,291.0,46.2,18.4,24.7
PROD00352,cool_stuff,15.93,623.0,100.0,39.6,15.8
PROD00353,sports_leisure,57.62,509.0,35.5,38.2,77.9
PROD00354,sports_leisure,201.79,160.0,26.8,70.5,44.1
PROD00355,computers_accessories,264.94,170.0,51.7,77.4,13.6
PROD00356,watches_gifts,54.13,494.0,55.4,24.1,19.9
PROD00357,toys,64.82,139.0,41.9,10.1,35.5
PROD00358,sports_leisure,248.86,737.0,72.6,53.8,45.8
PROD00359,health_beauty,139.28,176.0,26.5,42.7,18.6
PROD00360,cool_stuff,120.49,701.0,55.9,47.4,25.8
PROD00361,garden_tools,91.07,948.0,55.0,8.5,63.8
PROD00362,health_beauty,145.45,541.0,84.1,63.1,36.3
PROD00363,electronics,79.53,100.0,93.4,22.4,5.1
PROD00364,cool_stuff,276.89,790.0,69.7,30.1,9.0
PROD00365,housewares,74.02,310.0,37.5,22.1,37.9
PROD00366,furniture_decor,73.09,390.0,72.1,75.9,9.5
PROD00367,garden_tools,15.73,258.0,32.6,17.7,18.0
PROD00368,watches_gifts,189.9,1107.0,97.0,59.9,59.6
PROD00369,watches_gifts,37.71,449.0,84.0,23.4,41.0
PROD00370,sports_leisure,15.0,316.0,48.8,36.9,41.2
PROD00371,watches_gifts,70.59,901.0,80.6,79.7,49.9
PROD00372,toys,62.14,684.0,46.8,12.5,64.1
PROD00373,auto,116.73,204.0,16.7,71.1,16.9
PROD00374,sports_leisure,136.91,493.0,73.6,76.0,18.0
PROD00375,garden_tools,42.01,460.0,46.4,57.4,14.1
PROD00376,furniture_decor,717.61,167.0,93.7,5.7,75.3
PROD00377,auto,69.33,663.0,37.6,66.6,48.3
PROD00378,bed_bath_table,21.1,396.0,85.9,71.2,11.9
PROD00379,watches_gifts,288.95,1467.0,71.2,78.6,21.5
PROD00380,cool_stuff,145.87,940.0,86.8,67.9,59.4
PROD00381,garden_tools,112.97,461.0,36.3,38.4,7.2
PROD00382,garden_tools,57.5,383.0,51.5,56.6,59.4
PROD00383,watches_gifts,84.49,118.0,84.1,41.4,73.4
PROD00384,cool_stuff,15.0,669.0,67.9,31.5,9.2
PROD00385,electronics,65.57,387.0,42.4,52.0,19.0
PROD00386,auto,581.39,305.0,56.1,62.7,5.2
PROD00387,health_beauty,37.96,409.0,99.6,52.7,13.2
PROD00388,auto,93.82,1024.0,76.8,67.0,51.3
PROD00389,health_beauty,21.16,915.0,65.3,18.2,8.4
PROD00390,sports_leisure,53.7,913.0,84.5,33.0,36.9
PROD00391,toys,29.6,216.0,49.8,28.4,42.8
PROD00392,computers_accessories,114.65,1041.0,95.5,19.6,73.0
PROD00393,garden_tools,96.8,301.0,59.7,38.2,40.6
PROD00394,toys,28.72,631.0,39.4,76.1,15.7
PROD00395,health_beauty,87.41,588.0,17.7,45.4,26.7
PROD00396,auto,89.93,371.0,43.8,26.5,55.4
PROD00397,sports_leisure,93.69,459.0,61.2,31.6,13.4
PROD00398,cool_stuff,161.28,151.0,73.3,51.0,22.4
PROD00399,watches_gifts,284.87,418.0,88.8,31.5,79.7
PROD00400,bed_bath_table,49.85,350.0,95.0,45.4,5.4
PROD00401,watches_gifts,63.75,1507.0,19.2,25.6,16.4
PROD00402,watches_gifts,70.91,410.0,64.1,30.9,68.3
PROD00403,toys,28.74,263.0,70.0,57.9,12.6
PROD00404,bed_bath_table,36.37,432.0,25.5,48.8,7.5
PROD00405,auto,127.82,270.0,59.1,12.0,14.1
PROD00406,furniture_decor,379.92,172.0,40.1,78.0,57.0
PROD00407,garden_tools,35.46,517.0,17.0,8.7,79.5
PROD00408,toys,510.08,405.0,15.9,11.2,49.3
PROD00409,auto,51.78,732.0,78.3,57.6,14.3
PROD00410,sports_leisure,214.76,966.0,65.4,58.1,18.8
PROD00411,sports_leisure,114.83,1253.0,74.4,6.4,45.3
PROD00412,cool_stuff,95.18,463.0,71.7,53.2,58.7
PROD00413,electronics,57.88,611.0,22.1,7.5,54.7
PROD00414,garden_tools,82.49,478.0,23.6,77.1,48.1
PROD00415,auto,46.12,100.0,32.7,57.2,79.0
PROD00416,toys,173.56,847.0,45.9,19.0,19.9
PROD00417,bed_bath_table,199.2,560.0,94.5,16.9,18.0
PROD00418,sports_leisure,48.4,564.0,70.7,47.7,69.4
PROD00419,auto,21.92,297.0,33.0,52.5,26.8
PROD00420,bed_bath_table,62.66,274.0,15.0,67.3,29.9
PROD00421,auto,399.72,387.0,71.6,72.7,46.2
PROD00422,furniture_decor,98.06,564.0,66.3,34.4,33.6
PROD00423,housewares,204.95,125.0,70.8,68.3,26.6
PROD00424,garden_tools,38.77,455.0,33.5,45.7,73.8
PROD00425,electronics,55.2,1111.0,56.5,40.3,14.7
PROD00426,computers_accessories,63.52,373.0,42.6,57.4,35.3
PROD00427,sports_leisure,31.92,123.0,83.6,12.7,5.2
PROD00428,auto,93.08,360.0,16.2,24.9,65.6
PROD00429,toys,42.32,481.0,34.8,66.3,17.6
PROD00430,auto,174.02,506.0,64.3,42.8,63.0
PROD00431,toys,87.48,443.0,28.5,73.1,16.1
PROD00432,health_beauty,266.32,1289.0,70.5,11.7,36.3
PROD00433,furniture_decor,21.29,439.0,22.3,28.5,59.6
PROD00434,electronics,53.26,453.0,12.1,31.7,25.3
PROD00435,watches_gifts,58.8,287.0,87.7,36.7,28.5
PROD00436,auto,117.99,711.0,40.0,79.0,55.0
PROD00437,cool_stuff,58.11,1117.0,24.1,28.3,19.1
PROD00438,bed_bath_table,323.09,277.0,25.5,43.9,76.4
PROD00439,electronics,70.3,378.0,89.7,45.2,19.2
