order_id,payment_sequential,payment_type,payment_installments,payment_value
ORD0000172,1,boleto,1,255.22
ORD0000173,1,credit_card,1,46.27
ORD0000174,1,credit_card,4,205.21
ORD0000175,1,voucher,10,98.99
ORD0000176,1,boleto,11,86.11
ORD0000177,1,debit_card,3,232.01
ORD0000178,1,boleto,7,244.43
ORD0000179,1,debit_card,11,190.05
ORD0000180,1,credit_card,4,262.51
ORD0000181,1,voucher,7,57.26
ORD0000182,1,voucher,4,180.73
ORD0000183,1,debit_card,5,92.62
ORD0000184,1,debit_card,12,58.41
ORD0000185,1,credit_card,9,234.9
ORD0000186,1,debit_card,6,162.53
ORD0000187,1,voucher,1,112.57
ORD0000188,1,voucher,5,75.09
ORD0000189,1,credit_card,2,164.83
ORD0000190,1,voucher,10,84.82
ORD0000191,1,voucher,9,91.15
ORD0000192,1,credit_card,5,167.86
ORD0000193,1,credit_card,9,83.63
ORD0000194,1,voucher,1,334.68
ORD0000195,1,voucher,4,188.63
ORD0000196,1,voucher,2,332.61
ORD0000197,1,voucher,7,91.31
ORD0000198,1,boleto,5,158.84
ORD0000199,1,boleto,12,134.24
ORD0000200,1,debit_card,6,242.61
ORD0000201,1,voucher,5,140.21
ORD0000202,1,boleto,11,265.76
ORD0000203,1,boleto,11,81.92
ORD0000204,1,credit_card,2,904.29
ORD0000205,1,credit_card,5,103.44
ORD0000206,1,boleto,6,118.01
ORD0000207,1,debit_card,6,275.36
ORD0000208,1,boleto,12,167.11
ORD0000209,1,debit_card,7,47.11
ORD0000210,1,credit_card,10,189.16
ORD0000211,1,voucher,10,203.86
ORD0000212,1,credit_card,11,245.87
ORD0000213,1,debit_card,7,109.2
ORD0000214,1,voucher,1,162.64
ORD0000215,1,credit_card,4,182.77
ORD0000216,1,voucher,9,179.39
ORD0000217,1,voucher,2,208.67
ORD0000218,1,boleto,10,126.54
ORD0000219,1,voucher,5,228.26
ORD0000220,1,debit_card,8,343.06
ORD0000221,1,voucher,8,125.7
ORD0000222,1,voucher,2,125.03
ORD0000223,1,boleto,10,101.33
ORD0000224,1,credit_card,7,113.03
ORD0000225,1,boleto,1,89.15
ORD0000226,1,boleto,9,404.26
ORD0000227,1,credit_card,2,424.95
ORD0000228,1,debit_card,10,672.32
ORD0000229,1,credit_card,4,214.13
ORD0000230,1,debit_card,5,289.7
ORD0000231,1,voucher,3,143.66
ORD0000232,1,debit_card,9,674.57
ORD0000233,1,voucher,2,312.63
ORD0000234,1,boleto,1,385.06
ORD0000235,1,credit_card,3,576.85
ORD0000236,1,voucher,12,337.56
ORD0000237,1,debit_card,10,139.35
ORD0000238,1,debit_card,6,308.86
ORD0000239,1,credit_card,10,222.53
ORD0000240,1,boleto,5,576.85
ORD0000241,1,credit_card,6,820.71
ORD0000242,1,credit_card,1,184.96
ORD0000243,1,debit_card,2,107.15
ORD0000244,1,boleto,10,1018.79
ORD0000245,1,voucher,8,66.43
ORD0000246,1,boleto,6,204.72
ORD0000247,1,boleto,2,273.26
ORD0000248,1,credit_card,10,75.05
ORD0000249,1,debit_card,12,326.54
ORD0000250,1,boleto,11,173.51
ORD0000251,1,boleto,11,117.15
ORD0000252,1,voucher,7,146.94
ORD0000253,1,credit_card,4,277.15
ORD0000254,1,voucher,12,262.77
ORD0000255,1,debit_card,9,83.83
ORD0000256,1,boleto,3,174.01
ORD0000257,1,debit_card,10,585.26
ORD0000258,1,voucher,4,1193.66
ORD0000259,1,debit_card,10,123.17
ORD0000260,1,credit_card,12,662.4
ORD0000261,1,credit_card,7,119.37
ORD0000262,1,boleto,3,230.75
ORD0000263,1,credit_card,9,154.38
ORD0000264,1,credit_card,6,335.27
ORD0000265,1,credit_card,7,174.96
ORD0000266,1,boleto,2,263.56
ORD0000267,1,debit_card,3,419.97
ORD0000268,1,boleto,12,163.34
ORD0000269,1,debit_card,9,207.58
ORD0000270,1,debit_card,3,265.07
ORD0000271,1,debit_card,9,773.49
ORD0000272,1,boleto,10,192.2
ORD0000273,1,debit_card,3,447.1
ORD0000274,1,voucher,5,130.93
ORD0000275,1,debit_card,4,433.57
ORD0000276,1,debit_card,3,490.09
ORD0000277,1,boleto,5,235.33
ORD0000278,1,boleto,8,186.41
ORD0000279,1,boleto,4,198.31
ORD0000280,1,credit_card,4,235.69
ORD0000281,1,debit_card,10,75.29
ORD0000282,1,voucher,11,85.25
ORD0000283,1,credit_card,10,152.31
ORD0000284,1,boleto,11,728.52
ORD0000285,1,boleto,11,305.23
ORD0000286,1,debit_card,1,318.79
ORD0000287,1,debit_card,1,321.75
ORD0000288,1,credit_card,8,179.53
ORD0000289,1,boleto,8,222.55
ORD0000290,1,boleto,12,26.42
ORD0000291,1,debit_card,9,186.52
ORD0000292,1,voucher,8,579.72
ORD0000293,1,credit_card,10,914.53
ORD0000294,1,boleto,4,70.12
ORD0000295,1,credit_card,9,163.84
ORD0000296,1,boleto,6,168.94
ORD0000297,1,boleto,2,260.07
ORD0000298,1,credit_card,5,179.11
ORD0000299,1,voucher,12,241.93
ORD0000300,1,credit_card,3,237.52
ORD0000301,1,boleto,8,51.89
ORD0000302,1,boleto,11,136.65
ORD0000303,1,debit_card,3,72.32
ORD0000304,1,boleto,6,353.95
ORD0000305,1,debit_card,8,374.5
ORD0000306,1,voucher,9,84.71
ORD0000307,1,voucher,12,374.1
ORD0000308,1,boleto,8,42.44
ORD0000309,1,credit_card,8,966.73
ORD0000310,1,debit_card,9,122.62
ORD0000311,1,debit_card,7,287.54
ORD0000312,1,voucher,12,240.49
ORD0000313,1,boleto,9,474.95
ORD0000314,1,credit_card,1,507.28
ORD0000315,1,credit_card,6,207.04
ORD0000316,1,credit_card,7,405.38
ORD0000317,1,voucher,10,464.8
ORD0000318,1,credit_card,7,162.64
ORD0000319,1,credit_card,3,263.83
ORD0000320,1,voucher,9,152.88
ORD0000321,1,boleto,11,116.11
ORD0000322,1,credit_card,2,232.09
ORD0000323,1,voucher,9,227.25
ORD0000324,1,credit_card,11,121.57
ORD0000325,1,voucher,1,536.27
ORD0000326,1,credit_card,11,569.53
ORD0000327,1,credit_card,8,478.09
ORD0000328,1,boleto,2,489.25
ORD0000329,1,debit_card,11,246.85
ORD0000330,1,debit_card,11,92.28
ORD0000331,1,boleto,2,61.83
ORD0000332,1,debit_card,3,439.85
ORD0000333,1,credit_card,3,230.07
ORD0000334,1,credit_card,1,49.93
ORD0000335,1,voucher,3,367.25
ORD0000336,1,boleto,8,106.63
ORD0000337,1,voucher,6,52.87
ORD0000338,1,voucher,12,107.13
ORD0000339,1,debit_card,4,144.86
ORD0000340,1,credit_card,9,250.07
ORD0000341,1,debit_card,8,300.84
ORD0000342,1,boleto,1,89.68
ORD0000343,1,voucher,2,95.06
ORD0000344,1,voucher,3,81.11
ORD0000345,1,debit_card,3,96.94
ORD0000346,1,credit_card,11,185.35
ORD0000347,1,debit_card,6,100.74
ORD0000348,1,credit_card,10,589.87
ORD0000349,1,voucher,5,77.34
ORD0000350,1,debit_card,5,219.56
ORD0000351,1,voucher,9,310.57
ORD0000352,1,voucher,4,386.32
ORD0000353,1,credit_card,3,144.27
ORD0000354,1,boleto,10,106.46
ORD0000355,1,voucher,6,931.85
ORD0000356,1,credit_card,9,338.14
ORD0000357,1,debit_card,11,224.45
ORD0000358,1,voucher,9,220.6
ORD0000359,1,voucher,3,273.18
ORD0000360,1,voucher,3,258.7
ORD0000361,1,debit_card,3,332.71
ORD0000362,1,credit_card,9,304.61
ORD0000363,1,voucher,3,340.0
ORD0000364,1,voucher,6,127.63
ORD0000365,1,boleto,9,61.45
ORD0000366,1,boleto,11,111.05
ORD0000367,1,voucher,8,262.28
ORD0000368,1,debit_card,2,103.19
ORD0000369,1,debit_card,12,59.84
ORD0000370,1,credit_card,2,179.9
ORD0000371,1,voucher,12,94.79
ORD0000372,1,boleto,7,588.22
ORD0000373,1,debit_card,5,465.33
ORD0000374,1,voucher,8,153.09
ORD0000375,1,debit_card,9,234.08
ORD0000376,1,voucher,1,189.06
ORD0000377,1,credit_card,9,438.51
ORD0000378,1,voucher,5,169.56
ORD0000379,1,debit_card,5,181.91
ORD0000380,1,boleto,12,69.23
ORD0000381,1,debit_card,12,237.16
ORD0000382,1,voucher,7,132.39
ORD0000383,1,boleto,8,270.25
ORD0000384,1,boleto,2,396.2
ORD0000385,1,credit_card,10,88.58
ORD0000386,1,credit_card,1,117.66
ORD0000387,1,credit_card,8,609.23
ORD0000388,1,voucher,10,100.46
ORD0000389,1,boleto,1,650.02
ORD0000390,1,debit_card,11,511.37
ORD0000391,1,voucher,1,377.31
ORD0000392,1,debit_card,6,189.5
ORD0000393,1,debit_card,4,702.73
ORD0000394,1,debit_card,12,169.0
ORD0000395,1,voucher,6,376.46
ORD0000396,1,debit_card,8,61.74
ORD0000397,1,boleto,2,457.91
ORD0000398,1,debit_card,10,122.27
ORD0000399,1,voucher,1,298.93
ORD0000400,1,debit_card,1,451.37
ORD0000401,1,credit_card,4,372.25
ORD0000402,1,boleto,3,240.07
ORD0000403,1,credit_card,5,166.21
ORD0000404,1,credit_card,5,62.4
ORD0000405,1,boleto,10,700.19
ORD0000406,1,boleto,4,236.19
ORD0000407,1,boleto,1,181.58
ORD0000408,1,voucher,2,239.62
ORD0000409,1,credit_card,1,532.64
ORD0000410,1,voucher,4,160.61
ORD0000411,1,boleto,7,728.9
ORD0000412,1,boleto,3,84.63
ORD0000413,1,credit_card,3,433.6
ORD0000414,1,credit_card,3,433.79
ORD0000415,1,debit_card,3,85.83
ORD0000416,1,debit_card,1,52.27
ORD0000417,1,debit_card,12,340.47
ORD0000418,1,credit_card,4,155.55
ORD0000419,1,voucher,8,111.59
ORD0000420,1,boleto,7,197.07
ORD0000421,1,credit_card,12,324.96
ORD0000422,1,credit_card,3,119.1
ORD0000423,1,voucher,11,209.59
ORD0000424,1,credit_card,10,468.62
ORD0000425,1,voucher,10,146.51
ORD0000426,1,voucher,6,381.14
ORD0000427,1,boleto,8,310.23
ORD0000428,1,voucher,6,603.2
ORD0000429,1,voucher,7,448.76
ORD0000430,1,boleto,12,445.19
ORD0000431,1,boleto,1,192.8
ORD0000432,1,voucher,7,173.88
ORD0000433,1,debit_card,3,113.36
ORD0000434,1,voucher,9,118.61
ORD0000435,1,boleto,10,861.43
ORD0000436,1,credit_card,4,532.17
ORD0000437,1,voucher,6,103.17
ORD0000438,1,voucher,1,226.49
ORD0000439,1,voucher,11,762.05
ORD0000440,1,credit_card,4,180.43
ORD0000441,1,voucher,9,66.96
ORD0000442,1,boleto,12,199.91
ORD0000443,1,boleto,2,378.26
ORD0000444,1,voucher,7,289.67
ORD0000445,1,voucher,6,142.69
ORD0000446,1,debit_card,7,183.58
ORD0000447,1,debit_card,10,81.24
ORD0000448,1,debit_card,2,394.5
ORD0000449,1,credit_card,3,151.42
ORD0000450,1,voucher,7,91.83
ORD0000451,1,credit_card,12,300.14
ORD0000452,1,debit_card,7,124.84
ORD0000453,1,boleto,5,129.91
ORD0000454,1,debit_card,8,325.83
ORD0000455,1,boleto,7,86.22
ORD0000456,1,credit_card,3,581.77
ORD0000457,1,credit_card,11,209.18
ORD0000458,1,debit_card,6,172.51
ORD0000459,1,debit_card,10,155.56
ORD0000460,1,voucher,5,253.91
ORD0000461,1,voucher,12,196.24
ORD0000462,1,debit_card,7,138.24
ORD0000463,1,debit_card,12,239.56
ORD0000464,1,debit_card,7,85.73
ORD0000465,1,voucher,6,289.28
ORD0000466,1,boleto,6,180.81
ORD0000467,1,credit_card,1,233.76
ORD0000468,1,boleto,2,178.29
ORD0000469,1,voucher,5,70.04
ORD0000470,1,credit_card,8,145.52
ORD0000471,1,credit_card,8,80.62
ORD0000472,1,debit_card,5,193.38
ORD0000473,1,credit_card,9,78.55
ORD0000474,1,voucher,2,171.3
ORD0000475,1,voucher,8,363.33
ORD0000476,1,credit_card,1,510.69
ORD0000477,1,boleto,12,160.61
ORD0000478,1,credit_card,8,373.02
ORD0000479,1,debit_card,6,122.58
ORD0000480,1,boleto,7,279.13
ORD0000481,1,boleto,1,79.12
ORD0000482,1,boleto,4,452.14
ORD0000483,1,voucher,6,594.01
ORD0000484,1,boleto,8,231.5
ORD0000485,1,credit_card,11,374.2
ORD0000486,1,credit_card,8,106.46
ORD0000487,1,credit_card,6,107.76
ORD0000488,1,boleto,4,131.24
ORD0000489,1,boleto,1,64.23
ORD0000490,1,voucher,10,286.27
ORD0000491,1,boleto,10,88.12
ORD0000492,1,boleto,10,38.48
ORD0000493,1,debit_card,8,546.57
ORD0000494,1,credit_card,8,136.0
ORD0000495,1,voucher,11,78.7
ORD0000496,1,boleto,11,180.31
ORD0000497,1,debit_card,10,79.52
ORD0000498,1,debit_card,12,235.67
ORD0000499,1,credit_card,8,137.32
ORD0000500,1,debit_card,3,346.33
ORD0000501,1,credit_card,5,122.86
ORD0000502,1,voucher,7,266.48
ORD0000503,1,voucher,3,172.46
ORD0000504,1,boleto,12,156.8
ORD0000505,1,boleto,9,628.79
ORD0000506,1,voucher,11,94.04
ORD0000507,1,voucher,1,341.57
ORD0000508,1,credit_card,2,233.18
ORD0000509,1,voucher,7,262.56
ORD0000510,1,debit_card,12,50.76
ORD0000511,1,credit_card,10,454.58
ORD0000512,1,boleto,4,61.66
ORD0000513,1,credit_card,1,63.01
ORD0000514,1,credit_card,2,250.52
ORD0000515,1,debit_card,12,464.76
ORD0000516,1,boleto,6,101.43
ORD0000517,1,boleto,11,159.18
ORD0000518,1,voucher,3,322.52
ORD0000519,1,credit_card,7,654.88
ORD0000520,1,debit_card,10,78.25
ORD0000521,1,voucher,3,229.75
ORD0000522,1,credit_card,8,139.0
ORD0000523,1,voucher,1,238.9
ORD0000524,1,credit_card,9,53.56
ORD0000525,1,debit_card,6,91.2
ORD0000526,1,voucher,2,145.82
ORD0000527,1,credit_card,7,252.67
ORD0000528,1,debit_card,8,648.5
ORD0000529,1,voucher,12,700.73
ORD0000530,1,voucher,3,195.88
ORD0000531,1,voucher,3,314.64
ORD0000532,1,voucher,9,84.27
ORD0000533,1,voucher,12,102.13
ORD0000534,1,debit_card,8,89.75
ORD0000535,1,credit_card,11,773.05
ORD0000536,1,voucher,10,178.34
ORD0000537,1,debit_card,5,99.04
ORD0000538,1,debit_card,2,59.34
ORD0000539,1,boleto,8,144.9
ORD0000540,1,debit_card,7,956.27
ORD0000541,1,debit_card,11,251.2
ORD0000542,1,voucher,11,168.59
ORD0000543,1,voucher,7,127.66
ORD0000544,1,boleto,2,217.0
ORD0000545,1,voucher,3,91.47
ORD0000546,1,credit_card,6,179.69
ORD0000547,1,voucher,8,447.86
ORD0000548,1,boleto,3,519.33
ORD0000549,1,voucher,9,174.04
ORD0000550,1,credit_card,12,330.88
ORD0000551,1,boleto,8,144.67
ORD0000552,1,voucher,11,107.4
ORD0000553,1,credit_card,3,73.73
ORD0000554,1,debit_card,11,285.75
ORD0000555,1,boleto,10,118.38
ORD0000556,1,voucher,4,117.54
ORD0000557,1,boleto,2,152.75
ORD0000558,1,boleto,10,315.18
ORD0000559,1,voucher,5,70.46
ORD0000560,1,boleto,7,229.87
ORD0000561,1,debit_card,2,303.23
ORD0000562,1,voucher,4,199.99
ORD0000563,1,debit_card,11,70.11
ORD0000564,1,voucher,12,34.53
ORD0000565,1,voucher,9,407.67
ORD0000566,1,boleto,3,172.96
ORD0000567,1,debit_card,2,85.7
ORD0000568,1,credit_card,9,221.64
ORD0000569,1,credit_card,7,77.39
ORD0000570,1,credit_card,11,389.34
ORD0000571,1,debit_card,2,117.9
ORD0000572,1,boleto,2,91.67
ORD0000573,1,debit_card,2,346.68
ORD0000574,1,boleto,8,223.35
ORD0000575,1,boleto,9,234.44
ORD0000576,1,voucher,6,384.52
ORD0000577,1,debit_card,12,145.71
ORD0000578,1,credit_card,1,1363.69
ORD0000579,1,voucher,12,269.13
ORD0000580,1,credit_card,4,121.79
ORD0000581,1,debit_card,7,92.53
ORD0000582,1,voucher,10,59.88
ORD0000583,1,voucher,1,124.39
ORD0000584,1,voucher,9,63.15
ORD0000585,1,boleto,8,164.61
ORD0000586,1,voucher,8,332.75
ORD0000587,1,debit_card,8,265.8
ORD0000588,1,boleto,2,396.74
ORD0000589,1,credit_card,12,203.09
ORD0000590,1,credit_card,9,175.33
ORD0000591,1,credit_card,3,306.09
ORD0000592,1,voucher,12,248.45
ORD0000593,1,voucher,1,245.86
ORD0000594,1,voucher,7,728.82
ORD0000595,1,boleto,9,248.88
ORD0000596,1,boleto,9,290.83
ORD0000597,1,voucher,4,45.9
ORD0000598,1,credit_card,8,115.53
ORD0000599,1,boleto,12,572.0
ORD0000600,1,debit_card,2,68.68
ORD0000601,1,debit_card,11,245.78
ORD0000602,1,credit_card,12,93.44
ORD0000603,1,credit_card,6,298.85
ORD0000604,1,debit_card,1,196.97
ORD0000605,1,debit_card,12,178.88
ORD0000606,1,debit_card,7,126.27
ORD0000607,1,voucher,9,465.24
ORD0000608,1,debit_card,9,109.12
ORD0000609,1,voucher,7,235.51
ORD0000610,1,voucher,3,325.12
ORD0000611,1,credit_card,5,47.81
ORD0000612,1,boleto,10,81.92
ORD0000613,1,debit_card,1,116.54
ORD0000614,1,boleto,5,260.75
ORD0000615,1,debit_card,9,195.96
ORD0000616,1,voucher,11,246.19
ORD0000617,1,voucher,2,70.68
ORD0000618,1,voucher,11,268.47
ORD0000619,1,boleto,11,222.19
ORD0000620,1,debit_card,9,93.37
ORD0000621,1,debit_card,10,523.02
ORD0000622,1,voucher,4,149.04
ORD0000623,1,boleto,1,104.36
ORD0000624,1,boleto,2,127.09
ORD0000625,1,voucher,11,309.66
ORD0000626,1,debit_card,8,307.25
ORD0000627,1,credit_card,10,188.29
ORD0000628,1,credit_card,1,97.65
ORD0000629,1,credit_card,6,98.41
ORD0000630,1,credit_card,7,147.84
ORD0000631,1,credit_card,11,360.42
ORD0000632,1,debit_card,7,193.99
ORD0000633,1,credit_card,10,392.4
ORD0000634,1,boleto,3,249.11
ORD0000635,1,voucher,10,310.91
ORD0000636,1,debit_card,6,124.73
ORD0000637,1,voucher,10,263.45
ORD0000638,1,boleto,8,87.86
ORD0000639,1,credit_card,6,53.2
ORD0000640,1,voucher,9,767.51
ORD0000641,1,credit_card,6,58.54
ORD0000642,1,credit_card,2,189.32
ORD0000643,1,credit_card,10,124.14
ORD0000644,1,boleto,12,248.73
ORD0000645,1,debit_card,12,142.63
ORD0000646,1,boleto,7,121.53
ORD0000647,1,debit_card,9,64.62
ORD0000648,1,debit_card,6,229.11
ORD0000649,1,credit_card,5,177.3
ORD0000650,1,voucher,4,115.31
ORD0000651,1,credit_card,8,408.14
ORD0000652,1,debit_card,12,110.08
ORD0000653,1,boleto,10,112.0
ORD0000654,1,voucher,6,179.85
ORD0000655,1,debit_card,2,189.49
ORD0000656,1,boleto,4,286.29
ORD0000657,1,boleto,6,433.65
ORD0000658,1,boleto,3,137.33
ORD0000659,1,voucher,4,158.92
ORD0000660,1,credit_card,12,186.77
ORD0000661,1,debit_card,7,178.59
ORD0000662,1,boleto,8,410.99
ORD0000663,1,debit_card,1,402.34
ORD0000664,1,boleto,6,130.87
ORD0000665,1,voucher,3,59.63
ORD0000666,1,debit_card,6,291.33
ORD0000667,1,voucher,8,230.55
ORD0000668,1,boleto,2,347.28
ORD0000669,1,debit_card,7,206.86
ORD0000670,1,voucher,11,290.9
ORD0000671,1,boleto,6,515.84
ORD0000672,1,credit_card,4,118.4
ORD0000673,1,boleto,3,156.42
ORD0000674,1,debit_card,11,138.35
ORD0000675,1,boleto,10,179.01
ORD0000676,1,boleto,10,190.59
ORD0000677,1,boleto,10,294.85
ORD0000678,1,voucher,7,477.19
ORD0000679,1,voucher,10,173.44
ORD0000680,1,voucher,3,114.5
ORD0000681,1,voucher,7,442.51
ORD0000682,1,debit_card,5,81.33
ORD0000683,1,boleto,8,324.08
ORD0000684,1,debit_card,7,621.31
ORD0000685,1,debit_card,10,369.16
ORD0000686,1,voucher,1,232.1
ORD0000687,1,boleto,3,131.69
ORD0000688,1,boleto,4,123.59
ORD0000689,1,voucher,1,306.58
ORD0000690,1,voucher,8,255.66
ORD0000691,1,debit_card,12,717.53
ORD0000692,1,boleto,1,336.77
ORD0000693,1,debit_card,12,197.06
ORD0000694,1,credit_card,3,422.31
ORD0000695,1,boleto,4,189.93
ORD0000696,1,voucher,4,89.49
ORD0000697,1,credit_card,11,409.16
ORD0000698,1,boleto,12,406.39
ORD0000699,1,boleto,7,51.38
ORD0000700,1,debit_card,6,69.24
ORD0000701,1,credit_card,10,109.63
ORD0000702,1,debit_card,1,85.17
ORD0000703,1,boleto,1,166.91
ORD0000704,1,boleto,12,95.16
ORD0000705,1,debit_card,5,334.02
ORD0000706,1,debit_card,11,373.68
ORD0000707,1,credit_card,2,596.49
ORD0000708,1,debit_card,11,352.12
ORD0000709,1,debit_card,5,76.79
ORD0000710,1,credit_card,12,66.67
ORD0000711,1,credit_card,4,224.39
ORD0000712,1,boleto,11,77.82
ORD0000713,1,credit_card,4,108.1
ORD0000714,1,voucher,10,175.39
ORD0000715,1,boleto,10,257.14
